,Dutch,Quizlet
0,droomde,"verb, dream moon have a dream about"
1,eikels,"noun, mast"
2,vrijgelaten,"adjective, neutral"
3,bloem,"noun, flower flour bloom"
4,wreed,"adjective, cruel brutal fierce"
5,groeit,"verb, grow wax vegetate"
6,wall,"No Google Info, No Google Info"
7,gebeurtenissen,"noun, proceedings"
8,beslag,"noun, batter fittings attachment"
9,voortaan,"adverb, henceforth henceforward hereafter"
10,gemerkt,"verb, mark perceive sense"
11,achtergrond,"noun, background ground bottom"
12,keuzes,"noun, choice selection option"
13,oproep,"noun, call-up"
14,Willie,"No Google Info, No Google Info"
15,goedendag,"noun, mace"
16,bemoei,"No Google Info, No Google Info"
17,wetenschapper,"noun, scientist"
18,kok,"noun, cook"
19,pikken,"verb, pick peck sting"
20,toestel,"noun, appliance apparatus set"
21,afval,"noun, waste garbage refuse"
22,Santa,"No Google Info, No Google Info"
23,criminelen,"No Google Info, No Google Info"
24,daag,"verb, dawn summon"
25,naaien,"verb, sew fuck screw"
26,verpleegster,"noun, nurse sick nurse"
27,rots,"noun, rock crag"
28,terugbrengen,"verb, bring back take back return"
29,crisis,"noun, crisis emergency conjuration"
30,uzelf,"pronoun, thyself"
31,genaaid,"No Google Info, No Google Info"
32,Veronica,"noun, veronica"
33,herkent,"verb, recognize identify know"
34,jonger,"adjective, minor puisne"
35,um,"No Google Info, No Google Info"
36,realiseerde,"verb, realize live out"
37,journalist,"noun, journalist publicist newspaper man"
38,risico's,"noun, risk hazard venture"
39,voertuig,"noun, vehicle"
40,overlevenden,"verb, survive outlive persist"
41,karakter,"noun, character nature personality"
42,besmet,"verb, infect contaminate defile"
43,Diego,"No Google Info, No Google Info"
44,loon,"noun, wage pay wages"
45,trouwt,"verb, marry wed marry off"
46,machtige,"adjective, powerful mighty potent"
47,volhouden,"verb, maintain sustain insist"
48,online,"No Google Info, No Google Info"
49,long,"noun, lung"
50,identificeren,"verb, identify identify with"
51,oudste,"noun, senior elders prior"
52,Ned,"No Google Info, No Google Info"
53,pan,"noun, saucepan frying pan casserole"
54,augustus,"noun, August"
55,starfleet,"No Google Info, No Google Info"
56,centimeter,"noun, centimetre"
57,explosieven,"No Google Info, No Google Info"
58,greep,"noun, hold grip grasp"
59,staf,"noun, staff rod baton"
60,duistere,"adjective, dark obscure murky"
61,toppers,"No Google Info, No Google Info"
62,gokken,"verb, gamble plunge"
63,gekleed,"adjective, clad"
64,Mason,"No Google Info, No Google Info"
65,county,"No Google Info, No Google Info"
66,monica,"No Google Info, No Google Info"
67,studie,"noun, study"
68,bevrijd,"adjective, liberated"
69,wii,"No Google Info, No Google Info"
70,neger,"noun, Negro black nigger"
