,Spanish,show,lemma
3250,regresó,*regresó* (regresar),regresar
3251,ratas,*ratas* (rata),rata
3252,pasión,pasión,pasión
3253,hacerse,*hacerse* (hacer),hacer
3254,comportamiento,comportamiento,comportamiento
3255,pense,*pense* (pensar),pensar
3256,conocimiento,conocimiento,conocimiento
3257,sales,*sales* (salir),salir
3258,fiscal,fiscal,fiscal
3259,decisiones,*decisiones* (decisión),decisión
3260,criminales,*criminales* (criminal),criminal
3261,cámaras,*cámaras* (cámara),cámara
3262,amanecer,amanecer,amanecer
3263,convirtió,*convirtió* (convertir),convertir
3264,aldea,aldea,aldea
3265,abandonar,abandonar,abandonar
3266,obvio,obvio,obvio
3267,habíamos,*habíamos* (haber),haber
3268,apesta,*apesta* (apestar),apestar
3269,abandonado,abandonado,abandonado
3270,abandonado,*abandonado* (abandonar),abandonar
3271,volverás,*volverás* (volver),volver
3272,preocuparse,*preocuparse* (preocupar),preocupar
3273,favorita,*favorita* (favorito),favorito
3274,lanzamiento,lanzamiento,lanzamiento
3275,difíciles,*difíciles* (difícil),difícil
3276,vivido,*vivido* (vivir),vivir
3277,roca,roca,roca
3278,peces,*peces* (pez),pez
3279,maravilla,maravilla,maravilla
3280,espacial,espacial,espacial
3281,conductor,conductor,conductor
3282,camarada,camarada,camarada
3283,trabajado,*trabajado* (trabajar),trabajar
3284,caramba,caramba,caramba
3285,sopa,sopa,sopa
3286,numero,*numero* (número),número
3287,gritar,gritar,gritar
3288,envía,*envía* (enviar),enviar
3289,casino,casino,casino
3290,alteza,alteza,alteza
3291,identidad,identidad,identidad
3292,cambios,*cambios* (cambio),cambio
3293,guardar,guardar,guardar
3294,gatos,*gatos* (gato),gato
3295,gané,*gané* (ganar),ganar
3296,arresto,arresto,arresto
3297,arresto,*arresto* (arrestar),arrestar
3298,éstas,*éstas* (esta),esta
3299,éstas,*éstas* (este),este
3300,preguntó,*preguntó* (preguntar),preguntar
3301,éstos,*éstos* (esto),esto
3302,éstos,*éstos* (este),este
3303,probable,probable,probable
3304,seamos,*seamos* (ser),ser
