,Spanish,show,lemma
1200,río,río,río
1201,río,*río* (reír),reír
1202,relación,relación,
1203,drogas,*drogas* (droga),
1204,luces,*luces* (luz),
1205,bromeando,*bromeando* (bromear),
1206,ojalá,ojalá,
1207,hablamos,*hablamos* (hablar),
1208,trabaja,*trabaja* (trabajar),
1209,irse,*irse* (ir),
1210,libros,*libros* (libro),
1211,radio,radio,
1212,vienes,*vienes* (venir),
1213,quedan,*quedan* (quedar),
1214,excepto,excepto,
1215,brazo,brazo,
1216,tome,*tome* (tomar),
1217,rojo,rojo,
1218,conocido,conocido,conocido
1219,conocido,*conocido* (conocer),conocer
1220,universidad,universidad,
1221,investigación,investigación,
1222,batalla,batalla,
1223,reglas,*reglas* (regla),
1224,cargo,cargo,cargo
1225,cargo,*cargo* (cargar),cargar
1226,hogar,hogar,
1227,ninguno,ninguno,
1228,dieron,*dieron* (dar),
1229,vuelva,*vuelva* (volver),
1230,sabías,*sabías* (saber),
1231,respeto,respeto,respeto
1232,respeto,*respeto* (respetar),respetar
1233,estación,estación,
1234,corte,corte,corte
1235,corte,*corte* (cortar),cortar
1236,paciente,paciente,
1237,encuentro,encuentro,encuentro
1238,encuentro,*encuentro* (encontrar),encontrar
1239,energía,energía,
1240,dejado,dejado,dejado
1241,dejado,*dejado* (dejar),dejar
1242,baile,baile,
1243,abuela,abuela,
1244,caliente,caliente,
1245,vieja,*vieja* (viejo),
1246,viendo,*viendo* (ver),
1247,veremos,*veremos* (ver),
1248,rayos,*rayos* (rayo),
1249,simple,simple,
1250,bailar,bailar,
1251,papa,papa,
1252,triste,triste,
1253,zona,zona,
1254,serás,*serás* (ser),
1255,guardia,guardia,
1256,canción,canción,
1257,salud,salud,
1258,escuchar,escuchar,
1259,parar,parar,
1260,estarás,*estarás* (estar),
1261,cenar,cenar,
1262,soldados,*soldados* (soldado),
1263,caballo,caballo,
1264,serán,*serán* (ser),
1265,estaremos,*estaremos* (estar),
1266,interesa,*interesa* (interesar),
1267,volar,volar,
1268,principio,principio,
1269,nivel,nivel,
1270,cálmate,*cálmate* (calmar),
1271,conocer,conocer,
1272,finalmente,finalmente,
1273,alegro,*alegro* (alegrar),alegrar
1274,alegro,alegro,alegro
1275,debajo,debajo,
1276,podrían,*podrían* (poder),
1277,bosque,bosque,
1278,bonita,*bonita* (bonito),
1279,bolsa,bolsa,
1280,pone,*pone* (poner),
1281,taxi,taxi,
1282,ocupado,ocupado,ocupado
1283,ocupado,*ocupado* (ocupar),ocupar
1284,amable,amable,
1285,acaso,acaso,
1286,detente,*detente* (detener),
1287,imbécil,imbécil,
1288,san,san,san
1289,san,*san* (San),San
1290,equivocado,equivocado,
1291,viva,*viva* (vivir),
1292,puso,*puso* (poner),
1293,obra,obra,obra
1294,obra,*obra* (obrar),obrar
1295,consejo,consejo,
1296,público,público,
1297,ayúdame,*ayúdame* (ayudar),
1298,animales,*animales* (animal),
1299,azul,azul,
