,Spanish,show,lemma
6500,lindas,*lindas* (lindo),
6501,intentan,*intentan* (intentar),
6502,estara,*estara* (estar),
6503,enamorados,*enamorados* (enamorado),enamorado
6504,enamorados,*enamorados* (enamorar),enamorar
6505,discutiendo,*discutiendo* (discutir),
6506,cajón,cajón,
6507,aliados,*aliados* (aliado),aliado
6508,aliados,*aliados* (aliar),aliar
6509,águila,águila,
6510,sugiere,*sugiere* (sugerir),
6511,sexto,sexto,
6512,retirarse,*retirarse* (retirar),
6513,reciente,reciente,
6514,protector,protector,
6515,presos,*presos* (preso),
6516,pidieron,*pidieron* (pedir),
6517,mide,*mide* (medir),
6518,materia,materia,
6519,hueón,hueón,hueón
6520,hueón,*hueón* (huevón),huevón
6521,gentil,gentil,
6522,evidente,evidente,
6523,enlace,enlace,
6524,dorado,dorado,dorado
6525,dorado,*dorado* (dorar),dorar
6526,discúlpenme,*discúlpenme* (disculpar),
6527,dejare,*dejare* (dejar),
6528,conclusión,conclusión,
6529,competir,competir,
6530,auténtico,auténtico,
6531,anuncios,*anuncios* (anuncio),
6532,afortunadamente,afortunadamente,
6533,siesta,siesta,
6534,sentidos,*sentidos* (sentido),sentido
6535,sentidos,*sentidos* (sentir),sentir
6536,principales,*principales* (principal),
6537,mátame,*mátame* (matar),
6538,hallé,*hallé* (hallar),
6539,girar,girar,
6540,extraterrestre,extraterrestre,
6541,egipto,*egipto* (Egipto),
6542,canciller,canciller,
6543,valores,*valores* (valor),
6544,recibiste,*recibiste* (recibir),
6545,quítense,*quítense* (quitar),
6546,protocolo,protocolo,
6547,preocuparme,*preocuparme* (preocupar),
6548,pacto,pacto,pacto
6549,pacto,*pacto* (pactar),pactar
6550,módulo,módulo,
6551,inteligentes,*inteligentes* (inteligente),
6552,imaginaba,*imaginaba* (imaginar),
6553,huracán,huracán,
6554,dejaba,*dejaba* (dejar),
6555,canales,*canales* (canal),
6556,buscaremos,*buscaremos* (buscar),
6557,botellas,*botellas* (botella),
6558,billones,*billones* (billón),
6559,atraparlo,*atraparlo* (atrapar),
6560,arrestar,arrestar,
6561,acento,acento,
6562,accidentes,*accidentes* (accidente),
6563,vientre,vientre,
6564,tomaría,*tomaría* (tomar),
6565,timón,timón,
6566,tabla,tabla,
6567,sacando,*sacando* (sacar),
6568,pintar,pintar,
6569,particularmente,particularmente,
6570,palma,palma,palma
6571,palma,*palma* (palmar),palmar
6572,organizar,organizar,
6573,llevarán,*llevarán* (llevar),
6574,llamaría,*llamaría* (llamar),
6575,irlandés,irlandés,
6576,esperes,*esperes* (esperar),
6577,crecí,*crecí* (crecer),
6578,as,as,
6579,agarró,*agarró* (agarrar),
6580,voluntario,voluntario,
6581,vivirá,*vivirá* (vivir),
6582,vigilar,vigilar,
6583,vestíbulo,vestíbulo,
6584,soltar,soltar,
6585,siguientes,*siguientes* (siguiente),
6586,residentes,*residentes* (residente),
6587,leíste,*leíste* (leer),
6588,hacha,hacha,
6589,felicito,*felicito* (felicitar),
6590,enojar,enojar,
6591,ejercicios,*ejercicios* (ejercicio),
6592,drogado,drogado,drogado
6593,drogado,*drogado* (drogar),drogar
6594,cagar,cagar,
6595,traducido,traducido,traducido
6596,traducido,*traducido* (traducir),traducir
6597,suplico,*suplico* (suplicar),
6598,salario,salario,
6599,préstamo,préstamo,
