,Spanish,show,lemma
4800,jódete,*jódete* (joder),
4801,considerado,considerado,considerado
4802,considerado,*considerado* (considerar),considerar
4803,cometer,cometer,
4804,cambié,*cambié* (cambiar),
4805,asientos,*asientos* (asiento),
4806,satisfecho,satisfecho,satisfecho
4807,satisfecho,*satisfecho* (satisfacer),satisfacer
4808,saludable,saludable,
4809,lanzar,lanzar,
4810,hoja,hoja,
4811,conozca,*conozca* (conocer),
4812,concepto,concepto,
4813,colgar,colgar,
4814,apunta,*apunta* (apuntar),
4815,renta,renta,renta
4816,renta,*renta* (rentar),rentar
4817,prefieres,*prefieres* (preferir),
4818,pediré,*pediré* (pedir),
4819,mediodía,mediodía,
4820,influencia,influencia,
4821,hacernos,*hacernos* (hacer),
4822,figura,figura,figura
4823,figura,*figura* (figurar),figurar
4824,ensayo,ensayo,ensayo
4825,ensayo,*ensayo* (ensayar),ensayar
4826,coordenadas,*coordenadas* (coordenada),
4827,casó,*casó* (casar),
4828,político,político,
4829,países,*países* (país),
4830,once,once,
4831,matarlos,*matarlos* (matar),
4832,graduación,graduación,
4833,frase,frase,
4834,eterna,*eterna* (eterno),
4835,estarlo,*estarlo* (estar),
4836,descuida,*descuida* (descuidar),
4837,toalla,toalla,
4838,próximos,*próximos* (próximo),
4839,monedas,*monedas* (moneda),
4840,mirad,*mirad* (mirar),
4841,miraba,*miraba* (mirar),
4842,griegos,*griegos* (griego),
4843,famosa,*famosa* (famoso),
4844,corredor,corredor,
4845,atravesar,atravesar,
4846,aguas,*aguas* (agua),
4847,modales,*modales* (modal),
4848,guerras,*guerras* (guerra),
4849,eternidad,eternidad,
4850,conocerla,*conocerla* (conocer),
4851,busquen,*busquen* (buscar),
4852,acuerda,*acuerda* (acuerdo),acuerdo
4853,acuerda,*acuerda* (acordar),acordar
4854,sentirme,*sentirme* (sentir),
4855,quema,*quema* (quemar),
4856,poema,poema,
4857,ordenó,*ordenó* (ordenar),
4858,espiritual,espiritual,
4859,costumbre,costumbre,
4860,comencé,*comencé* (comenzar),
4861,cabra,cabra,
4862,alquiler,alquiler,
4863,vencido,vencido,vencido
4864,vencido,*vencido* (vencer),vencer
4865,vela,vela,vela
4866,vela,*vela* (velar),velar
4867,trataré,*trataré* (tratar),
4868,sospechosos,*sospechosos* (sospechoso),
4869,quinto,quinto,
4870,pilotos,*pilotos* (piloto),
4871,perdieron,*perdieron* (perder),
4872,generación,generación,
4873,formación,formación,
4874,estructura,estructura,
4875,concéntrate,*concéntrate* (concentrar),
4876,complejo,complejo,
4877,voces,*voces* (voz),
4878,tragos,*tragos* (trago),
4879,temor,temor,
4880,república,república,
4881,recursos,*recursos* (recurso),
4882,presentación,presentación,
4883,pirámide,pirámide,
4884,oficialmente,oficialmente,
4885,maquillaje,maquillaje,
4886,guardaespaldas,guardaespaldas,
4887,escucharme,*escucharme* (escuchar),
4888,dejara,*dejara* (dejar),
4889,contiene,*contiene* (contener),
4890,bendición,bendición,
4891,vuestros,*vuestros* (vuestro),
4892,semejante,semejante,
4893,pague,*pague* (pagar),
4894,molestes,*molestes* (molestar),
4895,cultura,cultura,
4896,comió,*comió* (comer),
4897,antecedentes,*antecedentes* (antecedente),
4898,tendríamos,*tendríamos* (tener),
4899,representante,representante,
