,Spanish,show,lemma
4000,buscaré,*buscaré* (buscar),buscar
4001,revolución,revolución,revolución
4002,motel,motel,motel
4003,buscaba,*buscaba* (buscar),buscar
4004,alianza,alianza,alianza
4005,estupidez,estupidez,estupidez
4006,disparado,disparado,disparado
4007,disparado,*disparado* (disparar),disparar
4008,sangrando,*sangrando* (sangrar),sangrar
4009,quietos,*quietos* (quieto),quieto
4010,miserable,miserable,miserable
4011,ideal,ideal,ideal
4012,empiezo,*empiezo* (empezar),empezar
4013,controla,*controla* (controlar),controlar
4014,prometiste,*prometiste* (prometer),prometer
4015,heroína,heroína,heroína
4016,empezado,*empezado* (empezar),empezar
4017,dámelo,*dámelo* (dar),dar
4018,vecindario,vecindario,vecindario
4019,empleado,empleado,empleado
4020,empleado,*empleado* (emplear),emplear
4021,conociste,*conociste* (conocer),conocer
4022,colores,*colores* (color),color
4023,cerebral,cerebral,cerebral
4024,plástico,plástico,plástico
4025,piano,piano,piano
4026,pensamiento,pensamiento,pensamiento
4027,letra,letra,letra
4028,empleados,*empleados* (empleado),empleado
4029,empleados,*empleados* (emplear),emplear
4030,dosis,dosis,dosis
4031,dólar,dólar,dólar
4032,agrada,*agrada* (agradar),agradar
4033,tocado,*tocado* (tocar),tocar
4034,tíos,*tíos* (tío),tío
4035,super,*super* (súper),súper
4036,rifle,rifle,rifle
4037,renunciar,renunciar,renunciar
4038,incluyendo,*incluyendo* (incluir),incluir
4039,hoyo,hoyo,hoyo
4040,español,español,español
4041,acepta,*acepta* (aceptar),aceptar
4042,rueda,rueda,rueda
4043,municiones,*municiones* (munición),munición
4044,ciudades,*ciudades* (ciudad),ciudad
4045,béisbol,béisbol,béisbol
4046,regresado,regresado,regresado
4047,regresado,*regresado* (regresar),regresar
4048,pediste,*pediste* (pedir),pedir
4049,ja,ja,ja
4050,sesión,sesión,sesión
4051,comprender,comprender,comprender
4052,tocando,*tocando* (tocar),tocar
4053,montar,montar,montar
4054,familiares,*familiares* (familiar),familiar
4055,espía,espía,espía
4056,espía,*espía* (espiar),espiar
4057,efectos,*efectos* (efecto),efecto
4058,salto,salto,salto
4059,salto,*salto* (saltar),saltar
4060,pagó,*pagó* (pagar),pagar
4061,impacto,impacto,impacto
4062,emoción,emoción,emoción
4063,disparos,*disparos* (disparo),disparo
4064,comando,comando,comando
4065,autorización,autorización,autorización
4066,informes,*informes* (informe),informe
4067,informes,*informes* (informar),informar
4068,honestamente,honestamente,honestamente
4069,existencia,existencia,existencia
4070,demasiada,*demasiada* (demasiado),demasiado
4071,coches,*coches* (coche),coche
4072,clara,*clara* (claro),claro
4073,clara,clara,clara
4074,alcanzar,alcanzar,alcanzar
4075,volviste,*volviste* (volver),volver
4076,octubre,octubre,octubre
4077,conseguimos,*conseguimos* (conseguir),conseguir
4078,barato,barato,barato
4079,apostar,apostar,apostar
4080,requiere,*requiere* (requerir),requerir
4081,importan,*importan* (importar),importar
4082,grano,grano,grano
4083,demasiados,*demasiados* (demasiado),demasiado
4084,casarte,*casarte* (casar),casar
4085,tráeme,*tráeme* (traer),traer
4086,progreso,progreso,progreso
4087,progreso,*progreso* (progresar),progresar
4088,odias,*odias* (odiar),odiar
4089,ocurrir,ocurrir,ocurrir
4090,hacías,*hacías* (hacer),hacer
4091,serías,*serías* (ser),ser
4092,secretario,secretario,secretario
4093,rusia,*rusia* (Rusia),Rusia
4094,rusia,rusia,rusia
4095,piénsalo,*piénsalo* (pensar),pensar
4096,gatito,gatito,gatito
4097,gatito,*gatito* (gato),gato
4098,déme,*déme* (dar),dar
4099,colección,colección,colección
4100,vais,*vais* (ir),ir
4101,sufrido,sufrido,sufrido
4102,sufrido,*sufrido* (sufrir),sufrir
4103,ningun,*ningun* (ningún),ningún
4104,helena,*helena* (heleno),heleno
4105,helena,*helena* (Helena),Helena
4106,terror,terror,terror
4107,salva,*salva* (salvar),salvar
4108,salva,*salva* (salvo),salvo
4109,salva,salva,salva
4110,salgas,*salgas* (salir),salir
4111,sacarte,*sacarte* (sacar),sacar
4112,lanza,lanza,lanza
4113,lanza,*lanza* (lanzar),lanzar
4114,usó,*usó* (usar),usar
4115,quince,quince,quince
4116,prometido,prometido,prometido
4117,prometido,*prometido* (prometer),prometer
4118,preciso,preciso,preciso
4119,pirata,pirata,pirata
4120,moral,moral,moral
4121,moneda,moneda,moneda
4122,haberle,*haberle* (haber),haber
4123,estuvieras,*estuvieras* (estar),estar
4124,dijimos,*dijimos* (decir),decir
4125,cayendo,*cayendo* (caer),caer
4126,bajas,*bajas* (bajo),bajo
4127,bajas,*bajas* (baja),baja
4128,viniera,*viniera* (venir),venir
4129,soñando,*soñando* (soñar),soñar
4130,servirá,*servirá* (servir),servir
4131,moscú,*moscú* (Moscú),Moscú
4132,mínimo,mínimo,mínimo
4133,hermosas,*hermosas* (hermoso),hermoso
4134,escondido,escondido,escondido
4135,escondido,*escondido* (esconder),esconder
4136,demostrar,demostrar,demostrar
4137,perrito,perrito,perrito
4138,perrito,*perrito* (perro),perro
4139,intente,*intente* (intentar),intentar
4140,habrán,*habrán* (haber),haber
4141,experimento,experimento,experimento
4142,espaldas,*espaldas* (espalda),espalda
4143,diseño,diseño,diseño
4144,diseño,*diseño* (diseñar),diseñar
4145,barra,barra,barra
4146,barra,*barra* (barrer),barrer
4147,anciano,anciano,anciano
4148,alfombra,alfombra,alfombra
4149,alfombra,*alfombra* (alfombrar),alfombrar
4150,actriz,actriz,actriz
4151,tono,tono,tono
4152,sentarse,*sentarse* (sentar),sentar
4153,remedio,remedio,remedio
4154,listas,*listas* (lista),lista
4155,listas,*listas* (listo),listo
4156,gris,gris,gris
4157,enviaron,*enviaron* (enviar),enviar
4158,entendiste,*entendiste* (entender),entender
4159,disfrutar,disfrutar,disfrutar
4160,contaré,*contaré* (contar),contar
4161,comen,*comen* (comer),comer
4162,sentada,*sentada* (sentado),sentado
4163,sentada,*sentada* (sentar),sentar
