,Spanish,show,lemma
100,tiempo,tiempo,tiempo
101,verdad,verdad,verdad
102,estaba,*estaba* (estar),estar
103,mejor,mejor,mejor
104,están,*están* (estar),estar
105,va,*va* (ir),ir
106,hombre,hombre,hombre
107,usted,usted,usted
108,mucho,mucho,mucho
109,hace,*hace* (hacer),hacer
110,entonces,entonces,entonces
111,siento,*siento* (sentir),sentir
112,siento,*siento* (sentar),sentar
113,tenemos,*tenemos* (tener),tener
114,puedes,*puedes* (poder),poder
115,ahí,ahí,ahí
116,ti,ti,ti
117,vida,vida,vida
118,ver,ver,ver
119,alguien,alguien,alguien
120,sr,*sr* (señor),señor
121,hasta,hasta,hasta
122,sin,sin,sin
123,mí,mí,mí
124,solo,solo,solo
125,años,*años* (año),año
126,sobre,sobre,sobre
127,decir,decir,decir
128,uno,uno,uno
129,siempre,siempre,siempre
130,oh,oh,oh
131,ir,ir,ir
132,cosas,*cosas* (cosa),cosa
133,cosas,*cosas* (coser),coser
134,también,también,también
135,antes,antes,antes
136,has,*has* (haber),haber
137,ni,ni,ni
138,mis,*mis* (mi),mi
139,día,día,día
140,estar,estar,estar
141,estamos,*estamos* (estar),estar
142,noche,noche,noche
143,nadie,nadie,nadie
144,otra,*otra* (otro),otro
145,quiere,*quiere* (querer),querer
146,parece,*parece* (parecer),parecer
147,nosotros,nosotros,nosotros
148,poco,poco,poco
149,padre,padre,padre
150,trabajo,trabajo,trabajo
151,trabajo,*trabajo* (trabajar),trabajar
152,gente,gente,gente
153,mira,*mira* (mirar),mirar
154,vas,*vas* (ir),ir
155,sea,*sea* (ser),ser
156,les,les,les
157,donde,donde,donde
158,mismo,mismo,mismo
159,hecho,*hecho* (hacer),hacer
160,hecho,hecho,hecho
161,ellos,ellos,ellos
162,dijo,*dijo* (decir),decir
163,pasa,*pasa* (pasar),pasar
164,dinero,dinero,dinero
165,hijo,hijo,hijo
166,tal,tal,tal
167,otro,otro,otro
168,hablar,hablar,hablar
169,seguro,seguro,seguro
170,claro,claro,claro
171,estas,*estas* (este),este
172,lugar,lugar,lugar
173,mundo,mundo,mundo
174,amigo,amigo,amigo
175,espera,*espera* (esperar),esperar
176,espera,espera,espera
177,mierda,mierda,mierda
178,han,*han* (haber),haber
179,tus,*tus* (tu),tu
180,sabe,*sabe* (saber),saber
181,después,después,después
182,momento,momento,momento
183,desde,desde,desde
184,fuera,fuera,fuera
185,fuera,*fuera* (ir),ir
186,fuera,*fuera* (ser),ser
187,cosa,cosa,cosa
188,cosa,*cosa* (coser),coser
189,tipo,tipo,tipo
190,mañana,mañana,mañana
191,podemos,*podemos* (poder),poder
192,dije,*dije* (decir),decir
193,gran,*gran* (grande),grande
194,necesito,*necesito* (necesitar),necesitar
195,estado,*estado* (estar),estar
196,estado,estado,estado
197,podría,*podría* (poder),poder
198,acuerdo,*acuerdo* (acordar),acordar
199,acuerdo,acuerdo,acuerdo
