,Spanish,show,lemma
6400,juramento,juramento,
6401,garras,*garras* (garra),
6402,consejero,consejero,
6403,confusión,confusión,
6404,aguarda,*aguarda* (aguardar),
6405,vuestras,*vuestras* (vuestro),
6406,ventas,*ventas* (venta),
6407,sirviente,sirviente,
6408,sierra,sierra,
6409,serios,*serios* (serio),
6410,pónganse,*pónganse* (poner),
6411,perderte,*perderte* (perder),
6412,juegan,*juegan* (jugar),
6413,indicado,indicado,indicado
6414,indicado,*indicado* (indicar),indicar
6415,entrenado,entrenado,entrenado
6416,entrenado,*entrenado* (entrenar),entrenar
6417,enteré,*enteré* (enterar),
6418,enhorabuena,enhorabuena,
6419,cuba,*cuba* (Cuba),
6420,cruce,cruce,cruce
6421,cruce,*cruce* (cruzar),cruzar
6422,crean,*crean* (crear),
6423,contarme,*contarme* (contar),
6424,cancelar,cancelar,
6425,callar,callar,
6426,aceptarlo,*aceptarlo* (aceptar),
6427,suite,suite,
6428,soñar,soñar,
6429,provisiones,*provisiones* (provisión),
6430,preferido,preferido,preferido
6431,preferido,*preferido* (preferir),preferir
6432,normas,*normas* (norma),
6433,mientas,*mientas* (mentir),
6434,mandé,*mandé* (mandar),
6435,mandado,mandado,mandado
6436,mandado,*mandado* (mandar),mandar
6437,llámeme,*llámeme* (llamar),
6438,huella,huella,
6439,gilipollas,gilipollas,
6440,fingiendo,*fingiendo* (fingir),
6441,eterno,eterno,
6442,escopeta,escopeta,
6443,divertirse,*divertirse* (divertir),
6444,distintos,*distintos* (distinto),
6445,desesperado,desesperado,desesperado
6446,desesperado,*desesperado* (desesperar),desesperar
6447,bailarina,bailarina,bailarina
6448,bailarina,*bailarina* (bailarín),bailarín
6449,alimentar,alimentar,
6450,adora,*adora* (adorar),
6451,simpático,simpático,
6452,ridícula,*ridícula* (ridículo),
6453,respetar,respetar,
6454,rabia,rabia,rabia
6455,rabia,*rabia* (rabiar),rabiar
6456,presentó,*presentó* (presentar),
6457,poderosos,*poderosos* (poderoso),
6458,pito,pito,pito
6459,pito,*pito* (pitar),pitar
6460,perla,perla,
6461,pendiente,pendiente,
6462,maestros,*maestros* (maestro),
6463,humanas,*humanas* (humano),
6464,estare,*estare* (estar),
6465,escuchame,*escuchame* (escuchar),
6466,entere,*entere* (enterar),
6467,bésame,*bésame* (besar),
6468,suicida,suicida,
6469,suelten,*suelten* (soltar),
6470,sobrina,sobrina,
6471,presentarte,*presentarte* (presentar),
6472,padrino,padrino,
6473,fractura,fractura,fractura
6474,fractura,*fractura* (fracturar),fracturar
6475,explicarte,*explicarte* (explicar),
6476,escuches,*escuches* (escuchar),
6477,envío,envío,envío
6478,envío,*envío* (enviar),enviar
6479,enterrar,enterrar,
6480,destrozado,destrozado,destrozado
6481,destrozado,*destrozado* (destrozar),destrozar
6482,dejarle,*dejarle* (dejar),
6483,condicional,condicional,
6484,cometió,*cometió* (cometer),
6485,avergonzado,avergonzado,avergonzado
6486,avergonzado,*avergonzado* (avergonzar),avergonzar
6487,artículos,*artículos* (artículo),
6488,amenazas,*amenazas* (amenaza),amenaza
6489,amenazas,*amenazas* (amenazar),amenazar
6490,victima,*victima* (víctima),
6491,val,val,
6492,símbolos,*símbolos* (símbolo),
6493,saltó,*saltó* (saltar),
6494,repetir,repetir,
6495,pelos,*pelos* (pelo),
6496,organizado,organizado,organizado
6497,organizado,*organizado* (organizar),organizar
6498,novato,novato,
6499,localizar,localizar,
