,Spanish,show,lemma
2300,esperamos,*esperamos* (esperar),
2301,escuchado,*escuchado* (escuchar),
2302,cable,cable,
2303,rosa,rosa,
2304,bola,bola,
2305,oferta,oferta,
2306,intentarlo,*intentarlo* (intentar),
2307,habido,*habido* (haber),
2308,continuar,continuar,
2309,ladrón,ladrón,
2310,humanidad,humanidad,
2311,estómago,estómago,
2312,entera,*entera* (entero),
2313,contó,*contó* (contar),
2314,poniendo,*poniendo* (poner),
2315,mercado,mercado,
2316,granja,granja,
2317,idiotas,*idiotas* (idiota),
2318,hablemos,*hablemos* (hablar),
2319,estudiante,estudiante,
2320,siglo,siglo,
2321,relaciones,*relaciones* (relación),
2322,hablan,*hablan* (hablar),
2323,nosotras,nosotras,
2324,miembro,miembro,
2325,fortuna,fortuna,
2326,libres,*libres* (libre),
2327,acciones,*acciones* (acción),
2328,esperas,*esperas* (espera),espera
2329,esperas,*esperas* (esperar),esperar
2330,suficientemente,suficientemente,
2331,llevaron,*llevaron* (llevar),
2332,ocurrido,*ocurrido* (ocurrir),
2333,andar,andar,
2334,perfectamente,perfectamente,
2335,pasan,*pasan* (pasar),
2336,jardín,jardín,
2337,cola,cola,cola
2338,cola,*cola* (colar),colar
2339,resultados,*resultados* (resultado),
2340,francés,francés,
2341,troya,*troya* (Troya),
2342,tercera,*tercera* (tercero),
2343,entrenamiento,entrenamiento,
2344,azúcar,azúcar,
2345,metido,*metido* (meter),
2346,ayudarlo,*ayudarlo* (ayudar),
2347,diles,*diles* (decir),
2348,coger,coger,
2349,lunes,lunes,
2350,ey,ey,
2351,intención,intención,
2352,volviendo,*volviendo* (volver),
2353,efectivo,efectivo,
2354,salgamos,*salgamos* (salir),
2355,preguntaba,*preguntaba* (preguntar),
2356,olvida,*olvida* (olvidar),
2357,helicóptero,helicóptero,
2358,fuertes,*fuertes* (fuerte),
2359,encantador,encantador,
2360,original,original,
2361,cadena,cadena,
2362,tarea,tarea,
2363,dispara,*dispara* (disparar),
2364,corta,*corta* (corto),corto
2365,corta,*corta* (cortar),cortar
2366,compañeros,*compañeros* (compañero),
2367,cirugía,cirugía,
2368,quítate,*quítate* (quitar),
2369,querían,*querían* (querer),
2370,precioso,precioso,
2371,lord,lord,
2372,comenzó,*comenzó* (comenzar),
2373,truco,truco,
2374,inspector,inspector,
2375,enojado,enojado,enojado
2376,enojado,*enojado* (enojar),enojar
2377,felicidades,*felicidades* (felicidad),
2378,desaparecido,desaparecido,desaparecido
2379,desaparecido,*desaparecido* (desaparecer),desaparecer
2380,acto,acto,
2381,pollo,pollo,
2382,chocolate,chocolate,
2383,adonde,adonde,
2384,resulta,*resulta* (resultar),
2385,merece,*merece* (merecer),
2386,gas,gas,
2387,examen,examen,
2388,vean,*vean* (ver),
2389,tonta,*tonta* (tonto),
2390,importantes,*importantes* (importante),
2391,apuesta,apuesta,apuesta
2392,apuesta,*apuesta* (apostar),apostar
2393,directamente,directamente,
2394,recuperar,recuperar,
2395,pongo,*pongo* (poner),
2396,llegaron,*llegaron* (llegar),
2397,cobarde,cobarde,
2398,cantidad,cantidad,
2399,sucio,sucio,
