,Spanish,show,lemma
3600,amén,amén,
3601,funcionando,*funcionando* (funcionar),
3602,personalidad,personalidad,
3603,muro,muro,
3604,contestar,contestar,
3605,razon,*razon* (razón),
3606,peores,*peores* (peor),
3607,particular,particular,
3608,llévame,*llévame* (llevar),
3609,gimnasio,gimnasio,
3610,emocionante,emocionante,
3611,desgracia,desgracia,
3612,científico,científico,
3613,buscado,*buscado* (buscar),
3614,terapia,terapia,
3615,prepara,*prepara* (preparar),
3616,patrulla,patrulla,
3617,globo,globo,
3618,despejado,despejado,despejado
3619,despejado,*despejado* (despejar),despejar
3620,creado,creado,creado
3621,creado,*creado* (crear),crear
3622,aprendido,*aprendido* (aprender),
3623,nací,*nací* (nacer),
3624,embajador,embajador,
3625,barcos,*barcos* (barco),
3626,posiblemente,posiblemente,
3627,malvado,malvado,
3628,dormitorio,dormitorio,
3629,despacho,despacho,despacho
3630,despacho,*despacho* (despachar),despachar
3631,desagradable,desagradable,
3632,viniendo,*viniendo* (venir),
3633,recibo,recibo,recibo
3634,recibo,*recibo* (recibir),recibir
3635,nuclear,nuclear,
3636,mensajes,*mensajes* (mensaje),
3637,mantengan,*mantengan* (mantener),
3638,ultimo,*ultimo* (último),
3639,autoridades,*autoridades* (autoridad),
3640,quedes,*quedes* (quedar),
3641,pasaron,*pasaron* (pasar),
3642,gano,*gano* (ganar),
3643,ayudo,*ayudo* (ayudar),
3644,aprecio,aprecio,aprecio
3645,aprecio,*aprecio* (apreciar),apreciar
3646,sentimiento,sentimiento,
3647,popular,popular,
3648,extrañas,*extrañas* (extrañar),
3649,detenerlo,*detenerlo* (detener),
3650,civiles,*civiles* (civil),
3651,tontería,tontería,
3652,reyes,*reyes* (rey),
3653,americana,*americana* (americano),
3654,vuelven,*vuelven* (volver),
3655,ventanas,*ventanas* (ventana),
3656,tiburón,tiburón,
3657,peleas,*peleas* (pelea),pelea
3658,peleas,*peleas* (pelear),pelear
3659,organización,organización,
3660,ayudarla,*ayudarla* (ayudar),
3661,tuvieras,*tuvieras* (tener),
3662,querrás,*querrás* (querer),
3663,querrá,*querrá* (querer),
3664,infección,infección,
3665,decente,decente,
3666,logrado,logrado,logrado
3667,logrado,*logrado* (lograr),lograr
3668,jersey,jersey,
3669,amar,amar,
3670,equipos,*equipos* (equipo),
3671,canta,*canta* (cantar),
3672,bebés,*bebés* (bebé),
3673,pozo,pozo,
3674,india,india,india
3675,india,*india* (indio),indio
3676,india,*india* (India),India
3677,esperado,*esperado* (esperar),esperar
3678,esperado,esperado,esperado
3679,enseñar,enseñar,
3680,darnos,*darnos* (dar),
3681,tomaste,*tomaste* (tomar),
3682,internet,internet,
3683,habilidades,*habilidades* (habilidad),
3684,encanto,encanto,encanto
3685,encanto,*encanto* (encantar),encantar
3686,dispararon,*dispararon* (disparar),
3687,comprendes,*comprendes* (comprender),
3688,áfrica,*áfrica* (África),
3689,adorable,adorable,
3690,rica,*rica* (rico),
3691,llegaremos,*llegaremos* (llegar),
3692,reales,*reales* (real),
3693,mismas,*mismas* (mismo),
3694,medios,*medios* (medio),
3695,marihuana,marihuana,
3696,traidor,traidor,
3697,funcione,*funcione* (funcionar),
3698,clínica,clínica,clínica
3699,clínica,*clínica* (clínico),clínico
