,Spanish,show,lemma
5000,corten,*corten* (cortar),
5001,comisión,comisión,
5002,vidrio,vidrio,
5003,presa,presa,presa
5004,presa,*presa* (preso),preso
5005,ocupados,*ocupados* (ocupado),ocupado
5006,ocupados,*ocupados* (ocupar),ocupar
5007,morfina,morfina,
5008,habrían,*habrían* (haber),
5009,columna,columna,
5010,sacaron,*sacaron* (sacar),
5011,patas,*patas* (pata),
5012,oírme,*oírme* (oír),
5013,ocultar,ocultar,
5014,objeción,objeción,
5015,maneja,*maneja* (manejar),
5016,largas,*largas* (largo),largo
5017,largas,*largas* (largar),largar
5018,generalmente,generalmente,
5019,fuentes,*fuentes* (fuente),
5020,cubrir,cubrir,
5021,ataca,*ataca* (atacar),
5022,tenis,tenis,
5023,santos,*santos* (santo),
5024,potencial,potencial,
5025,plano,plano,
5026,levante,*levante* (levantar),
5027,escala,escala,escala
5028,escala,*escala* (escalar),escalar
5029,enfrentar,enfrentar,
5030,cuánta,*cuánta* (cuánto),cuánto
5031,cuánta,*cuánta* (cuanto),cuanto
5032,sobra,sobra,sobra
5033,sobra,*sobra* (sobrar),sobrar
5034,rumor,rumor,
5035,páginas,*páginas* (página),
5036,órganos,*órganos* (órgano),
5037,león,león,
5038,entras,*entras* (entrar),
5039,decían,*decían* (decir),
5040,chinos,*chinos* (chino),
5041,brujas,*brujas* (bruja),
5042,barbara,*barbara* (bárbaro),bárbaro
5043,barbara,*barbara* (Barbara),Barbara
5044,admiro,*admiro* (admirar),
5045,voto,voto,voto
5046,voto,*voto* (votar),votar
5047,volvieron,*volvieron* (volver),
5048,suelte,*suelte* (soltar),
5049,reto,reto,reto
5050,reto,*reto* (retar),retar
5051,metes,*metes* (meter),
5052,infarto,infarto,
5053,cuyo,cuyo,
5054,construyó,*construyó* (construir),
5055,boleto,boleto,
5056,besar,besar,
5057,portal,portal,
5058,ponemos,*ponemos* (poner),
5059,monte,monte,
5060,discusión,discusión,
5061,digno,digno,
5062,desean,*desean* (desear),
5063,darse,*darse* (dar),
5064,considerar,considerar,
5065,bancos,*bancos* (banco),
5066,poción,poción,
5067,perdóneme,*perdóneme* (perdonar),
5068,pensabas,*pensabas* (pensar),
5069,generoso,generoso,
5070,estatua,estatua,
5071,convencer,convencer,
5072,conocida,conocida,conocida
5073,conocida,*conocida* (conocido),conocido
5074,conocida,*conocida* (conocer),conocer
5075,comenzamos,*comenzamos* (comenzar),
5076,aceptado,aceptado,aceptado
5077,aceptado,*aceptado* (aceptar),aceptar
5078,rob,rob,rob
5079,rob,*rob* (Rob),Rob
5080,importar,importar,
5081,fracaso,fracaso,fracaso
5082,fracaso,*fracaso* (fracasar),fracasar
5083,ciertos,*ciertos* (cierto),
5084,bomberos,*bomberos* (bombero),
5085,sorprendido,sorprendido,sorprendido
5086,sorprendido,*sorprendido* (sorprender),sorprender
5087,protegido,protegido,protegido
5088,protegido,*protegido* (proteger),proteger
5089,presenta,*presenta* (presentar),
5090,metí,*metí* (meter),
5091,entenderlo,*entenderlo* (entender),
5092,detengan,*detengan* (detener),
5093,conflicto,conflicto,
5094,códigos,*códigos* (código),
5095,seco,seco,
5096,sabiendo,*sabiendo* (saber),
5097,hacerla,*hacerla* (hacer),
5098,graves,*graves* (grave),
5099,dejarás,*dejarás* (dejar),
