,Spanish,show,lemma
4100,vais,*vais* (ir),
4101,sufrido,sufrido,sufrido
4102,sufrido,*sufrido* (sufrir),sufrir
4103,ningun,*ningun* (ningún),
4104,helena,*helena* (heleno),heleno
4105,helena,*helena* (Helena),Helena
4106,terror,terror,
4107,salva,*salva* (salvar),salvar
4108,salva,*salva* (salvo),salvo
4109,salva,salva,salva
4110,salgas,*salgas* (salir),
4111,sacarte,*sacarte* (sacar),
4112,lanza,lanza,lanza
4113,lanza,*lanza* (lanzar),lanzar
4114,usó,*usó* (usar),
4115,quince,quince,
4116,prometido,prometido,prometido
4117,prometido,*prometido* (prometer),prometer
4118,preciso,preciso,
4119,pirata,pirata,
4120,moral,moral,
4121,moneda,moneda,
4122,haberle,*haberle* (haber),
4123,estuvieras,*estuvieras* (estar),
4124,dijimos,*dijimos* (decir),
4125,cayendo,*cayendo* (caer),
4126,bajas,*bajas* (bajo),bajo
4127,bajas,*bajas* (baja),baja
4128,viniera,*viniera* (venir),
4129,soñando,*soñando* (soñar),
4130,servirá,*servirá* (servir),
4131,moscú,*moscú* (Moscú),
4132,mínimo,mínimo,
4133,hermosas,*hermosas* (hermoso),
4134,escondido,escondido,escondido
4135,escondido,*escondido* (esconder),esconder
4136,demostrar,demostrar,
4137,perrito,perrito,perrito
4138,perrito,*perrito* (perro),perro
4139,intente,*intente* (intentar),
4140,habrán,*habrán* (haber),
4141,experimento,experimento,
4142,espaldas,*espaldas* (espalda),
4143,diseño,diseño,diseño
4144,diseño,*diseño* (diseñar),diseñar
4145,barra,barra,barra
4146,barra,*barra* (barrer),barrer
4147,anciano,anciano,
4148,alfombra,alfombra,alfombra
4149,alfombra,*alfombra* (alfombrar),alfombrar
4150,actriz,actriz,
4151,tono,tono,
4152,sentarse,*sentarse* (sentar),
4153,remedio,remedio,
4154,listas,*listas* (lista),lista
4155,listas,*listas* (listo),listo
4156,gris,gris,
4157,enviaron,*enviaron* (enviar),
4158,entendiste,*entendiste* (entender),
4159,disfrutar,disfrutar,
4160,contaré,*contaré* (contar),
4161,comen,*comen* (comer),
4162,sentada,*sentada* (sentado),sentado
4163,sentada,*sentada* (sentar),sentar
4164,pregunte,*pregunte* (preguntar),
4165,japonés,japonés,
4166,gritos,*gritos* (grito),
4167,dolares,*dolares* (dólar),
4168,asegurarme,*asegurarme* (asegurar),
4169,restos,*restos* (resto),
4170,pierdo,*pierdo* (perder),
4171,motivos,*motivos* (motivo),
4172,dimos,*dimos* (decir),
4173,campeonato,campeonato,
4174,apúrense,*apúrense* (apurar),
4175,unico,*unico* (único),
4176,reír,reír,
4177,prima,prima,
4178,maricón,maricón,
4179,actúa,*actúa* (actuar),
4180,periodista,periodista,
4181,luchando,*luchando* (luchar),
4182,estelar,estelar,
4183,escritor,escritor,
4184,encontrarás,*encontrarás* (encontrar),
4185,dejando,*dejando* (dejar),
4186,adecuado,adecuado,
4187,terrorista,terrorista,
4188,hierro,hierro,
4189,enterrado,enterrado,enterrado
4190,enterrado,*enterrado* (enterrar),enterrar
4191,sincero,sincero,
4192,representa,*representa* (representar),
4193,positivo,positivo,
4194,mereces,*mereces* (merecer),
4195,italia,*italia* (Italia),
4196,fea,*fea* (feo),
4197,acerques,*acerques* (acercar),
4198,petróleo,petróleo,
4199,encargado,encargado,encargado
