,Spanish,show,lemma
6000,encuentres,*encuentres* (encontrar),
6001,controles,*controles* (controlar),controlar
6002,controles,*controles* (control),control
6003,choque,choque,choque
6004,choque,*choque* (chocar),chocar
6005,celos,*celos* (celo),
6006,aclarar,aclarar,
6007,sentiría,*sentiría* (sentir),
6008,santuario,santuario,
6009,queden,*queden* (quedar),
6010,piratas,*piratas* (pirata),
6011,impulso,impulso,
6012,impedir,impedir,
6013,grita,*grita* (gritar),
6014,envíe,*envíe* (enviar),
6015,entraste,*entraste* (entrar),
6016,debieron,*debieron* (deber),
6017,creías,*creías* (creer),
6018,cobrar,cobrar,
6019,audición,audición,
6020,asesinados,*asesinados* (asesinado),asesinado
6021,asesinados,*asesinados* (asesinar),asesinar
6022,afueras,afueras,
6023,tribu,tribu,
6024,testamento,testamento,
6025,postre,postre,
6026,paró,*paró* (parar),
6027,ópera,ópera,
6028,falló,*falló* (fallar),
6029,estatal,estatal,
6030,esclavo,esclavo,
6031,déjate,*déjate* (dejar),
6032,costillas,*costillas* (costilla),
6033,costará,*costará* (costar),
6034,chistes,*chistes* (chiste),
6035,arreglaré,*arreglaré* (arreglar),
6036,alcanza,*alcanza* (alcanzar),
6037,valientes,*valientes* (valiente),
6038,privilegio,privilegio,
6039,orina,orina,
6040,jovencito,jovencito,jovencito
6041,jovencito,*jovencito* (joven),joven
6042,invasión,invasión,
6043,estuvieran,*estuvieran* (estar),
6044,estupideces,*estupideces* (estupidez),
6045,encaja,*encaja* (encajar),
6046,durará,*durará* (durar),
6047,descanse,*descanse* (descansar),
6048,déjanos,*déjanos* (dejar),
6049,camas,*camas* (cama),
6050,cables,*cables* (cable),
6051,bárbara,*bárbara* (bárbaro),
6052,avanzando,*avanzando* (avanzar),
6053,usualmente,usualmente,
6054,sagrada,*sagrada* (sagrado),
6055,sable,sable,
6056,retírense,*retírense* (retirar),
6057,retirada,*retirada* (retirado),retirado
6058,retirada,*retirada* (retirar),retirar
6059,psicópata,psicópata,
6060,preocupo,*preocupo* (preocupar),
6061,plaga,plaga,plaga
6062,plaga,*plaga* (plagar),plagar
6063,ohh,ohh,
6064,malvada,*malvada* (malvado),
6065,existir,existir,
6066,entendemos,*entendemos* (entender),
6067,bendito,bendito,bendito
6068,bendito,*bendito* (bendecir),bendecir
6069,arregla,*arregla* (arreglar),
6070,supuestamente,supuestamente,
6071,residente,residente,
6072,rescatar,rescatar,
6073,pesada,*pesada* (pesado),pesado
6074,pesada,*pesada* (pesar),pesar
6075,oímos,*oímos* (oír),
6076,locas,*locas* (loco),
6077,llegarán,*llegarán* (llegar),
6078,hermanito,hermanito,hermanito
6079,hermanito,*hermanito* (hermano),hermano
6080,hamburguesas,*hamburguesas* (hamburguesa),
6081,firmado,firmado,firmado
6082,firmado,*firmado* (firmar),firmar
6083,entrenar,entrenar,
6084,encendido,encendido,encendido
6085,encendido,*encendido* (encender),encender
6086,disfruten,*disfruten* (disfrutar),
6087,deseaba,*deseaba* (desear),
6088,conocías,*conocías* (conocer),
6089,cambiaron,*cambiaron* (cambiar),
6090,boxeo,boxeo,boxeo
6091,boxeo,*boxeo* (boxear),boxear
6092,autorizado,autorizado,autorizado
6093,autorizado,*autorizado* (autorizar),autorizar
6094,armadura,armadura,
6095,sobrevivió,*sobrevivió* (sobrevivir),
6096,preocupados,*preocupados* (preocupado),preocupado
6097,preocupados,*preocupados* (preocupar),preocupar
6098,ocasiones,*ocasiones* (ocasión),
6099,necesitarás,*necesitarás* (necesitar),
