,Spanish,show,lemma
4700,objetos,*objetos* (objeto),
4701,negociar,negociar,
4702,formar,formar,
4703,fiel,fiel,
4704,diosa,diosa,
4705,descubrió,*descubrió* (descubrir),
4706,ala,ala,
4707,abril,abril,
4708,saldré,*saldré* (salir),
4709,mías,*mías* (mío),
4710,disfruta,*disfruta* (disfrutar),
4711,atender,atender,
4712,tomaremos,*tomaremos* (tomar),
4713,oreja,oreja,
4714,necesitaremos,*necesitaremos* (necesitar),
4715,motores,*motores* (motor),
4716,intenciones,*intenciones* (intención),
4717,cumplido,cumplido,cumplido
4718,cumplido,*cumplido* (cumplir),cumplir
4719,brindis,brindis,
4720,villa,villa,
4721,trono,trono,
4722,traen,*traen* (traer),
4723,sentados,*sentados* (sentado),sentado
4724,sentados,*sentados* (sentar),sentar
4725,samurai,samurai,
4726,salía,*salía* (salir),
4727,raras,*raras* (raro),
4728,producción,producción,
4729,medias,*medias* (medio),
4730,lavar,lavar,
4731,jazz,jazz,
4732,extraordinario,extraordinario,
4733,causado,causado,causado
4734,causado,*causado* (causar),causar
4735,serpientes,*serpientes* (serpiente),
4736,revisa,*revisa* (revisar),
4737,quedate,*quedate* (quedar),
4738,nervios,*nervios* (nervio),
4739,estable,estable,
4740,cerdos,*cerdos* (cerdo),
4741,riesgos,*riesgos* (riesgo),
4742,pasaste,*pasaste* (pasar),
4743,madres,*madres* (madre),
4744,instinto,instinto,
4745,episodio,episodio,
4746,empezaron,*empezaron* (empezar),
4747,aniversario,aniversario,
4748,viera,*viera* (ver),
4749,viajes,*viajes* (viaje),
4750,trabajé,*trabajé* (trabajar),
4751,rango,rango,
4752,preocupación,preocupación,
4753,métete,*métete* (meter),
4754,imaginé,*imaginé* (imaginar),
4755,hayamos,*hayamos* (haber),
4756,fenómeno,fenómeno,
4757,dolores,*dolores* (dolor),
4758,demanda,demanda,demanda
4759,demanda,*demanda* (demandar),demandar
4760,creó,*creó* (creer),
4761,asegurar,asegurar,
4762,pesadillas,*pesadillas* (pesadilla),
4763,niega,*niega* (negar),
4764,molestia,molestia,
4765,extremo,extremo,
4766,debilidad,debilidad,
4767,compasión,compasión,
4768,camiones,*camiones* (camión),
4769,aproximadamente,aproximadamente,
4770,afecta,*afecta* (afectar),
4771,administración,administración,
4772,reconocimiento,reconocimiento,
4773,recientemente,recientemente,
4774,practicar,practicar,
4775,pierdas,*pierdas* (perder),
4776,pandilla,pandilla,
4777,miss,miss,
4778,mates,*mates* (matar),matar
4779,mates,*mates* (mate),mate
4780,disparando,*disparando* (disparar),
4781,británicos,*británicos* (británico),
4782,ayudarlos,*ayudarlos* (ayudar),
4783,sueldo,sueldo,
4784,siguió,*siguió* (seguir),
4785,significado,significado,significado
4786,significado,*significado* (significar),significar
4787,miente,*miente* (mentir),
4788,medidas,*medidas* (medida),medida
4789,medidas,*medidas* (medir),medir
4790,guitarra,guitarra,
4791,custodia,custodia,
4792,boletos,*boletos* (boleto),
4793,ayudado,*ayudado* (ayudar),
4794,sentarte,*sentarte* (sentar),
4795,risa,risa,
4796,quemar,quemar,
4797,prometió,*prometió* (prometer),
4798,observando,*observando* (observar),
4799,lectura,lectura,
