,Spanish,show,lemma
2900,lección,lección,
2901,algun,*algun* (algún),
2902,abrigo,abrigo,
2903,tratamiento,tratamiento,
2904,julio,julio,
2905,pene,pene,
2906,conejo,conejo,
2907,suceder,suceder,
2908,ruta,ruta,
2909,ciego,ciego,
2910,asqueroso,asqueroso,
2911,súper,súper,
2912,prisionero,prisionero,
2913,odie,*odie* (odiar),
2914,ocupada,*ocupada* (ocupado),ocupado
2915,ocupada,*ocupada* (ocupar),ocupar
2916,llevarlo,*llevarlo* (llevar),
2917,empezamos,*empezamos* (empezar),
2918,estuvimos,*estuvimos* (estar),
2919,decírselo,*decírselo* (decir),
2920,honesto,honesto,
2921,entrevista,entrevista,
2922,antigua,*antigua* (antiguo),
2923,amante,amante,
2924,humo,humo,
2925,gustas,*gustas* (gustar),
2926,condado,condado,
2927,conseguido,conseguido,conseguido
2928,conseguido,*conseguido* (conseguir),conseguir
2929,viajar,viajar,
2930,sombra,sombra,
2931,sabrá,*sabrá* (saber),
2932,refiere,*refiere* (referir),
2933,lío,lío,
2934,estáis,*estáis* (estar),
2935,entrega,entrega,entrega
2936,entrega,*entrega* (entregar),entregar
2937,drácula,*drácula* (Drácula),
2938,compartir,compartir,
2939,volvamos,*volvamos* (volver),
2940,sonrisa,sonrisa,
2941,sencillo,sencillo,
2942,atrapado,atrapado,atrapado
2943,atrapado,*atrapado* (atrapar),atrapar
2944,aburrido,aburrido,aburrido
2945,aburrido,*aburrido* (aburrir),aburrir
2946,pocas,*pocas* (poco),
2947,pensaste,*pensaste* (pensar),
2948,dragón,dragón,
2949,volví,*volví* (volver),
2950,planta,planta,planta
2951,planta,*planta* (plantar),plantar
2952,clima,clima,
2953,adoro,*adoro* (adorar),
2954,suave,suave,
2955,ruso,ruso,
2956,rodillas,*rodillas* (rodilla),
2957,marina,*marina* (marino),marino
2958,marina,marina,marina
2959,bolso,bolso,
2960,alarma,alarma,alarma
2961,alarma,*alarma* (alarmar),alarmar
2962,vivía,*vivía* (vivir),
2963,quédese,*quédese* (quedar),
2964,recompensa,recompensa,recompensa
2965,recompensa,*recompensa* (recompensar),recompensar
2966,juega,*juega* (jugar),
2967,cigarrillo,cigarrillo,
2968,autoridad,autoridad,
2969,amigas,*amigas* (amiga),
2970,agujero,agujero,
2971,acabe,*acabe* (acabar),
2972,sacaste,*sacaste* (sacar),
2973,orgullosa,*orgullosa* (orgulloso),
2974,entendí,*entendí* (entender),
2975,dijera,*dijera* (decir),
2976,sótano,sótano,
2977,paredes,*paredes* (pared),
2978,guapa,*guapa* (guapo),
2979,iría,*iría* (ir),
2980,imaginar,imaginar,
2981,fiebre,fiebre,
2982,déjala,*déjala* (dejar),
2983,botón,botón,
2984,preguntarle,*preguntarle* (preguntar),
2985,leyendo,*leyendo* (leer),
2986,darles,*darles* (dar),
2987,uniforme,uniforme,
2988,dulces,*dulces* (dulce),
2989,vaso,vaso,
2990,documentos,*documentos* (documento),
2991,ruego,*ruego* (rogar),
2992,maneras,*maneras* (manera),
2993,invitados,*invitados* (invitado),invitado
2994,invitados,*invitados* (invitar),invitar
2995,cómodo,cómodo,
2996,ayudarnos,*ayudarnos* (ayudar),
2997,visitar,visitar,
2998,vigilancia,vigilancia,
2999,nadar,nadar,
