,Spanish,show,lemma
4500,misiles,*misiles* (misil),
4501,desnuda,*desnuda* (desnudo),desnudo
4502,desnuda,*desnuda* (desnudar),desnudar
4503,vaquero,vaquero,
4504,únicos,*únicos* (único),
4505,trasera,*trasera* (trasero),
4506,sano,sano,
4507,piezas,*piezas* (pieza),
4508,liga,liga,liga
4509,liga,*liga* (ligar),ligar
4510,gerente,gerente,
4511,caridad,caridad,
4512,armados,*armados* (armado),armado
4513,armados,*armados* (armar),armar
4514,trajeron,*trajeron* (traer),
4515,religión,religión,
4516,fotografías,*fotografías* (fotografía),
4517,sentirse,*sentirse* (sentir),
4518,rezar,rezar,
4519,protege,*protege* (proteger),
4520,preparen,*preparen* (preparar),
4521,niñera,niñera,
4522,naranja,naranja,naranja
4523,naranja,*naranja* (naranjo),naranjo
4524,matarnos,*matarnos* (matar),
4525,jugada,jugada,jugada
4526,jugada,*jugada* (jugar),jugar
4527,espérame,*espérame* (esperar),
4528,enseñarte,*enseñarte* (enseñar),
4529,cohete,cohete,
4530,tanques,*tanques* (tanque),
4531,sombras,*sombras* (sombra),
4532,moverse,*moverse* (mover),
4533,llegara,*llegara* (llegar),
4534,cortó,*cortó* (cortar),
4535,cierren,*cierren* (cerrar),
4536,volverán,*volverán* (volver),
4537,usamos,*usamos* (usar),
4538,sabremos,*sabremos* (saber),
4539,maletín,maletín,
4540,lenguaje,lenguaje,
4541,invitación,invitación,
4542,cambian,*cambian* (cambiar),
4543,rehenes,*rehenes* (rehén),
4544,encontremos,*encontremos* (encontrar),
4545,descubrí,*descubrí* (descubrir),
4546,audiencia,audiencia,
4547,agenda,agenda,
4548,sígueme,*sígueme* (seguir),
4549,sensible,sensible,
4550,reverendo,reverendo,
4551,queréis,*queréis* (querer),
4552,cazar,cazar,
4553,bodas,*bodas* (boda),
4554,seguiremos,*seguiremos* (seguir),
4555,rosas,*rosas* (rosa),
4556,retiro,retiro,retiro
4557,retiro,*retiro* (retirar),retirar
4558,primeras,*primeras* (primero),
4559,poderosa,*poderosa* (poderoso),
4560,deberia,*deberia* (deber),
4561,cantando,*cantando* (cantar),
4562,antiguos,*antiguos* (antiguo),
4563,teme,*teme* (temer),
4564,síganme,*síganme* (seguir),
4565,moviendo,*moviendo* (mover),
4566,juventud,juventud,
4567,equivocas,*equivocas* (equivocar),
4568,trabajadores,*trabajadores* (trabajador),
4569,seguí,*seguí* (seguir),
4570,salvaste,*salvaste* (salvar),
4571,pulmones,*pulmones* (pulmón),
4572,payaso,payaso,
4573,oírlo,*oírlo* (oír),
4574,fama,fama,
4575,engaño,engaño,engaño
4576,engaño,*engaño* (engañar),engañar
4577,distrito,distrito,
4578,disculparme,*disculparme* (disculpar),
4579,ciudadano,ciudadano,
4580,robando,*robando* (robar),
4581,equipaje,equipaje,
4582,ciencias,*ciencias* (ciencia),
4583,ubicación,ubicación,
4584,federales,*federales* (federal),
4585,tratamos,*tratamos* (tratar),
4586,ofrece,*ofrece* (ofrecer),
4587,junio,junio,
4588,extremadamente,extremadamente,
4589,actuando,*actuando* (actuar),
4590,traducción,traducción,
4591,supiste,*supiste* (saber),
4592,sacarlo,*sacarlo* (sacar),
4593,preparando,*preparando* (preparar),
4594,letras,*letras* (letra),
4595,típico,típico,
4596,reserva,reserva,reserva
4597,reserva,*reserva* (reservar),reservar
4598,propuesta,propuesta,propuesta
4599,propuesta,*propuesta* (propuesto),propuesto
