,Spanish,show,lemma
5900,jungla,jungla,
5901,dedicado,dedicado,dedicado
5902,dedicado,*dedicado* (dedicar),dedicar
5903,contentos,*contentos* (contento),
5904,compraré,*compraré* (comprar),
5905,astuto,astuto,
5906,antídoto,antídoto,
5907,vivas,*vivas* (vivir),
5908,vano,vano,
5909,sajones,*sajones* (sajón),
5910,raros,*raros* (raro),
5911,quemado,quemado,quemado
5912,quemado,*quemado* (quemar),quemar
5913,promesas,*promesas* (promesa),
5914,parejas,*parejas* (pareja),pareja
5915,parejas,*parejas* (parejo),parejo
5916,olvidarlo,*olvidarlo* (olvidar),
5917,locales,*locales* (local),
5918,fuga,fuga,
5919,estaciones,*estaciones* (estación),
5920,dispares,*dispares* (disparar),
5921,despidieron,*despidieron* (despedir),
5922,asesinada,*asesinada* (asesinado),asesinado
5923,asesinada,*asesinada* (asesinar),asesinar
5924,artillería,artillería,
5925,apariencia,apariencia,
5926,advertí,*advertí* (advertir),
5927,sacarme,*sacarme* (sacar),
5928,pueblos,*pueblos* (pueblo),
5929,mágico,mágico,
5930,garantizo,*garantizo* (garantizar),
5931,excusas,*excusas* (excusa),excusa
5932,excusas,*excusas* (excusar),excusar
5933,contratar,contratar,
5934,candidato,candidato,
5935,anteriormente,anteriormente,
5936,adicto,adicto,
5937,sello,sello,
5938,salvarlo,*salvarlo* (salvar),
5939,retrasado,retrasado,retrasado
5940,retrasado,*retrasado* (retrasar),retrasar
5941,placas,*placas* (placa),
5942,hermosos,*hermosos* (hermoso),
5943,galleta,galleta,
5944,escucharon,*escucharon* (escuchar),
5945,chistoso,chistoso,
5946,anillos,*anillos* (anillo),
5947,subió,*subió* (subir),
5948,solar,solar,
5949,píldoras,*píldoras* (píldora),
5950,pásame,*pásame* (pasar),
5951,juegues,*juegues* (jugar),
5952,grito,grito,grito
5953,grito,*grito* (gritar),gritar
5954,enseñado,enseñado,enseñado
5955,enseñado,*enseñado* (enseñar),enseñar
5956,encontrarte,*encontrarte* (encontrar),
5957,descubrimiento,descubrimiento,
5958,consigues,*consigues* (conseguir),
5959,clérigo,clérigo,
5960,clásico,clásico,
5961,batallas,*batallas* (batalla),batalla
5962,batallas,*batallas* (batallar),batallar
5963,uses,*uses* (usar),
5964,trates,*trates* (tratar),
5965,marzo,marzo,
5966,hechas,*hechas* (hecho),hecho
5967,hechas,*hechas* (hacer),hacer
5968,fraude,fraude,
5969,economía,economía,
5970,disfrute,*disfrute* (disfrutar),
5971,creerme,*creerme* (creer),
5972,costo,costo,costo
5973,costo,*costo* (costar),costar
5974,consiga,*consiga* (conseguir),
5975,condena,condena,
5976,bájate,*bájate* (bajar),
5977,alivio,alivio,alivio
5978,alivio,*alivio* (aliviar),aliviar
5979,traerá,*traerá* (traer),
5980,quedaremos,*quedaremos* (quedar),
5981,micrófono,micrófono,
5982,matemáticas,*matemáticas* (matemática),
5983,interesan,*interesan* (interesar),
5984,ida,*ida* (ido),ido
5985,ida,*ida* (ir),ir
5986,hueles,*hueles* (oler),
5987,giro,giro,giro
5988,giro,*giro* (girar),girar
5989,desgraciados,*desgraciados* (desgraciado),desgraciado
5990,desgraciados,*desgraciados* (desgraciar),desgraciar
5991,arroz,arroz,
5992,andan,*andan* (andar),
5993,unido,unido,unido
5994,unido,*unido* (unir),unir
5995,traseros,*traseros* (trasero),
5996,torres,*torres* (torre),
5997,seda,seda,seda
5998,seda,*seda* (sedar),sedar
5999,engañando,*engañando* (engañar),
