,Spanish,show,lemma
700,llamar,llamar,llamar
701,mala,*mala* (malo),malo
702,mala,mala,mala
703,detrás,detrás,detrás
704,viste,*viste* (ver),ver
705,dile,*dile* (decir),decir
706,grandes,*grandes* (grande),grande
707,recuerdas,*recuerdas* (recordar),recordar
708,real,real,real
709,estaban,*estaban* (estar),estar
710,mía,*mía* (mío),mío
711,frente,frente,frente
712,perdido,*perdido* (perder),perder
713,llamo,*llamo* (llamar),llamar
714,muertos,*muertos* (muerto),muerto
715,millones,*millones* (millón),millón
716,asesino,asesino,asesino
717,asesino,*asesino* (asesinar),asesinar
718,sueño,sueño,sueño
719,sueño,*sueño* (soñar),soñar
720,quisiera,*quisiera* (querer),querer
721,habría,*habría* (haber),haber
722,hará,*hará* (hacer),hacer
723,viaje,viaje,viaje
724,viaje,*viaje* (viajar),viajar
725,probablemente,probablemente,probablemente
726,resto,resto,resto
727,estaré,*estaré* (estar),estar
728,maldición,maldición,maldición
729,lamento,lamento,lamento
730,lamento,*lamento* (lamentar),lamentar
731,muchacho,muchacho,muchacho
732,avión,avión,avión
733,ropa,ropa,ropa
734,fuerza,fuerza,fuerza
735,fuerza,*fuerza* (forzar),forzar
736,llamado,llamado,llamado
737,llamado,*llamado* (llamar),llamar
738,oído,oído,oído
739,oído,*oído* (oír),oír
740,dado,dado,dado
741,dado,*dado* (dar),dar
742,encima,encima,encima
743,negro,negro,negro
744,usar,usar,usar
745,información,información,información
746,uds,*uds* (ustedes),ustedes
747,preguntas,*preguntas* (preguntar),preguntar
748,preguntas,*preguntas* (pregunta),pregunta
749,tuvo,*tuvo* (tener),tener
750,secreto,secreto,secreto
751,vuelve,*vuelve* (volver),volver
752,miren,*miren* (mirar),mirar
753,quieras,*quieras* (querer),querer
754,haría,*haría* (hacer),hacer
755,acaba,*acaba* (acabar),acabar
756,otras,*otras* (otro),otro
757,incluso,incluso,incluso
758,sientes,*sientes* (sentir),sentir
759,sientes,*sientes* (sentar),sentar
760,deberíamos,*deberíamos* (deber),deber
761,haz,*haz* (hacer),hacer
762,haz,haz,haz
763,decirte,*decirte* (decir),decir
764,boca,boca,boca
765,dolor,dolor,dolor
766,baño,baño,baño
767,baño,*baño* (bañar),bañar
768,adentro,adentro,adentro
769,profesor,profesor,profesor
770,habitación,habitación,habitación
771,daño,daño,daño
772,daño,*daño* (dañar),dañar
773,tuyo,tuyo,tuyo
774,seas,*seas* (ser),ser
775,noticias,*noticias* (noticia),noticia
776,demás,demás,demás
777,querido,querido,querido
778,querido,*querido* (querer),querer
779,duro,duro,duro
780,duro,*duro* (durar),durar
781,poner,poner,poner
782,prueba,prueba,prueba
783,prueba,*prueba* (probar),probar
784,mire,*mire* (mirar),mirar
785,tonto,tonto,tonto
786,campo,campo,campo
787,campo,*campo* (campar),campar
788,siendo,*siendo* (ser),ser
789,diez,diez,diez
790,ése,*ése* (ese),ese
791,tranquilo,tranquilo,tranquilo
792,asunto,asunto,asunto
793,acabó,*acabó* (acabar),acabar
794,quédate,*quédate* (quedar),quedar
795,derecho,derecho,derecho
796,placer,placer,placer
797,recuerda,*recuerda* (recordar),recordar
798,estuve,*estuve* (estar),estar
799,tratando,*tratando* (tratar),tratar
