,Spanish,show,lemma
6100,mutante,mutante,
6101,músculos,*músculos* (músculo),
6102,mantienen,*mantienen* (mantener),
6103,justa,*justa* (justo),
6104,increíbles,*increíbles* (increíble),
6105,incómodo,incómodo,
6106,harta,*harta* (harto),harto
6107,harta,*harta* (hartar),hartar
6108,expedición,expedición,
6109,esfuerzos,*esfuerzos* (esfuerzo),
6110,directa,*directa* (directo),
6111,deberes,*deberes* (deber),
6112,contratado,contratado,contratado
6113,contratado,*contratado* (contratar),contratar
6114,usé,*usé* (usar),
6115,sentar,sentar,
6116,presentes,*presentes* (presente),presente
6117,presentes,*presentes* (presentar),presentar
6118,mierdas,*mierdas* (mierda),
6119,merecen,*merecen* (merecer),
6120,llamaban,*llamaban* (llamar),
6121,ejecución,ejecución,
6122,darás,*darás* (dar),
6123,créame,*créame* (creer),
6124,busquemos,*busquemos* (buscar),
6125,afirmativo,afirmativo,
6126,admito,*admito* (admitir),
6127,talla,talla,talla
6128,talla,*talla* (tallar),tallar
6129,rodeado,rodeado,rodeado
6130,rodeado,*rodeado* (rodear),rodear
6131,reparar,reparar,
6132,quitó,*quitó* (quitar),
6133,patada,patada,
6134,lea,*lea* (leer),
6135,jugado,*jugado* (jugar),
6136,humilde,humilde,
6137,encantó,*encantó* (encantar),
6138,encantará,*encantará* (encantar),
6139,elefante,elefante,
6140,echaré,*echaré* (echar),
6141,demostración,demostración,
6142,creación,creación,
6143,compañia,compañia,
6144,camaradas,*camaradas* (camarada),
6145,bebido,bebido,bebido
6146,bebido,*bebido* (beber),beber
6147,bata,bata,bata
6148,bata,*bata* (batir),batir
6149,soga,soga,
6150,signos,*signos* (signo),
6151,sentirte,*sentirte* (sentir),
6152,póngase,*póngase* (poner),
6153,perderé,*perderé* (perder),
6154,pegar,pegar,
6155,ondas,*ondas* (onda),
6156,mapas,*mapas* (mapa),
6157,mantenerte,*mantenerte* (mantener),
6158,llenos,*llenos* (lleno),
6159,intentes,*intentes* (intentar),
6160,informar,informar,
6161,independiente,independiente,
6162,fuéramos,*fuéramos* (ir),ir
6163,fuéramos,*fuéramos* (ser),ser
6164,encontrarnos,*encontrarnos* (encontrar),
6165,distintas,*distintas* (distinto),
6166,conque,conque,
6167,conozcas,*conozcas* (conocer),
6168,cometa,cometa,cometa
6169,cometa,*cometa* (cometer),cometer
6170,acostado,acostado,acostado
6171,acostado,*acostado* (acostar),acostar
6172,pentágono,pentágono,
6173,pensaría,*pensaría* (pensar),
6174,galería,galería,
6175,duermo,*duermo* (dormir),
6176,decepcionado,decepcionado,
6177,blancas,*blancas* (blanco),
6178,bajó,*bajó* (bajar),
6179,ausencia,ausencia,
6180,asistencia,asistencia,
6181,usaste,*usaste* (usar),
6182,suma,suma,suma
6183,suma,*suma* (sumar),sumar
6184,ogro,ogro,
6185,griego,griego,
6186,caballería,caballería,
6187,bondad,bondad,
6188,bolsillos,*bolsillos* (bolsillo),
6189,avanzada,*avanzada* (avanzado),avanzado
6190,avanzada,*avanzada* (avanzar),avanzar
6191,ancestros,*ancestros* (ancestro),
6192,alturas,*alturas* (altura),
6193,puño,puño,
6194,otoño,otoño,
6195,observar,observar,
6196,mande,*mande* (mandar),
6197,ligera,*ligera* (ligero),
6198,iris,iris,
6199,horno,horno,
