,Spanish,show,lemma
1600,solos,*solos* (solo),
1601,matarme,*matarme* (matar),
1602,pon,*pon* (poner),
1603,hubiese,*hubiese* (haber),
1604,bebe,*bebe* (beber),
1605,tanta,*tanta* (tanto),
1606,oeste,oeste,
1607,parís,*parís* (París),
1608,viento,viento,
1609,jóvenes,*jóvenes* (joven),
1610,hacerme,*hacerme* (hacer),
1611,asiento,asiento,
1612,estupendo,estupendo,
1613,caminar,caminar,
1614,juicio,juicio,
1615,creerlo,*creerlo* (creer),
1616,carga,carga,carga
1617,carga,*carga* (cargar),cargar
1618,tranquila,*tranquila* (tranquilo),
1619,banda,banda,
1620,estarán,*estarán* (estar),
1621,animal,animal,
1622,escuchen,*escuchen* (escuchar),
1623,encontraron,*encontraron* (encontrar),
1624,dejas,*dejas* (dejar),
1625,tarjeta,tarjeta,
1626,ibas,*ibas* (ir),
1627,podrás,*podrás* (poder),
1628,nueve,nueve,
1629,seguramente,seguramente,
1630,volverá,*volverá* (volver),
1631,majestad,majestad,
1632,llena,*llena* (lleno),lleno
1633,llena,*llena* (llenar),llenar
1634,caer,caer,
1635,aeropuerto,aeropuerto,
1636,vayamos,*vayamos* (ir),
1637,acabado,*acabado* (acabar),
1638,sigo,*sigo* (seguir),
1639,enorme,enorme,
1640,área,área,
1641,muevas,*muevas* (mover),
1642,haberlo,*haberlo* (haber),
1643,dejen,*dejen* (dejar),
1644,ridículo,ridículo,
1645,reloj,reloj,
1646,hagamos,*hagamos* (hacer),
1647,flores,*flores* (flor),
1648,mapa,mapa,
1649,culpable,culpable,
1650,cuentas,*cuentas* (cuenta),cuenta
1651,cuentas,*cuentas* (contar),contar
1652,pareja,pareja,
1653,tomando,*tomando* (tomar),
1654,laboratorio,laboratorio,
1655,beso,beso,beso
1656,beso,*beso* (besar),besar
1657,empezó,*empezó* (empezar),
1658,pedí,*pedí* (pedir),
1659,nariz,nariz,
1660,cuestión,cuestión,
1661,terminó,*terminó* (terminar),
1662,vengo,*vengo* (venir),
1663,perdona,*perdona* (perdonar),
1664,acuerdas,*acuerdas* (acordar),
1665,verano,verano,
1666,prefiero,*prefiero* (preferir),
1667,peso,peso,peso
1668,peso,*peso* (pesar),pesar
1669,oscuridad,oscuridad,
1670,diferentes,*diferentes* (diferente),
1671,cliente,cliente,
1672,cuántas,*cuántas* (cuántos),
1673,televisión,televisión,
1674,suya,*suya* (suyo),
1675,prensa,prensa,
1676,vistazo,vistazo,
1677,inmediatamente,inmediatamente,
1678,solamente,solamente,
1679,gordo,gordo,
1680,quedarse,*quedarse* (quedar),
1681,posibilidad,posibilidad,
1682,medicina,medicina,
1683,malditos,*malditos* (maldito),
1684,pantalones,*pantalones* (pantalón),
1685,mataron,*mataron* (matar),
1686,ayude,*ayude* (ayudar),
1687,podremos,*podremos* (poder),
1688,locos,*locos* (loco),
1689,nombres,*nombres* (nombre),
1690,parecer,parecer,
1691,américa,*américa* (América),
1692,definitivamente,definitivamente,
1693,cinta,cinta,
1694,desea,*desea* (desear),
1695,brazos,*brazos* (brazo),
1696,asuntos,*asuntos* (asunto),
1697,riesgo,riesgo,
1698,escuché,*escuché* (escuchar),
1699,lugares,*lugares* (lugar),
