,Spanish,show,lemma
3200,convertido,convertido,convertido
3201,convertido,*convertido* (convertir),convertir
3202,asegúrate,*asegúrate* (asegurar),
3203,quedé,*quedé* (quedar),
3204,kilos,*kilos* (kilo),
3205,florida,*florida* (florido),
3206,tomará,*tomará* (tomar),
3207,sufrir,sufrir,
3208,mental,mental,
3209,lograr,lograr,
3210,instituto,instituto,
3211,serlo,*serlo* (ser),
3212,rapido,*rapido* (rápido),
3213,plato,plato,
3214,llorando,*llorando* (llorar),
3215,vd,*vd* (usted),
3216,váyase,*váyase* (ir),
3217,sucediendo,*sucediendo* (suceder),
3218,robaron,*robaron* (robar),
3219,alemania,*alemania* (Alemania),
3220,bolas,*bolas* (bola),
3221,pasaría,*pasaría* (pasar),
3222,ocurra,*ocurra* (ocurrir),
3223,ilegal,ilegal,
3224,fresco,fresco,
3225,falso,falso,
3226,abogados,*abogados* (abogado),
3227,tómalo,*tómalo* (tomar),
3228,mandó,*mandó* (mandar),
3229,cuán,cuán,
3230,cuales,*cuales* (cual),
3231,botas,*botas* (bota),bota
3232,botas,*botas* (botar),botar
3233,tiburones,*tiburones* (tiburón),
3234,grado,grado,
3235,deseas,*deseas* (desear),
3236,archivos,*archivos* (archivo),
3237,adivina,*adivina* (adivinar),
3238,cruz,cruz,
3239,campaña,campaña,
3240,asustada,*asustada* (asustado),asustado
3241,asustada,*asustada* (asustar),asustar
3242,centavos,*centavos* (centavo),
3243,vivimos,*vivimos* (vivir),
3244,galletas,*galletas* (galleta),
3245,frecuencia,frecuencia,
3246,daños,*daños* (daño),
3247,minas,*minas* (mina),
3248,emociones,*emociones* (emoción),
3249,dejará,*dejará* (dejar),
3250,regresó,*regresó* (regresar),
3251,ratas,*ratas* (rata),
3252,pasión,pasión,
3253,hacerse,*hacerse* (hacer),
3254,comportamiento,comportamiento,
3255,pense,*pense* (pensar),
3256,conocimiento,conocimiento,
3257,sales,*sales* (salir),
3258,fiscal,fiscal,
3259,decisiones,*decisiones* (decisión),
3260,criminales,*criminales* (criminal),
3261,cámaras,*cámaras* (cámara),
3262,amanecer,amanecer,
3263,convirtió,*convirtió* (convertir),
3264,aldea,aldea,
3265,abandonar,abandonar,
3266,obvio,obvio,
3267,habíamos,*habíamos* (haber),
3268,apesta,*apesta* (apestar),
3269,abandonado,abandonado,abandonado
3270,abandonado,*abandonado* (abandonar),abandonar
3271,volverás,*volverás* (volver),
3272,preocuparse,*preocuparse* (preocupar),
3273,favorita,*favorita* (favorito),
3274,lanzamiento,lanzamiento,
3275,difíciles,*difíciles* (difícil),
3276,vivido,*vivido* (vivir),
3277,roca,roca,
3278,peces,*peces* (pez),
3279,maravilla,maravilla,
3280,espacial,espacial,
3281,conductor,conductor,
3282,camarada,camarada,
3283,trabajado,*trabajado* (trabajar),
3284,caramba,caramba,
3285,sopa,sopa,
3286,numero,*numero* (número),
3287,gritar,gritar,
3288,envía,*envía* (enviar),
3289,casino,casino,
3290,alteza,alteza,
3291,identidad,identidad,
3292,cambios,*cambios* (cambio),
3293,guardar,guardar,
3294,gatos,*gatos* (gato),
3295,gané,*gané* (ganar),
3296,arresto,arresto,arresto
3297,arresto,*arresto* (arrestar),arrestar
3298,éstas,*éstas* (esta),esta
3299,éstas,*éstas* (este),este
