,Spanish,show,lemma
2800,atrapar,atrapar,
2801,temperatura,temperatura,
2802,explicación,explicación,
2803,enviado,enviado,enviado
2804,enviado,*enviado* (enviar),enviar
2805,contado,contado,contado
2806,contado,*contado* (contar),contar
2807,asistente,asistente,
2808,imperio,imperio,
2809,pidiendo,*pidiendo* (pedir),
2810,notas,*notas* (nota),nota
2811,notas,*notas* (notar),notar
2812,curioso,curioso,
2813,operaciones,*operaciones* (operación),
2814,mantén,*mantén* (mantener),
2815,tierras,*tierras* (tierra),
2816,creas,*creas* (creer),
2817,pez,pez,
2818,morirá,*morirá* (morir),
2819,visión,visión,
2820,montañas,*montañas* (montaña),
2821,comido,comido,comido
2822,comido,*comido* (comer),comer
2823,construir,construir,
2824,comunidad,comunidad,
2825,verán,*verán* (ver),
2826,pierde,*pierde* (perder),
2827,piense,*piense* (pensar),
2828,felicidad,felicidad,
2829,diversión,diversión,
2830,salvó,*salvó* (salvar),
2831,quita,*quita* (quitar),
2832,museo,museo,
2833,disparó,*disparó* (disparar),
2834,desearía,*desearía* (desear),
2835,misterio,misterio,
2836,buscamos,*buscamos* (buscar),
2837,aviso,aviso,aviso
2838,aviso,*aviso* (avisar),avisar
2839,almirante,almirante,
2840,solución,solución,
2841,pequeñas,*pequeñas* (pequeño),
2842,faltan,*faltan* (faltar),
2843,existen,*existen* (existir),
2844,combustible,combustible,
2845,leído,*leído* (leer),
2846,tirar,tirar,
2847,responder,responder,
2848,esfuerzo,esfuerzo,esfuerzo
2849,esfuerzo,*esfuerzo* (esforzar),esforzar
2850,vuelves,*vuelves* (volver),
2851,pájaro,pájaro,
2852,hermanas,*hermanas* (hermana),
2853,guerrero,guerrero,
2854,esposas,esposas,esposas
2855,esposas,*esposas* (esposa),esposa
2856,coma,coma,coma
2857,coma,*coma* (comer),comer
2858,abra,*abra* (abrir),abrir
2859,abra,abra,abra
2860,traes,*traes* (traer),
2861,sientas,*sientas* (sentir),sentir
2862,sientas,*sientas* (sentar),sentar
2863,olvide,*olvide* (olvidar),
2864,bolsillo,bolsillo,
2865,heridas,*heridas* (herida),herida
2866,heridas,*heridas* (herir),herir
2867,saco,saco,saco
2868,saco,*saco* (sacar),sacar
2869,gasolina,gasolina,
2870,conexión,conexión,
2871,correcta,*correcta* (correcto),
2872,pedazos,*pedazos* (pedazo),
2873,líneas,*líneas* (línea),
2874,estarías,*estarías* (estar),
2875,convierte,*convierte* (convertir),
2876,ayudará,*ayudará* (ayudar),
2877,rumbo,rumbo,
2878,rompió,*rompió* (romper),
2879,muera,*muera* (morir),
2880,mia,*mia* (mío),mío
2881,mia,*mia* (Mia),Mia
2882,material,material,
2883,diamantes,*diamantes* (diamante),
2884,rápidamente,rápidamente,
2885,mírate,*mírate* (mirar),
2886,fecha,fecha,
2887,escritorio,escritorio,
2888,digan,*digan* (decir),
2889,registro,registro,registro
2890,registro,*registro* (registrar),registrar
2891,maten,*maten* (matar),
2892,incendio,incendio,
2893,deme,*deme* (dar),
2894,sois,*sois* (ser),
2895,pensamientos,*pensamientos* (pensamiento),
2896,dímelo,*dímelo* (decir),
2897,comiendo,*comiendo* (comer),
2898,aparte,aparte,
2899,asesinatos,*asesinatos* (asesinato),
