,Spanish,show,lemma
3800,haberse,*haberse* (haber),
3801,acusado,acusado,acusado
3802,acusado,*acusado* (acusar),acusar
3803,peleando,*peleando* (pelear),
3804,lealtad,lealtad,
3805,considera,*considera* (considerar),
3806,cazador,cazador,
3807,buscarlo,*buscarlo* (buscar),
3808,apaga,*apaga* (apagar),
3809,objeto,objeto,
3810,sofá,sofá,
3811,personales,*personales* (personal),
3812,homicidio,homicidio,
3813,electricidad,electricidad,
3814,advertencia,advertencia,
3815,rumores,*rumores* (rumor),
3816,mentir,mentir,
3817,fíjate,*fíjate* (fijar),
3818,deuda,deuda,
3819,celoso,celoso,
3820,bicicleta,bicicleta,
3821,azules,*azules* (azul),
3822,visitas,*visitas* (visita),visita
3823,visitas,*visitas* (visitar),visitar
3824,mejorar,mejorar,
3825,escudo,escudo,
3826,cueva,cueva,
3827,aérea,*aérea* (aéreo),
3828,levantar,levantar,
3829,juguetes,*juguetes* (juguete),
3830,ciertamente,ciertamente,
3831,bajen,*bajen* (bajar),
3832,temas,*temas* (tema),
3833,pedirte,*pedirte* (pedir),
3834,elegante,elegante,
3835,divorcio,divorcio,
3836,depósito,depósito,
3837,concierto,concierto,
3838,calla,*calla* (callar),
3839,transmisión,transmisión,
3840,mataría,*mataría* (matar),
3841,flor,flor,
3842,viejas,*viejas* (viejo),
3843,trabajan,*trabajan* (trabajar),
3844,onda,onda,
3845,saldremos,*saldremos* (salir),
3846,preguntado,*preguntado* (preguntar),
3847,aliento,aliento,
3848,academia,academia,
3849,sonar,sonar,
3850,recibe,*recibe* (recibir),
3851,patio,patio,
3852,función,función,
3853,conduce,*conduce* (conducir),
3854,pregúntale,*pregúntale* (preguntar),
3855,palo,palo,
3856,internacional,internacional,
3857,hueso,hueso,
3858,esclavos,*esclavos* (esclavo),
3859,versión,versión,
3860,sacrificio,sacrificio,
3861,judíos,*judíos* (judío),
3862,increible,*increible* (increíble),
3863,fotografía,fotografía,
3864,delicioso,delicioso,
3865,crímenes,*crímenes* (crimen),
3866,zorra,zorra,
3867,valle,valle,
3868,llevaremos,*llevaremos* (llevar),
3869,lentamente,lentamente,
3870,encantada,*encantada* (encantado),encantado
3871,encantada,*encantada* (encantar),encantar
3872,arreglo,arreglo,
3873,volvería,*volvería* (volver),
3874,logró,*logró* (lograr),
3875,romántico,romántico,
3876,preocuparte,*preocuparte* (preocupar),
3877,olvido,olvido,olvido
3878,olvido,*olvido* (olvidar),olvidar
3879,fascinante,fascinante,
3880,cuadro,cuadro,
3881,creyó,*creyó* (creer),
3882,adultos,*adultos* (adulto),
3883,wow,wow,
3884,sobrino,sobrino,
3885,secuencia,secuencia,
3886,lleven,*lleven* (llevar),
3887,huh,huh,
3888,entradas,*entradas* (entrada),entrada
3889,entradas,*entradas* (entrar),entrar
3890,decirnos,*decirnos* (decir),
3891,resistencia,resistencia,
3892,llamarlo,*llamarlo* (llamar),
3893,ayudas,*ayudas* (ayuda),ayuda
3894,ayudas,*ayudas* (ayudar),ayudar
3895,esperanzas,*esperanzas* (esperanza),
3896,disponible,disponible,
3897,civil,civil,
3898,caos,caos,
3899,velas,*velas* (vela),
