,Spanish,show,lemma
4900,prestado,prestado,prestado
4901,prestado,*prestado* (prestar),prestar
4902,posesión,posesión,
4903,oir,*oir* (oír),
4904,nubes,*nubes* (nube),
4905,meterte,*meterte* (meter),
4906,guantes,*guantes* (guante),
4907,esperabas,*esperabas* (esperar),
4908,enseña,*enseña* (enseñar),
4909,encontrarme,*encontrarme* (encontrar),
4910,consejos,*consejos* (consejo),
4911,regreses,*regreses* (regresar),
4912,preocupen,*preocupen* (preocupar),
4913,pistolas,*pistolas* (pistola),
4914,gane,*gane* (ganar),
4915,sos,*sos* (ser),
4916,niveles,*niveles* (nivel),
4917,ganaste,*ganaste* (ganar),
4918,considerando,*considerando* (considerar),
4919,capital,capital,
4920,cambie,*cambie* (cambiar),
4921,ánimo,ánimo,
4922,utilizar,utilizar,
4923,lograrlo,*lograrlo* (lograr),
4924,llévate,*llévate* (llevar),
4925,gafas,gafas,
4926,espíritus,*espíritus* (espíritu),
4927,preguntaste,*preguntaste* (preguntar),
4928,pagará,*pagará* (pagar),
4929,maíz,maíz,
4930,estacionamiento,estacionamiento,
4931,contactos,*contactos* (contacto),contacto
4932,contactos,*contactos* (contactar),contactar
4933,aguja,aguja,
4934,trenes,*trenes* (tren),
4935,soporto,*soporto* (soportar),
4936,sacaré,*sacaré* (sacar),
4937,oido,*oido* (oído),
4938,fortaleza,fortaleza,
4939,corea,corea,
4940,conversar,conversar,
4941,computadoras,*computadoras* (computadora),
4942,cálmese,*cálmese* (calmar),
4943,volante,volante,
4944,sucederá,*sucederá* (suceder),
4945,decías,*decías* (decir),
4946,data,data,
4947,cuente,*cuente* (contar),
4948,civilización,civilización,
4949,cabrones,*cabrones* (cabrón),
4950,arruinar,arruinar,
4951,vampiro,vampiro,
4952,tocó,*tocó* (tocar),
4953,regresé,*regresé* (regresar),
4954,pases,*pases* (pasar),
4955,fantástica,*fantástica* (fantástico),
4956,facil,*facil* (fácil),
4957,estabamos,*estabamos* (estar),
4958,diera,*diera* (dar),
4959,detenga,*detenga* (detener),
4960,violación,violación,
4961,hemorragia,hemorragia,
4962,fianza,fianza,
4963,docena,docena,
4964,centavo,centavo,
4965,célula,célula,
4966,carreras,*carreras* (carrera),
4967,callado,callado,callado
4968,callado,*callado* (callar),callar
4969,rodilla,rodilla,
4970,prometes,*prometes* (prometer),
4971,profundamente,profundamente,
4972,posiciones,*posiciones* (posición),
4973,hicieras,*hicieras* (hacer),
4974,furioso,furioso,
4975,desperté,*desperté* (despertar),
4976,comes,*comes* (comer),
4977,ciega,*ciega* (ciego),
4978,cicatriz,cicatriz,
4979,bebidas,*bebidas* (bebida),bebida
4980,bebidas,*bebidas* (bebido),bebido
4981,bebidas,*bebidas* (beber),beber
4982,acércate,*acércate* (acercar),
4983,tiró,*tiró* (tirar),
4984,policial,policial,
4985,pasear,pasear,
4986,masa,masa,
4987,llegues,*llegues* (llegar),
4988,global,global,
4989,escapado,escapado,escapado
4990,escapado,*escapado* (escapar),escapar
4991,dinos,*dinos* (decir),
4992,cuarta,*cuarta* (cuarto),
4993,bienes,*bienes* (bien),
4994,aparato,aparato,
4995,sostén,sostén,sostén
4996,sostén,*sostén* (sostener),sostener
4997,realizar,realizar,
4998,permitiré,*permitiré* (permitir),
4999,orgullosos,*orgullosos* (orgulloso),
