,Spanish,show,lemma
5400,continua,*continua* (continuar),continuar
5401,borracha,*borracha* (borracho),
5402,beca,beca,
5403,adolescente,adolescente,
5404,actos,*actos* (acto),
5405,mágica,*mágica* (mágico),
5406,imbéciles,*imbéciles* (imbécil),
5407,huyendo,*huyendo* (huir),
5408,fotógrafo,fotógrafo,
5409,experimentos,*experimentos* (experimento),
5410,edificios,*edificios* (edificio),
5411,deténganse,*deténganse* (detener),
5412,cálmense,*cálmense* (calmar),
5413,atmósfera,atmósfera,
5414,acabaron,*acabaron* (acabar),
5415,votos,*votos* (voto),
5416,tareas,*tareas* (tarea),
5417,presupuesto,presupuesto,
5418,persecución,persecución,
5419,enseñarle,*enseñarle* (enseñar),
5420,enfermos,*enfermos* (enfermo),
5421,cortes,*cortes* (corte),corte
5422,cortes,*cortes* (cortar),cortar
5423,contaste,*contaste* (contar),
5424,recuerdan,*recuerdan* (recordar),
5425,probabilidades,*probabilidades* (probabilidad),
5426,núcleo,núcleo,
5427,multitud,multitud,
5428,moriré,*moriré* (morir),
5429,empresas,*empresas* (empresa),
5430,delta,delta,
5431,asociación,asociación,
5432,verdes,*verdes* (verde),
5433,profesión,profesión,
5434,pelotón,pelotón,
5435,paro,paro,paro
5436,paro,*paro* (parar),parar
5437,largos,*largos* (largo),
5438,danos,*danos* (dar),
5439,creído,creído,creído
5440,creído,*creído* (creer),creer
5441,cosecha,cosecha,cosecha
5442,cosecha,*cosecha* (cosechar),cosechar
5443,cintas,*cintas* (cinta),
5444,agallas,agallas,agallas
5445,agallas,*agallas* (agalla),agalla
5446,vendido,vendido,vendido
5447,vendido,*vendido* (vender),vender
5448,tortura,tortura,tortura
5449,tortura,*tortura* (torturar),torturar
5450,suéltala,*suéltala* (soltar),
5451,sexuales,*sexuales* (sexual),
5452,retirado,retirado,retirado
5453,retirado,*retirado* (retirar),retirar
5454,reconoces,*reconoces* (reconocer),
5455,pudieran,*pudieran* (poder),
5456,desorden,desorden,
5457,desarrollo,desarrollo,desarrollo
5458,desarrollo,*desarrollo* (desarollar),desarollar
5459,abandonó,*abandonó* (abandonar),
5460,vodka,vodka,
5461,violento,violento,
5462,vestida,*vestida* (vestido),vestido
5463,vestida,*vestida* (vestir),vestir
5464,probarlo,*probarlo* (probar),
5465,balón,balón,
5466,población,población,
5467,pechos,*pechos* (pecho),
5468,ocurrirá,*ocurrirá* (ocurrir),
5469,mientes,*mientes* (mentir),
5470,leal,leal,
5471,jo,jo,
5472,federación,federación,
5473,dí,*dí* (dar),
5474,asustaste,*asustaste* (asustar),
5475,apártate,*apártate* (apartar),
5476,vinieras,*vinieras* (venir),
5477,valioso,valioso,
5478,profesora,profesora,
5479,misericordia,misericordia,
5480,mancha,mancha,mancha
5481,mancha,*mancha* (manchar),manchar
5482,ilusión,ilusión,
5483,habrás,*habrás* (haber),
5484,golpeado,*golpeado* (golpear),
5485,generador,generador,
5486,empiezas,*empiezas* (empezar),
5487,detuvo,*detuvo* (detener),
5488,despedir,despedir,
5489,cuerdas,*cuerdas* (cuerda),cuerda
5490,cuerdas,*cuerdas* (cuerdo),cuerdo
5491,cráneo,cráneo,
5492,champán,champán,
5493,cartel,cartel,
5494,campana,campana,
5495,vendió,*vendió* (vender),
5496,rompí,*rompí* (romper),
5497,revistas,*revistas* (revista),
5498,ordena,*ordena* (ordenar),
5499,cállese,*cállese* (callar),
