,Spanish,show,lemma
3400,gorda,*gorda* (gordo),
3401,vendrán,*vendrán* (venir),
3402,paren,*paren* (parar),
3403,piedras,*piedras* (piedra),
3404,pesado,pesado,pesado
3405,pesado,*pesado* (pesar),pesar
3406,despertar,despertar,
3407,pierdes,*pierdes* (perder),
3408,jesucristo,*jesucristo* (Jesucristo),
3409,damos,*damos* (dar),
3410,treinta,treinta,
3411,recuerde,*recuerde* (recordar),
3412,capacidad,capacidad,
3413,soportar,soportar,
3414,senado,senado,
3415,decidió,*decidió* (decidir),
3416,prepárense,*prepárense* (preparar),
3417,asusta,*asusta* (asustar),
3418,aquello,aquello,
3419,aguantar,aguantar,
3420,aprendí,*aprendí* (aprender),
3421,tenéis,*tenéis* (tener),
3422,parezca,*parezca* (parecer),
3423,alegría,alegría,
3424,territorio,territorio,
3425,física,física,física
3426,física,*física* (físico),físico
3427,escape,escape,escape
3428,escape,*escape* (escapar),escapar
3429,tomes,*tomes* (tomar),
3430,excusa,excusa,excusa
3431,excusa,*excusa* (excusar),excusar
3432,estudios,*estudios* (estudio),
3433,septiembre,septiembre,
3434,personaje,personaje,
3435,fábrica,fábrica,
3436,elegido,elegido,elegido
3437,elegido,*elegido* (elegir),elegir
3438,cole,cole,cole
3439,cole,*cole* (colegio),colegio
3440,tanque,tanque,
3441,salta,*salta* (saltar),
3442,hablaste,*hablaste* (hablar),
3443,conferencia,conferencia,
3444,compromiso,compromiso,
3445,ayudaré,*ayudaré* (ayudar),
3446,salieron,*salieron* (salir),
3447,rusos,*rusos* (ruso),
3448,parezco,*parezco* (parecer),
3449,llevando,*llevando* (llevar),
3450,exterior,exterior,
3451,punta,punta,
3452,ponerse,*ponerse* (poner),
3453,pasen,*pasen* (pasar),
3454,puerto,puerto,
3455,decírtelo,*decírtelo* (decir),
3456,caro,caro,
3457,asombroso,asombroso,
3458,pasara,*pasara* (pasar),
3459,matarán,*matarán* (matar),
3460,maleta,maleta,
3461,competencia,competencia,
3462,canciones,*canciones* (canción),
3463,cinturón,cinturón,
3464,papas,*papas* (papa),
3465,marco,marco,marco
3466,marco,*marco* (marcar),marcar
3467,destrucción,destrucción,
3468,paraíso,paraíso,
3469,meta,meta,meta
3470,meta,*meta* (meter),meter
3471,alternativa,alternativa,alternativa
3472,alternativa,*alternativa* (alternativo),alternativo
3473,socios,*socios* (socio),
3474,alas,*alas* (ala),
3475,ocasión,ocasión,
3476,casarme,*casarme* (casar),
3477,salsa,salsa,
3478,romano,romano,
3479,prisioneros,*prisioneros* (prisionero),
3480,encantan,*encantan* (encantar),
3481,encantadora,*encantadora* (encantador),
3482,comercial,comercial,
3483,primavera,primavera,
3484,metió,*metió* (meter),
3485,volvemos,*volvemos* (volver),
3486,mandar,mandar,
3487,luce,*luce* (lucir),
3488,sagrado,sagrado,
3489,nacido,nacido,nacido
3490,nacido,*nacido* (nacer),nacer
3491,fabuloso,fabuloso,
3492,echo,*echo* (echar),
3493,desaparecer,desaparecer,
3494,potencia,potencia,
3495,adn,*adn* (ADN),
3496,traiga,*traiga* (traer),
3497,permítame,*permítame* (permitir),
3498,mayores,*mayores* (mayor),
3499,regalos,*regalos* (regalo),
