,Spanish,show,lemma
5600,atacado,*atacado* (atacar),atacar
5601,traerlo,*traerlo* (traer),
5602,sentencia,sentencia,
5603,sácame,*sácame* (sacar),
5604,posibles,*posibles* (posible),
5605,participar,participar,
5606,pagas,*pagas* (pagar),pagar
5607,pagas,*pagas* (paga),paga
5608,mintió,*mintió* (mentir),
5609,jefes,*jefes* (jefe),
5610,excepción,excepción,
5611,espadas,*espadas* (espada),
5612,engañado,engañado,engañado
5613,engañado,*engañado* (engañar),engañar
5614,débiles,*débiles* (débil),
5615,corporación,corporación,
5616,cerrados,*cerrados* (cerrado),
5617,carajos,*carajos* (carajo),
5618,vería,*vería* (ver),
5619,seca,*seca* (seco),seco
5620,seca,*seca* (secar),secar
5621,recibiendo,*recibiendo* (recibir),
5622,pescar,pescar,
5623,olvidas,*olvidas* (olvidar),
5624,naciones,*naciones* (nación),
5625,llevara,*llevara* (llevar),
5626,graciosa,*graciosa* (gracioso),
5627,emergencias,*emergencias* (emergencia),
5628,conviene,*conviene* (convenir),
5629,comunicaciones,*comunicaciones* (comunicación),
5630,caí,*caí* (caer),
5631,ocuparé,*ocuparé* (ocupar),
5632,niñita,niñita,
5633,hazte,*hazte* (hacer),
5634,estupenda,*estupenda* (estupendo),
5635,disciplina,disciplina,
5636,case,*case* (casar),
5637,arriesgado,arriesgado,arriesgado
5638,arriesgado,*arriesgado* (arriesgar),arriesgar
5639,arquitecto,arquitecto,
5640,vaticano,*vaticano* (Vaticano),
5641,traerme,*traerme* (traer),
5642,tiroteo,tiroteo,
5643,sirvo,*sirvo* (servir),
5644,sentirás,*sentirás* (sentir),
5645,ratón,ratón,
5646,quitarme,*quitarme* (quitar),
5647,quedaba,*quedaba* (quedar),
5648,preguntan,*preguntan* (preguntar),
5649,permíteme,*permíteme* (permitir),
5650,masacre,masacre,
5651,infancia,infancia,
5652,indio,indio,
5653,homosexual,homosexual,
5654,chance,chance,
5655,barba,barba,
5656,artes,*artes* (arte),
5657,acerque,*acerque* (acercar),
5658,susto,susto,
5659,síntomas,*síntomas* (síntoma),
5660,salvarte,*salvarte* (salvar),
5661,sabio,sabio,
5662,romance,romance,
5663,petición,petición,
5664,peligrosos,*peligrosos* (peligroso),
5665,orinar,orinar,
5666,macho,macho,
5667,llevarse,*llevarse* (llevar),
5668,lindos,*lindos* (lindo),
5669,protegerte,*protegerte* (proteger),
5670,profundidad,profundidad,
5671,pides,*pides* (pedir),
5672,permanente,permanente,
5673,investigaciones,*investigaciones* (investigación),
5674,cruzando,*cruzando* (cruzar),
5675,comenzando,*comenzando* (comenzar),
5676,atrapada,*atrapada* (atrapado),atrapado
5677,atrapada,*atrapada* (atrapar),atrapar
5678,trampas,*trampas* (trampa),
5679,tomemos,*tomemos* (tomar),
5680,tímido,tímido,
5681,ola,ola,
5682,narices,*narices* (nariz),
5683,diana,diana,diana
5684,diana,*diana* (Diana),Diana
5685,presentarles,*presentarles* (presentar),
5686,pasaremos,*pasaremos* (pasar),
5687,observa,*observa* (observar),
5688,nacer,nacer,
5689,mona,mona,mona
5690,mona,*mona* (mono),mono
5691,mm,mm,mm
5692,mm,*mm* (milímetro),milímetro
5693,increíblemente,increíblemente,
5694,despegar,despegar,
5695,comentario,comentario,
5696,sufre,*sufre* (sufrir),
5697,ramera,ramera,
5698,perfume,perfume,
5699,oscura,*oscura* (oscuro),
