,Spanish,show,lemma
5800,pisos,*pisos* (piso),
5801,persiguiendo,*persiguiendo* (perseguir),
5802,milagros,*milagros* (milagro),milagro
5803,milagros,*milagros* (Milagros),Milagros
5804,horror,horror,
5805,emocional,emocional,
5806,comedor,comedor,
5807,busqué,*busqué* (buscar),
5808,buscarme,*buscarme* (buscar),
5809,tumbas,*tumbas* (tumba),tumba
5810,tumbas,*tumbas* (tumbar),tumbar
5811,subtitulado,subtitulado,
5812,plazo,plazo,
5813,pesca,pesca,pesca
5814,pesca,*pesca* (pescar),pescar
5815,muertas,*muertas* (muerto),muerto
5816,muertas,*muertas* (morir),morir
5817,mantenerlo,*mantenerlo* (mantener),
5818,llamaremos,*llamaremos* (llamar),
5819,litros,*litros* (litro),
5820,horribles,*horribles* (horrible),
5821,deudas,*deudas* (deuda),
5822,detiene,*detiene* (detener),
5823,compraste,*compraste* (comprar),
5824,comisaría,comisaría,
5825,verlas,*verlas* (ver),
5826,vé,*vé* (ver),
5827,vago,vago,vago
5828,vago,*vago* (vagar),vagar
5829,unica,*unica* (único),
5830,radiación,radiación,
5831,múltiples,*múltiples* (múltiple),
5832,muchísimas,*muchísimas* (muchísimo),muchísimo
5833,muchísimas,*muchísimas* (mucho),mucho
5834,equivoca,*equivoca* (equivocar),
5835,cuya,*cuya* (cuyo),
5836,cortinas,*cortinas* (cortina),
5837,tenerla,*tenerla* (tener),
5838,tapa,tapa,tapa
5839,tapa,*tapa* (tapar),tapar
5840,sorpresas,*sorpresas* (sorpresa),
5841,respiro,respiro,respiro
5842,respiro,*respiro* (respirar),respirar
5843,queja,queja,queja
5844,queja,*queja* (quejar),quejar
5845,preguntarme,*preguntarme* (preguntar),
5846,oyendo,*oyendo* (oír),
5847,mordida,mordida,mordida
5848,mordida,*mordida* (mordido),mordido
5849,mordida,*mordida* (morder),morder
5850,mmm,mmm,
5851,miró,*miró* (mirar),
5852,marchar,marchar,
5853,mantequilla,mantequilla,
5854,guardián,guardián,
5855,escándalo,escándalo,
5856,causó,*causó* (causar),
5857,aléjense,*aléjense* (alejar),
5858,acercando,*acercando* (acercar),
5859,vió,*vió* (ver),
5860,tinta,tinta,tinta
5861,tinta,*tinta* (tinto),tinto
5862,sindicato,sindicato,
5863,reuniones,*reuniones* (reunión),
5864,pida,*pida* (pedir),
5865,personajes,*personajes* (personaje),
5866,lees,*lees* (leer),
5867,dispuesta,*dispuesta* (dispuesto),dispuesto
5868,dispuesta,*dispuesta* (disponer),disponer
5869,descripción,descripción,
5870,calzones,*calzones* (calzón),
5871,brigada,brigada,
5872,ayudaría,*ayudaría* (ayudar),
5873,repugnante,repugnante,
5874,odiaba,*odiaba* (odiar),
5875,misa,misa,
5876,metrópolis,metrópolis,metrópolis
5877,metrópolis,*metrópolis* (metrópoli),metrópoli
5878,meterme,*meterme* (meter),
5879,mamita,mamita,
5880,jamón,jamón,
5881,ésos,*ésos* (ese),ese
5882,ésos,*ésos* (esos),esos
5883,cazadores,*cazadores* (cazador),
5884,usarla,*usarla* (usar),
5885,retraso,retraso,retraso
5886,retraso,*retraso* (retrasar),retrasar
5887,responsabilidades,*responsabilidades* (responsabilidad),
5888,preocupas,*preocupas* (preocupar),
5889,pagando,*pagando* (pagar),
5890,linterna,linterna,
5891,inevitable,inevitable,
5892,encender,encender,
5893,distinta,*distinta* (distinto),
5894,compro,*compro* (comprar),
5895,cacería,cacería,
5896,atacan,*atacan* (atacar),
5897,usaba,*usaba* (usar),
5898,parientes,*parientes* (pariente),
5899,menores,*menores* (menor),
