,Spanish,show,lemma
5200,convertir,convertir,
5201,calientes,*calientes* (caliente),
5202,autopsia,autopsia,
5203,tristeza,tristeza,
5204,tiendas,*tiendas* (tienda),tienda
5205,tiendas,*tiendas* (tender),tender
5206,mafia,mafia,
5207,jodas,*jodas* (joder),
5208,escuchó,*escuchó* (escuchar),
5209,enormes,*enormes* (enorme),
5210,denme,*denme* (dar),
5211,atacaron,*atacaron* (atacar),
5212,almacén,almacén,
5213,sufrió,*sufrió* (sufrir),
5214,productos,*productos* (producto),
5215,productor,productor,
5216,permitido,permitido,permitido
5217,permitido,*permitido* (permitir),permitir
5218,pegó,*pegó* (pegar),
5219,matarla,*matarla* (matar),
5220,interno,interno,
5221,interna,*interna* (interno),interno
5222,interna,*interna* (internar),internar
5223,infantil,infantil,
5224,españa,*españa* (España),
5225,diarios,*diarios* (diario),
5226,combinación,combinación,
5227,acompañe,*acompañe* (acompañar),
5228,ropas,*ropas* (ropa),
5229,pondremos,*pondremos* (poner),
5230,metiste,*metiste* (meter),
5231,esencia,esencia,
5232,brillantes,*brillantes* (brillante),
5233,bingo,bingo,
5234,sordo,sordo,
5235,sacas,*sacas* (sacar),
5236,rancho,rancho,
5237,objetivos,*objetivos* (objetivo),
5238,muebles,*muebles* (mueble),
5239,mencionó,*mencionó* (mencionar),
5240,estupido,*estupido* (estúpido),
5241,enterado,enterado,enterado
5242,enterado,*enterado* (enterar),enterar
5243,documento,documento,
5244,vencer,vencer,
5245,sintiendo,*sintiendo* (sentir),
5246,quieta,*quieta* (quieto),
5247,período,período,
5248,oportunidades,*oportunidades* (oportunidad),
5249,monos,*monos* (mono),
5250,mercancía,mercancía,
5251,lastimado,lastimado,lastimado
5252,lastimado,*lastimado* (lastimar),lastimar
5253,internos,*internos* (interno),
5254,hueco,hueco,
5255,golpea,*golpea* (golpear),
5256,evento,evento,
5257,estudiando,*estudiando* (estudiar),
5258,elige,*elige* (elegir),
5259,crecido,crecido,crecido
5260,crecido,*crecido* (crecer),crecer
5261,conspiración,conspiración,
5262,avenida,avenida,
5263,tremendo,tremendo,
5264,tocas,*tocas* (tocar),
5265,sabias,*sabias* (sabio),sabio
5266,sabias,*sabias* (saber),saber
5267,raya,raya,raya
5268,raya,*raya* (rayar),rayar
5269,líos,*líos* (lío),
5270,invitar,invitar,
5271,homicidios,*homicidios* (homicidio),
5272,herramientas,*herramientas* (herramienta),
5273,flecha,flecha,
5274,derrota,derrota,
5275,cervezas,*cervezas* (cerveza),
5276,terminará,*terminará* (terminar),
5277,llenar,llenar,
5278,líderes,*líderes* (líder),
5279,ganan,*ganan* (ganar),
5280,fingir,fingir,
5281,estrategia,estrategia,
5282,dirán,*dirán* (decir),
5283,confías,*confías* (confiar),
5284,cómoda,cómoda,cómoda
5285,cómoda,*cómoda* (cómodo),cómodo
5286,comience,*comience* (comenzar),
5287,cenizas,*cenizas* (ceniza),
5288,capaces,*capaces* (capaz),
5289,temía,*temía* (temer),
5290,sonríe,*sonríe* (sonreír),
5291,quite,*quite* (quitar),
5292,necesites,*necesites* (necesitar),
5293,mostrarle,*mostrarle* (mostrar),
5294,mordió,*mordió* (morder),
5295,jefa,jefa,
5296,fallo,fallo,fallo
5297,fallo,*fallo* (fallar),fallar
5298,empiezan,*empiezan* (empezar),
5299,dispositivo,dispositivo,
