,Spanish,show,lemma
4200,encargado,*encargado* (encargar),encargar
4201,capítulo,capítulo,
4202,enseñaré,*enseñaré* (enseñar),
4203,cuentos,*cuentos* (cuento),
4204,breve,breve,
4205,atreves,*atreves* (atrever),
4206,súbete,*súbete* (subir),
4207,sed,sed,
4208,patético,patético,
4209,mostrarte,*mostrarte* (mostrar),
4210,doctores,*doctores* (doctor),
4211,carácter,carácter,
4212,tuyos,*tuyos* (tuyo),
4213,plaza,plaza,
4214,obispo,obispo,
4215,necesite,*necesite* (necesitar),
4216,muevan,*muevan* (mover),
4217,involucrado,involucrado,involucrado
4218,involucrado,*involucrado* (involucrar),involucrar
4219,darán,*darán* (dar),
4220,ingleses,*ingleses* (inglés),
4221,usas,*usas* (usar),
4222,ruedas,*ruedas* (rueda),
4223,prácticamente,prácticamente,
4224,orejas,*orejas* (oreja),
4225,golpeó,*golpeó* (golpear),
4226,costado,costado,costado
4227,costado,*costado* (costar),costar
4228,conducta,conducta,
4229,toman,*toman* (tomar),
4230,suban,*suban* (subir),
4231,médica,médica,médica
4232,médica,*médica* (médico),médico
4233,manzana,manzana,
4234,escuadrón,escuadrón,
4235,reconozco,*reconozco* (reconocer),
4236,ordenes,*ordenes* (orden),
4237,gallina,gallina,
4238,cambiando,*cambiando* (cambiar),
4239,borde,borde,
4240,ataques,*ataques* (ataque),
4241,actual,actual,
4242,pecados,*pecados* (pecado),
4243,invito,*invito* (invitar),
4244,inconsciente,inconsciente,
4245,bastardos,*bastardos* (bastardo),
4246,abrió,*abrió* (abrir),
4247,oyeron,*oyeron* (oír),
4248,intentaba,*intentaba* (intentar),
4249,cuartel,cuartel,
4250,consciente,consciente,
4251,tranquilízate,*tranquilízate* (tranquilizar),
4252,suyos,*suyos* (suyo),
4253,residencia,residencia,
4254,máxima,*máxima* (máximo),
4255,llevarla,*llevarla* (llevar),
4256,grasa,grasa,
4257,células,*células* (célula),
4258,retrocedan,*retrocedan* (retroceder),
4259,recepción,recepción,
4260,medicinas,*medicinas* (medicina),
4261,explotar,explotar,
4262,corona,corona,
4263,callate,*callate* (callar),
4264,calidad,calidad,
4265,ayúdeme,*ayúdeme* (ayudar),
4266,asesina,asesina,asesina
4267,asesina,*asesina* (asesino),asesino
4268,asesina,*asesina* (asesinar),asesinar
4269,absurdo,absurdo,
4270,revés,revés,
4271,producto,producto,
4272,encontrarla,*encontrarla* (encontrar),
4273,dj,*dj* (DJ),
4274,descansa,*descansa* (descansar),
4275,copias,*copias* (copia),
4276,apagar,apagar,
4277,profesionales,*profesionales* (profesional),
4278,práctica,práctica,
4279,investigando,*investigando* (investigar),
4280,francamente,francamente,
4281,afganistán,*afganistán* (Afganistán),
4282,vecino,vecino,
4283,trozo,trozo,
4284,tómate,*tómate* (tomar),tomar
4285,tómate,*tómate* (tomate),tomate
4286,tercero,tercero,
4287,sirven,*sirven* (servir),
4288,saquen,*saquen* (sacar),
4289,manual,manual,
4290,enciende,*enciende* (encender),
4291,cercano,cercano,
4292,bailando,*bailando* (bailar),
4293,atras,*atras* (atrás),
4294,usarlo,*usarlo* (usar),
4295,telefono,*telefono* (teléfono),
4296,registros,*registros* (registro),
4297,ponlo,*ponlo* (poner),
4298,pasta,pasta,pasta
4299,pasta,*pasta* (pastar),pastar
