,Unnamed: 0,Russian,POS,ChatGPT_Sentence
0,101,то,conjunction,"Если я пойду через парк, то быстро дойду до дома.
If I go through the park, then I will quickly get home."
1,102,сейчас,adverb pronoun,"Сейчас я сижу в машине.
Right now, I am sitting in the car."
2,103,тут,adverb pronoun,"Тогда тут стоить не стоит.

Then it is not worth standing here."
3,104,лицо,noun,"Сейчас я могу получить фотографию твоего лица.

Right now, I can get a photo of your face."
4,105,каждый,adjective pronoun,"Каждый конец имеет свою сторону.
Each end has its own side."
5,106,друг,noun,"Мой друг придёт через один час.  
My friend will come in one hour."
6,107,нет,adverb,"Никто не хочет жить там, где нет света.

No one wants to live where there is no light."
7,108,теперь,adverb pronoun,"Теперь я, конечно, могу пойти с тобой.
Now I, of course, can go with you."
8,109,ни,particle,"Отец не мог ни спросить, ни ответить.

The father could neither ask nor answer."
9,110,глаз,noun,"Никто не думал, что у него такой красивый глаз.
No one thought that he had such a beautiful eye."
10,111,тоже,adverb,"Я тоже хочу сидеть там.
I also want to sit there."
11,112,тогда,adverb pronoun,"Тогда я не знал, что это, хотя и пытался понять.

At that time, I didn't know what it was, although I tried to understand."
12,113,видеть,verb,"Я хочу видеть страну, которую стоит посетить.
I want to see a country that is worth visiting."
13,114,вопрос,noun,"Никто не знал ответ на этот вопрос, да?

Nobody knew the answer to this question, right?"
14,115,через,pr,"Перед тем как получить подарок, нужно пройти через лес.
Before receiving the gift, you need to go through the forest."
15,116,да,conjunction,"Я понимаю тебя, да и мой друг тоже.

I understand you, and so does my friend."
16,117,здесь,adverb pronoun,"Здесь можно получить и дать помощь.

Here you can receive and give help."
17,118,дом,noun,"Я хочу дать общий обзор нашего дома.
I want to give a general overview of our house."
18,119,да,particle,"Да, мир и вода важны для жизни.
Yes, the world and water are important for life."
19,120,потому,adverb pronoun,"Я не понимаю этот вид искусства, потому не могу оценить его.

I don't understand this type of art, therefore I can't appreciate it."
20,121,сторона,noun,"Мы решили пойти лишь на одну сторону парка.  
We decided to go to only one side of the park."
21,122,какой-то,adjective pronoun,"В какой-то момент я понял, что просто хочу работать.

At some point, I realized that I just want to work."
22,123,думать,verb,"Я думаю, что нам нужно выйти и заработать деньги.  
I think that we need to go out and earn money."
23,124,сделать,verb,"Я хочу взять книгу и сделать всё, чтобы получить хорошие оценки.
I want to take the book and do everything to get good grades."
24,125,страна,noun,"Россия — большая страна, и каждая её часть вдруг может удивить.
Russia is a large country, and each part of it can suddenly surprise."
25,126,жить,verb,"Тут живёт какой-то человек.
Here lives some person."
26,127,чем,conjunction,"Я предпочитаю этот вид работы, чем другой.

I prefer this type of work rather than another."
27,128,мир,noun,"Отец вернулся домой и принёс мир в наш дом.
The father returned home and brought peace to our house."
28,129,об,pr,"Я люблю думать об этой проблеме.

I love thinking about this problem."
29,130,последний,adjective,"В последний день почти какой-то праздник был.

On the last day, there was almost some kind of celebration."
30,131,случай,noun,"Вдруг российский случай оказался важным для всех.
Suddenly, the Russian case turned out to be important for everyone."
31,132,голова,noun,"Передо мной много людей, и у каждого своя голова.
Before me, there are many people, and each has their own head."
32,133,более,adverb,"Этот случай более сложный, чем я думал.

This case is more complicated than I thought."
33,134,делать,verb,"Отец попросил меня взять инструменты и делать ремонт.

Father asked me to take the tools and do the repairs."
34,135,что-то,subject pronoun,"Что-то ни начало, ни конец.
Something is neither the beginning nor the end."
35,136,смотреть,verb,"Я люблю сидеть и смотреть на звезды ночью.
I love to sit and watch the stars at night."
36,137,ребенок,noun,"В этом случае высокий ребенок быстро нашел свою игрушку.
In this case, the tall child quickly found their toy."
37,138,просто,particle,"Сейчас это просто проблема.

Right now, it's just a problem."
38,139,конечно,adverb,"Конечно, российский рынок сейчас очень изменился.
Of course, the Russian market has changed a lot now."
39,140,сила,noun,"Сила остаться между нами.

The strength to stay between us."
40,141,российский,adjective,"Мы решили выйти из дома и пойти в российский музей.

We decided to leave the house and go to the Russian museum."
