,Unnamed: 0,Russian,POS,ChatGPT_Sentence
0,901,рот,noun,"У него нормальный рот и шесть зубов.

He has a normal mouth and six teeth."
1,902,где-то,adverb pronoun,"Мой знакомый сказал, что где-то здесь у него должно получаться найти нужную информацию.
My acquaintance said that somewhere around here he should be able to find the necessary information."
2,903,технология,noun,"Эта технология является соответствующей тому, что нам нужно.

This technology is appropriate for what we need."
3,904,знакомый,adjective,"В отсутствие знакомой атмосферы, я не могу полностью расслабиться.
In the absence of a familiar atmosphere, I cannot fully relax."
4,905,недавно,adverb,"Недавно мы обсуждали проведение мероприятия в будущем.
Recently, we discussed the organization of an event in the future."
5,906,реформа,noun,"Реформа стала камнем, который помог определить будущее страны.
The reform became a cornerstone that helped determine the future of the country."
6,907,отсутствие,noun,"Отсутствие золотой республики было заметно.

The absence of the golden republic was noticeable."
7,908,нынешний,adjective,"Нынешний бюджет не позволяет купить этот камень.
The current budget does not allow us to buy this stone."
8,909,собака,noun,"Я потерял собаку, и теперь у меня нет бюджета на её поиски.
I lost the dog, and now I have no budget for searching for it."
9,910,камень,noun,"На камне лежала звезда, которую видели сто человек.
On the stone lay a star that was seen by a hundred people."
10,911,будущее,noun,"Фонд инвестирует в продукцию, которая изменит будущее.

The fund invests in products that will change the future."
11,912,звать,verb,"Его зовут Алексей, и он знает многое о каждом элементе.

His name is Alexey, and he knows a lot about every element."
12,913,рассказ,noun,"Знаменитый писатель написал рассказ, что понравился многим читателям.
The famous writer wrote a story that many readers liked."
13,914,контроль,noun,"После долгого отпуска, мне нужно возвращаться к строгому контролю на работе.
After a long vacation, I need to return to strict control at work."
14,915,позвонить,verb,"Я хочу многое узнать и расти, поэтому мне нужно позвонить учителю.

I want to learn a lot and grow, so I need to call the teacher."
15,916,река,noun,"Я постоянно учусь, когда гуляю вдоль реки.

I constantly learn when I walk along the river."
16,917,хватать,verb,"Судебный процесс ясно показал, что доказательств не хватает.

The court process clearly showed that there is not enough evidence."
17,918,продукция,noun,"На практике пустой склад означает, что вся продукция была продана.

In practice, an empty warehouse means that all the products have been sold."
18,919,сумма,noun,"Городской бюджет выделил сто тысяч рублей на сумму ремонта дорог.
The city budget allocated one hundred thousand rubles for the road repair amount."
19,920,техника,noun,"Собака постоянно лает на технику.

The dog constantly barks at the equipment."
20,921,исторический,adjective,"В этом городе ясно видно много исторических зданий, и это нормально для такого старого места.

In this city, it is clearly visible that there are many historical buildings, and it is normal for such an old place."
21,922,вновь,adverb,"Он вновь стал нормальным после быстрого выздоровления.
He became normal again after a quick recovery."
22,923,народный,adjective,"Русские люди любят пользоваться народной медициной, потому что считают её нормальной.

Russian people like to use folk medicine because they consider it normal."
23,924,прямо,particle,"Я прямо сейчас хочу позвонить своему немецкому другу.
I want to call my German friend right now."
24,925,ибо,conjunction,"Моя родная собака всегда радуется, ибо я её очень люблю.

My beloved dog is always happy because I love her very much."
25,926,выпить,verb,"Я желаю выпить воды, потому что у меня пересох рот.
I want to drink some water because my mouth is dry."
26,927,здание,noun,"Мы должны определить, какое здание лучше всего подходит для нашей практики.
We need to determine which building is best suited for our practice."
27,928,сфера,noun,"Маленький мячик выпал из кармана и упал в реку, где его унесло в сферу воды.

The small ball fell out of the pocket and into the river, where it was carried into a sphere"
28,929,знаменитый,adjective,"Знаменитый ученый представил новую реформу в области технологии.

The famous scientist presented a new reform in the field of technology."
29,930,иначе,adverb pronoun,"Очередной раз я пытался найти определение, иначе не смог бы понять текст.

Once again, I tried to find the definition, otherwise, I wouldn't be able to understand the text."
30,931,потерять,verb,"Я боюсь потерять свой телефон, когда иду выпить кофе и обсуждать новую технологию.

I am afraid to lose my phone when I go to drink coffee and discuss new technology."
31,932,необходимость,noun,"В нормальный день у меня есть необходимость спать шесть часов.
On a normal day, I have a necessity to sleep for six hours."
32,933,больший,adjective,"Если бы звезда была больше, иначе бы светила.

If the star were bigger, it would shine differently."
33,934,фонд,noun,"Если не поддерживать фонд, иначе он обязательно закроется.

If the fund is not supported, otherwise it will definitely close."
34,935,иметься,verb,"В деревне едва имелся один источник воды.

In the village, there was barely one source of water."
35,936,вперед,adverb,"Мы смотрим вперед в будущее с массой надежд.

We look forward to the future with a lot of hopes."
36,937,подготовка,noun,"Подготовка к экзамену была как камень на душе, но теперь всё ясно.

Preparation for the exam was like a stone on the soul, but now everything is clear."
37,938,вчера,adverb,"Вчера я читал статью о новой зеленой реформе.

Yesterday I read an article about the new green reform."
38,939,лист,noun,"В сложных обстоятельствах фонд нашёл лист с важной информацией.
In difficult circumstances, the fund found a sheet with important information."
39,940,пустой,adjective,"Этот пустой стол не имеет соответствующего определения.

This empty table does not have an appropriate definition."
40,941,очередной,adjective,"Прямо перед нами был очередной магазин.

Right in front of us was another store."
41,942,республика,noun,"В республике не хватает зданий для новых школ.
In the republic, there are not enough buildings for new schools."
42,943,хозяйство,noun,"Слава шесть лет ведёт своё хозяйство.
Glory has been running his household for six years."
43,944,полностью,adverb,"Мой карман полностью пуст, потому что я отдал все деньги в фонд.
My pocket is completely empty because I gave all the money to the fund."
44,945,получаться,verb,"У него хорошо получается рассказ о новой технологии.

He is good at telling a story about new technology."
45,946,учиться,verb,"Я учусь с волей и знакомыми.
I study with willpower and acquaintances."
46,947,плохо,adverb,"Немец плохо видит будущее.
The German sees the future poorly."
47,948,воля,noun,"Вчера я нашёл лист бумаги, на котором была написана воля.

Yesterday I found a piece of paper on which a will was written."
48,949,судебный,adjective,"Судебный процесс получился долгим, и нам пришлось выпить много кофе.

The court process turned out to be long, and we had to drink a lot of coffee."
49,950,бюджет,noun,"Мы почувствовали, что городской бюджет был недостаточным для всех нужд.

We felt that the city budget was insufficient for all needs."
50,951,возвращаться,verb,"Он всегда проверяет карман, прежде чем возвращаться домой, независимо от обстоятельств.
He always checks his pocket before returning home, regardless of the circumstances."
51,952,расти,verb,"Продукция на нашем заводе вновь начала расти.

The production at our factory has started to grow again."
52,953,снег,noun,"Нормальный народный праздник не обходится без снега.
A normal folk festival does not go without snow."
53,954,деревня,noun,"Мы поехали прямо в деревню, чтобы пользоваться свежим воздухом и природой.
We went straight to the village to enjoy the fresh air and nature."
54,955,обнаружить,verb,"Его звали Алексей, и он полностью обнаружил тайник в саду.

His name was Alexey, and he completely discovered the hiding place in the garden."
55,956,мужик,noun,"У этого мужика имеется масса проблем.

This man has a lot of problems."
56,957,постоянно,adverb,"Он постоянно несёт книги на практику.
He constantly carries books to practice."
57,958,зеленый,adjective,"Проведение мероприятия было под волей зеленого леса.

The event was held under the will of the green forest."
58,959,элемент,noun,"Этот элемент помогает составить народный орнамент.  
This element helps to compose a folk ornament."
59,960,обстоятельство,noun,"Русский народный танец имеет большое значение для будущего, несмотря на любые обстоятельства.
The Russian folk dance holds great significance for the future, despite any circumstances."
60,961,почувствовать,verb,"Когда я взял камень в руку, я смог почувствовать его определение.
When I took the stone in my hand, I could feel its texture."
61,962,немец,noun,"Немец рассказал интересный рассказ о снеге.
The German told an interesting story about snow."
62,963,многое,subject pronoun,"Многое можно потерять, если не сохранить этот лист.
Many things can be lost if you don't save this sheet."
63,964,победа,noun,"Русская команда одержала победу на пустом стадионе в западной части города.
The Russian team achieved victory in an empty stadium in the western part of the city."
64,965,источник,noun,"Новая технология вновь открыла источник знаний.

The new technology has once again revealed a source of knowledge."
65,966,немецкий,adjective,"Русский фонд помог определить немецкий проект.

The Russian fund helped to identify the German project."
66,967,золотой,adjective,"Её зовут Анна, и у неё растёт золотой цветок.

Her name is Anna, and she has a golden flower growing."
67,968,передать,verb,"Вчера я попросил его передать мне определение этого слова.

Yesterday, I asked him to give me the definition of this word."
68,969,технический,adjective,"Технический прогресс обязательно включает новые технологии.
Technical progress necessarily includes new technologies."
69,970,нормальный,adjective,"В сфере подготовки у нас нормальные условия.

In the field of training, we have normal conditions."
70,971,едва,adverb,"Едва знаменитый лист упал с дерева.
The famous leaf barely fell from the tree."
71,972,желать,verb,"Вчера я хотел пожелать тебе удачи, но обстоятельства помешали.

Yesterday I wanted to wish you luck, but circumstances interfered."
72,973,ожидать,verb,"Вчера я ожидал соответствующий ответ от него.

Yesterday I expected an appropriate response from him."
73,974,некий,adjective pronoun,"Некой славе приписывают проведение важного мероприятия.

A certain fame is attributed to the organization of an important event."
74,975,звезда,noun,"Народный артист учится наблюдать за звездой.

The people's artist learns to observe the star."
75,976,городской,adjective,"В городском парке едва заметно отсутствие людей.

In the city park, the absence of people is barely noticeable."
76,977,выбор,noun,"Я не могу составить нормальный выбор.
I can't make a normal choice."
77,978,соответствующий,adjective,"Мы ожидали увидеть соответствующую звезду на небе.

We expected to see the appropriate star in the sky."
78,979,масса,noun,"Здание имеет нормальную массу.
The building has a normal mass."
79,980,составить,verb,"Я должен составить план, ибо это прямо необходимо.

I have to make a plan because it is directly necessary."
80,981,итог,noun,"В итоге городской шум закрыл рот всем.

In the end, the city noise shut everyone's mouth."
81,982,сестра,noun,"Моя сестра ведёт хозяйство, соответствующее всем стандартам.

My sister runs a household that meets all the standards."
82,983,что,adverb pronoun,"Что ясно в родной стране.  
What is clear in the native country."
83,984,шесть,numeral,"В таблице полностью шесть элементов.
In the table, there are exactly six elements."
84,985,ясно,adverb,"Мне ясно, что для того чтобы всё получалось, есть необходимость в упорстве.

It is clear to me that in order for everything to work out, there is a necessity for perseverance."
85,986,практика,noun,"Меня зовут Анна, и я пишу лист о своей практике.

My name is Anna, and I am writing a paper about my practice."
86,987,сто,numeral,"Моя сестра нашла источник с более чем сто книгами.

My sister found a source with more than a hundred books."
87,988,нести,verb,"Мама позвала меня, чтобы я помог нести сумки, и я почувствовал радость от помощи.

Mom called me to help carry the bags, and I felt joy from helping."
88,989,определить,verb,"Вчера мы пытались определить причину проблемы.
Yesterday we tried to determine the cause of the problem."
