,Unnamed: 0,Russian,POS,ChatGPT_Sentence
0,1,и,conjunction,"Я бы взял книгу из библиотеки и прочитал её.

I would take a book from the library and read it."
1,2,в,pr,"Он говорит в то время.
He speaks at that time."
2,3,не,particle,"Это не за дело.
This is not for the cause."
3,4,на,pr,"Этот подарок на столе, то есть на кухне.
This gift is on the table, that is, in the kitchen."
4,5,я,subject pronoun,"Я люблю все.
I love everything."
5,6,быть,verb,"Я хочу быть с тобой, но не могу быть без работы.
I want to be with you, but I can't be without a job."
6,7,он,subject pronoun,"Он только поднял руку.
He only raised his hand."
7,8,с,pr,"Я хочу провести время с друзьями.
I want to spend time with friends."
8,9,что,conjunction,"Он хотел сказать, что это только начало.
He wanted to say that this is only the beginning."
9,10,а,conjunction,"Я купил книгу для себя, а раз ты хочешь, я дам её тебе почитать.
I bought a book for myself, but since you want it, I will let you read it."
10,11,по,pr,"По дороге не так много машин.
There are not so many cars on the road."
11,12,это,subject pronoun,"Это человек, только он не знает.  
This is a person, only he doesn't know."
12,13,она,subject pronoun,"Она хочет, что бы мы пошли в парк.
She wants us to go to the park."
13,14,этот,adjective pronoun,"Этот дом красивый, а надо его покрасить.
This house is beautiful, but it needs to be painted."
14,15,к,pr,"Если ты придёшь к нам, когда будет вечер, мы будем рады.
If you come to us when it is evening, we will be glad."
15,16,но,conjunction,"Если день солнечный, но холодный, мы останемся дома.
If the day is sunny but cold, we will stay at home."
16,17,они,subject pronoun,"Они знают нас со школы.
They know us from school."
17,18,мы,subject pronoun,"Мы идём в парк, и так весело.  
We are going to the park, and it's so fun."
18,19,как,conjunction,"Он ведёт себя так, как его учили.  
He behaves the way he was taught."
19,20,из,pr,"Если ты уже из Москвы, то знаешь этот город хорошо.
If you are already from Moscow, then you know this city well."
20,21,у,pr,"У меня был хороший день, и я видел его два раза.  
I had a good day, and I saw him twice."
21,22,который,adjective pronoun,"Это самый интересный фильм, который я когда-либо видел.
This is the most interesting movie that I have ever seen."
22,23,то,subject pronoun,"То - ее один друг.
That is her one friend."
23,24,за,pr,"Как быть за городом?

How to be outside the city?"
24,25,свой,adjective pronoun,"Они взяли свои вещи от их дома.

They took their things from their house."
25,26,что,subject pronoun,"Что мы только что сделали?
What did we just do?"
26,27,весь,adjective pronoun,"Весь их дом может стать нашим.

The whole house can become ours."
27,28,год,noun,"Вот один год.  
Here is one year."
28,29,от,pr,"Так что мы ушли от дома.  
So we left from the house."
29,30,так,adverb pronoun,"Тот фильм, который вы смотрели, был так интересен.

That movie you watched was so interesting."
30,31,о,pr,"Он думал о работе, но мечтал о путешествии за границу.
He was thinking about work, but dreaming about traveling abroad."
31,32,для,pr,"Я взял книгу из библиотеки для учебы, но она оказалась очень скучной.
I took a book from the library for studying, but it turned out to be very boring."
32,33,ты,subject pronoun,"Ты имеешь все, что нужно для успеха.
You have everything you need for success."
33,34,же,particle,"Ничто же не изменилось, а ты всё тот же.

Nothing has changed, and you are still the same."
34,35,все,subject pronoun,"Все хотят стать самыми лучшими.
Everyone wants to become the best."
35,36,тот,adjective pronoun,"Тот же учебник нужен для урока.

The same textbook is needed for the lesson."
36,37,мочь,verb,"Я уже могу читать, а ты?

I can already read, and you?"
37,38,вы,subject pronoun,"Вы хотите пойти в кино, но у вас нет времени.
You want to go to the cinema, but you don't have time."
38,39,человек,noun,"Тот человек сам открыл дверь.
That person opened the door himself."
39,40,такой,adjective pronoun,"Я не ожидал такого о времени.

I did not expect such a thing about time."
40,41,его,adjective pronoun,"Это его первый раз в тот город.
This is his first time in that city."
41,42,сказать,verb,"Он хотел сказать с его другом.
He wanted to speak with his friend."
42,43,только,particle,"Это место только из моих снов.
This place is only from my dreams."
43,44,или,conjunction,"Ты хочешь весь торт или что-то другое?

Do you want the whole cake or something else?"
44,45,еще,adverb,"Я очень хочу попробовать это еще раз.
I really want to try it one more time."
45,46,бы,particle,"Мы бы провели время вместе.
We would spend time together."
46,47,себя,subject pronoun,"Я вижу себя в зеркале два раза до завтрака.
I see myself in the mirror twice before breakfast."
47,48,один,adjective pronoun,"Ну, у меня есть один друг.
Well, I have one friend."
48,49,как,adverb pronoun,"Как во два часа дня, мы встретились у парка.
As at two o'clock in the afternoon, we met at the park."
49,50,уже,adverb,"Этот фильм уже на экране.

This movie is already on the screen."
50,51,до,pr,"Все шли до парка.  
Everyone was going to the park."
51,52,время,noun,"Время в жизни идёт очень быстро, не так ли?

Time in life goes by very quickly, doesn't it?"
52,53,если,conjunction,"Если это кто-то, кого я знаю, я помогу.
If this is someone I know, I will help."
53,54,сам,adjective pronoun,"Он сам хотел сказать это в прошлом году.
He himself wanted to say this last year."
54,55,когда,conjunction,"Когда даже его не было, я чувствовал себя одиноко.
When even he wasn't there, I felt lonely."
55,56,другой,adjective pronoun,"Этот человек хочет быть самим собой, а не другим.
This person wants to be himself, not someone else."
56,57,вот,particle,"Вот два времени, когда мы можем встретиться.
Here are two times when we can meet."
57,58,говорить,verb,"Я говорю с коллегами до работы.
I talk with colleagues before work."
58,59,наш,adjective pronoun,"Наш дом стоит с ничем не сравнимым видом на озеро.
Our house stands with an incomparable view of the lake."
59,60,мой,adjective pronoun,"Мой такой вот друг всегда помогает мне.

My friend like this always helps me."
60,61,знать,verb,"Они знают это слово.
They know this word."
61,62,стать,verb,"Он хочет стать врачом, чтобы иметь влияние на здоровье людей.
He wants to become a doctor to have an influence on people's health."
62,63,при,pr,"При разборе отработанных материалов мы нашли важные данные.
During the analysis of processed materials, we found important data."
63,64,чтобы,conjunction,"Если ты хочешь, чтобы мой друг пришёл, позвони ему.

If you want my friend to come, call him."
64,65,дело,noun,"Дело так важно для нас.

The matter is so important to us."
65,66,жизнь,noun,"Когда уже начнётся новая жизнь?

When will the new life begin already?"
66,67,кто,subject pronoun,"Кто еще не пришел?

Who hasn't arrived yet?"
67,68,первый,anum,"Первый шаг можно сделать, чтобы стать лучше.

The first step can be taken to become better."
68,69,очень,adverb,"Ничто в этом мире не очень важно.

Nothing in this world is very important."
69,70,два,numeral,"Весь день они играли в два их любимых фильма.

All day they watched two of their favorite movies."
70,71,день,noun,"Сегодня был хороший день, что стало для нас радостью.
Today was a good day, which became a joy for us."
71,72,ее,adjective pronoun,"Где ее день рождения?

Where is her birthday?"
72,73,новый,adjective,"Это наш новый дом.
This is our new house."
73,74,рука,noun,"Что у тебя по руке?  
What is on your hand?"
74,75,даже,particle,"То, что он сделал, даже удивило меня.
What he did even surprised me."
75,76,во,pr,"Во дворе со мной был такой большой кот.
In the yard with me was such a big cat."
76,77,со,pr,"Вы ничто не сможете сделать со мной.
You won't be able to do anything with me."
77,78,раз,noun,"Кто сделал эту работу в первый раз?
Who did this work for the first time?"
78,79,где,adverb pronoun,"Где ты был? Я очень волновался.

Where were you? I was very worried."
79,80,там,adverb pronoun,"Первый дом там, где все деревья.

The first house is there, where all the trees are."
80,81,под,pr,"Ты знаешь, что книга под столом?
Do you know that the book is under the table?"
81,82,можно,adverb,"Можно сказать, что его идея хорошая.
You can say that his idea is good."
82,83,ну,particle,"Ну, если ты хочешь, можем пойти в кино.
Well, if you want, we can go to the cinema."
83,84,какой,adjective pronoun,"Какой фильм ты хочешь посмотреть с друзьями?
What movie do you want to watch with friends?"
84,85,после,pr,"После работы я пошёл домой без ничего.  
After work, I went home with nothing."
85,86,их,adjective pronoun,"Их надо учить, как правильно говорить.

They need to be taught how to speak correctly."
86,87,работа,noun,"Это моя работа, и я сам должен сделать это дело.  
This is my job, and I must do this task myself."
87,88,без,pr,"Ну, во дворе без снега скучно.  
Well, in the yard without snow it's boring."
88,89,самый,adjective pronoun,"Это самый красивый парк, что я сам видел.
This is the most beautiful park that I have seen myself."
89,90,потом,adverb pronoun,"Во весь день мы работали, а потом отдыхали.
Throughout the whole day, we worked, and then we rested."
90,91,надо,adverb,"Надо понять, как стать лучше.
We need to understand how to become better."
91,92,хотеть,verb,"Я хочу иметь вот эту книгу.
I want to have this book."
92,93,ли,particle,"Ты знаешь, что это, а я не уверен, ли это правильно.

Do you know what this is, but I am not sure if this is correct."
93,94,слово,noun,"Это слово под вопросом.  
This word is under question."
94,95,идти,verb,"Вот другой путь, по которому мы можем идти.
Here is another path we can take."
95,96,большой,adjective,"Где большой человек?

Where is the big person?"
96,97,должен,adjective,"Он должен вернуть его их родителям.
He must return it to their parents."
97,98,место,noun,"Это место мне очень нравится, раз уж ты спросил.
This place I really like, since you asked."
98,99,иметь,verb,"Во вторник после работы я буду иметь свободное время.
On Tuesday after work, I will have free time."
99,100,ничто,subject pronoun,"Ничто не может быть у нас.

Nothing can be with us."
