,Unnamed: 0,Russian,POS,ChatGPT_Sentence
0,301,мать,noun,"Мать называет свою деятельность важной.

Mother calls her activity important."
1,302,действие,noun,"Сколько времени займёт это действие в вашей организации?
How much time will this action take in your organization?"
2,303,месяц,noun,"Мне хочется, чтобы ситуация улучшилась в следующем месяце.
I want the situation to improve next month."
3,304,оставаться,verb,"Мать автора попросила его оставаться дома.

The author's mother asked him to stay home."
4,305,государство,noun,"В нашем государстве задача найти хорошую квартиру становится всё сложнее.
In our country, the task of finding a good apartment is becoming more and more difficult."
5,306,язык,noun,"Изучение нового языка действительно сложная задача.
Learning a new language is indeed a difficult task."
6,307,любовь,noun,"Любовь сидела рядом с третьим человеком.

Love was sitting next to the third person."
7,308,взгляд,noun,"Его взгляд оставался на рынке.

His gaze remained on the market."
8,309,мама,noun,"Маме пришлось поехать в центр города.

Mom had to go to the city center."
9,310,играть,verb,"Известный музыкант любит играть на пианино и часто получает письма от поклонников.

A famous musician loves to play the piano and often receives letters from fans."
10,311,далекий,adjective,"Кто-то увидел далекий огромный замок.
Someone saw a distant huge castle."
11,312,лежать,verb,"Кот лежит на подоконнике и смотрит в окно, чтобы показать, что он дома.

The cat is lying on the windowsill and looking out the window to show that he is home."
12,313,нельзя,adverb,"Утром нельзя рисовать на стене.
In the morning, it is not allowed to draw on the wall."
13,314,век,noun,"Великий век измеряется не только временем, но и великими делами.

The great century is measured not only by time but also by great deeds."
14,315,школа,noun,"В школе важно читать книги и соблюдать порядок.
In school, it is important to read books and maintain order."
15,316,подумать,verb,"Наконец, я решил подумать о том, как вести себя в этой ситуации.
Finally, I decided to think about how to behave in this situation."
16,317,уйти,verb,"Он решил уйти, когда получил информацию через окно.
He decided to leave when he received the information through the window."
17,318,цель,noun,"Наша следующая цель — избежать смерти.

Our next goal is to avoid death."
18,319,среди,pr,"Среди всех программ эта привлекла моё внимание.
Among all the programs, this one caught my attention."
19,320,общество,noun,"Великий человек всегда приносит любовь в общество.
A great person always brings love to society."
20,321,посмотреть,verb,"Мы можем посмотреть фильм после нашего разговора.
We can watch a movie after our conversation."
21,322,деятельность,noun,"Третий сектор общества занимается благотворительной деятельностью.
The third sector of society is engaged in charitable activities."
22,323,организация,noun,"Организация решила вести учет расходов на ремонт стены.

The organization decided to keep track of expenses for the wall repair."
23,324,кто-то,subject pronoun,"Кто-то хочет показать маме новый рисунок.
Someone wants to show mom a new drawing."
24,325,вернуться,verb,"Я все-таки решил вернуться и играть с друзьями.  
I still decided to return and play with my friends."
25,326,президент,noun,"Кто-то сказал, что президент представил новую программу.

Someone said that the president presented a new program."
26,327,комната,noun,"Я поставил стол в комнату и бросил взгляд на окно.  
I placed the table in the room and glanced at the window."
27,328,порядок,noun,"Утро началось с порядка, по моему взгляду.

The morning started with order, in my opinion."
28,329,момент,noun,"В этот момент наш труд за месяц был завершён.

At this moment, our work for the month was completed."
29,330,театр,noun,"Сын в хорошем состоянии пошёл в театр.
My son went to the theater in good condition."
30,331,следовать,verb,"Мы должны следовать известным правилам, которые часто бывают полезными.

We must follow the well-known rules that are often useful."
31,332,читать,verb,"Я люблю читать книги в живом порядке.

I love to read books in a lively order."
32,333,письмо,noun,"Программа объясняет смысл письма.

The program explains the meaning of the letter."
