,Spanish,Quizlet,English,lemma forms,Alternatives,P-O-S,Quizlet P-O-S,MoreInfo,Quizlet Alternatives


0,*pecado* (pecado pecar),"*sin*
noun: sin, sinfulness, trespass",*sin*,pecado pecar,"[['sin', 'sinfulness', 'trespass', 'offence', 'offense']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=pecado,"noun: sin, sinfulness, trespass"


1,*mortal*,"*mortal*
adjective: mortal, deadly, fatal
noun: mortal
adverb: mortally",*mortal*,mortal,"[['mortal', 'deadly', 'fatal', 'lethal', 'deathly', 'killing', 'earthborn'], ['mortal'], ['mortally']]",adjective noun adverb,adjective noun adverb,https://www.linguee.com/english-dutch/search?source=auto&query=mortal,"adjective: mortal, deadly, fatal
noun: mortal
adverb: mortally"


2,*manda* (mandar manda),"*command*
verb: send, command, order",*command*,mandar manda,"[['send', 'command', 'order', 'send out', 'send in', 'instruct', 'lead', 'post', 'tell', 'direct', 'dictate', 'prescribe', 'send off', 'be in charge', 'ordain', 'send along', 'send on', 'get off', 'send round', 'delegate', 'pack off', 'tell off']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=manda,"verb: send, command, order"


3,*claramente*,"*clearly*
adverb: clearly, clear, plainly",*clearly*,claramente,"[['clearly', 'clear', 'plainly', 'sharply', 'plain', 'transparently', 'brightly']]",adverb,adverb,https://www.linguee.com/english-dutch/search?source=auto&query=claramente,"adverb: clearly, clear, plainly"


4,*vía*,"*via*
preposition: via
noun: track, way, line",*via*,vía,"[['via'], ['track', 'way', 'line', 'lane', 'platform', 'tack']]",preposition noun,preposition noun,https://www.linguee.com/english-dutch/search?source=auto&query=vía,"preposition: via
noun: track, way, line"


5,*juntas* (junta juntar),"*together*
adjective: together",*together*,junta juntar,[['together']],adjective,adjective,https://www.linguee.com/english-dutch/search?source=auto&query=juntas,adjective: together


6,*identificación*,"*ID*
abbreviation: ID
noun: identification, detection",*ID*,identificación,"[['ID'], ['identification', 'detection']]",abbreviation noun,abbreviation noun,https://www.linguee.com/english-dutch/search?source=auto&query=identificación,"abbreviation: ID
noun: identification, detection"


7,*dirige* (dirigir),"*directs*
verb: direct, lead, address",*directs*,dirigir,"[['direct', 'lead', 'address', 'manage', 'conduct', 'steer', 'guide', 'head', 'drive', 'aim', 'command', 'operate', 'point', 'supervise', 'head up', 'pilot', 'boss', 'superintend', 'mastermind', 'level', 'shine', 'stage-manage']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=dirige,"verb: direct, lead, address"


8,*declaración*,"*statement*
noun: statement, declaration, return",*statement*,declaración,"[['statement', 'declaration', 'return', 'testimony', 'deposition', 'announcement', 'pronouncement', 'utterance', 'proclamation', 'affirmation', 'registration', 'bid', 'outbreak', 'protestation', 'outgiving']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=declaración,"noun: statement, declaration, return"


9,*alemán*,"*German*
adjective: German
noun: German, Jerry",*German*,alemán,"[['German'], ['German', 'Jerry']]",adjective noun,adjective noun,https://www.linguee.com/english-dutch/search?source=auto&query=alemán,"adjective: German
noun: German, Jerry"


