,Spanish,Quizlet,English,lemma forms,Alternatives,P-O-S,Quizlet P-O-S,MoreInfo,Quizlet Alternatives


0,*terminará* (terminar),"*will finish*
verb: end, finish, complete",*will finish*,terminar,"[['end', 'finish', 'complete', 'end up', 'terminate', 'conclude', 'stop', 'finish off', 'break', 'expire', 'discontinue', 'break off', 'sign off', 'close up', 'follow up', 'leave off', 'let up', 'dispose of']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=terminará,"verb: end, finish, complete"


1,*llenar*,"*fill*
verb: fill, fill out, fill up",*fill*,llenar,"[['fill', 'fill out', 'fill up', 'fill in', 'load', 'pack', 'stuff', 'occupy', 'crowd', 'encumber']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=llenar,"verb: fill, fill out, fill up"


2,*líderes* (líder),"*leaders*
noun: leader",*leaders*,líder,[['leader']],noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=líderes,noun: leader


3,*ganan* (ganar),"*win*
verb: win, earn, gain",*win*,ganar,"[['win', 'earn', 'gain', 'make', 'get', 'beat', 'save', 'take', 'profit', 'win out', 'make money', 'best', 'draw', 'reclaim', 'carry off', 'get the best of', 'carry', 'head', 'walk over', 'win the toss', 'land']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=ganan,"verb: win, earn, gain"


4,*fingir*,"*pretend*
verb: pretend, fake, feign",*pretend*,fingir,"[['pretend', 'fake', 'feign', 'act', 'simulate', 'dissemble', 'make believe', 'sham', 'fox', 'mint']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=fingir,"verb: pretend, fake, feign"


5,*estrategia*,"*strategy*
noun: strategy, strategics, set piece",*strategy*,estrategia,"[['strategy', 'strategics', 'set piece']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=estrategia,"noun: strategy, strategics, set piece"


6,*dirán* (decir),"*they will say*
verb: say, tell, speak",*they will say*,decir,"[['say', 'tell', 'speak', 'mention', 'call', 'word', 'recite', 'voice']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=dirán,"verb: say, tell, speak"


7,*confías* (confiar),"*you trust*
verb: trust, rely, entrust",*you trust*,confiar,"[['trust', 'rely', 'entrust', 'confide', 'intrust']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=confías,"verb: trust, rely, entrust"


8,*cómoda* (cómoda cómodo),"*comfortable*
noun: commode, bureau",*comfortable*,cómoda cómodo,"[['commode', 'bureau']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=cómoda,"noun: commode, bureau"


9,*comience* (comenzar),"*begin*
verb: start, begin, commence",*begin*,comenzar,"[['start', 'begin', 'commence', 'initiate', 'launch', 'open', 'start up', 'kick off', 'take up', 'dawn', 'open up', 'lead off', 'come on', 'enter on', 'turn to', 'take to', 'institute', 'light']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=comience,"verb: start, begin, commence"


10,*cenizas* (ceniza),"*ashes*
noun: ash, cinder, calx",*ashes*,ceniza,"[['ash', 'cinder', 'calx']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=cenizas,"noun: ash, cinder, calx"


