,Spanish,Quizlet,English,lemma forms,Alternatives,P-O-S,Quizlet P-O-S,MoreInfo,Quizlet Alternatives


0,*fuertes* (fuerte),"*powerful*
adjective: strong, sharp, hard
noun: fort, forte, metier",*powerful*,fuerte,"[['strong', 'sharp', 'hard', 'loud', 'heavy', 'powerful', 'high', 'tough', 'robust', 'intense', 'mighty', 'hefty', 'fierce', 'sturdy', 'solid', 'forte', 'stiff', 'forceful', 'potent', 'rugged', 'bold', 'hearty', 'hardy', 'heady', 'brawny', 'strident', 'raw', 'spanking', 'able'], ['fort', 'forte', 'metier', 'cast iron']]",adjective noun,adjective noun,https://www.linguee.com/english-dutch/search?source=auto&query=fuertes,"adjective: strong, sharp, hard
noun: fort, forte, metier"


1,*encantador*,"*charming*
adjective: charming, lovely, enchanting
noun: enchanter, magician",*charming*,encantador,"[['charming', 'lovely', 'enchanting', 'delightful', 'lovable', 'ravishing', 'disarming', 'winning', 'entrancing'], ['enchanter', 'magician']]",adjective noun,adjective noun,https://www.linguee.com/english-dutch/search?source=auto&query=encantador,"adjective: charming, lovely, enchanting
noun: enchanter, magician"


2,*original*,"*original*
adjective: original, novel, pristine
noun: original, manuscript, master copy",*original*,original,"[['original', 'novel', 'pristine', 'primal', 'creative', 'first', 'quaint', 'singular', 'inventive', 'prime'], ['original', 'manuscript', 'master copy']]",adjective noun,adjective noun,https://www.linguee.com/english-dutch/search?source=auto&query=original,"adjective: original, novel, pristine
noun: original, manuscript, master copy"


3,*cadena*,"*chain*
noun: chain, string, network",*chain*,cadena,"[['chain', 'string', 'network', 'link', 'catena', 'bond', 'cuff', 'pull', 'catenation']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=cadena,"noun: chain, string, network"


4,*tarea*,"*task*
noun: task, job, homework",*task*,tarea,"[['task', 'job', 'homework', 'assignment', 'labor', 'labour']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=tarea,"noun: task, job, homework"


5,*dispara* (disparar),"*shoot*
verb: shoot, fire, discharge",*shoot*,disparar,"[['shoot', 'fire', 'discharge', 'loose off']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=dispara,"verb: shoot, fire, discharge"


6,*corta* (corto cortar),"*short*
noun: cutting, crop",*short*,corto cortar,"[['cutting', 'crop']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=corta,"noun: cutting, crop"


7,*compañeros* (compañero),"*companions*
noun: partner, companion, mate",*companions*,compañero,"[['partner', 'companion', 'mate', 'fellow', 'buddy', 'comrade', 'sidekick', 'associate', 'brother', 'chum', 'compeer', 'stooge', 'friend at court', 'schoolfellow']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=compañeros,"noun: partner, companion, mate"


8,*cirugía*,"*surgery*
noun: surgery",*surgery*,cirugía,[['surgery']],noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=cirugía,noun: surgery


9,*quítate* (quitar),"*take off*
",*take off*,quitar,,,no P-O-S info,https://www.linguee.com/english-dutch/search?source=auto&query=quítate,


