,Spanish,Quizlet,English,lemma forms,Alternatives,P-O-S,Quizlet P-O-S,MoreInfo,Quizlet Alternatives


0,*cumplido* (cumplido cumplir),"*compliment*
noun: compliment
adjective: accomplished, complete, kept",*compliment*,cumplido cumplir,"[['compliment'], ['accomplished', 'complete', 'kept', 'courteous']]",noun adjective,noun adjective,https://www.linguee.com/english-dutch/search?source=auto&query=cumplido,"noun: compliment
adjective: accomplished, complete, kept"


1,*brindis*,"*toast*
noun: toast",*toast*,brindis,[['toast']],noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=brindis,noun: toast


2,*villa*,"*town*
noun: villa, small town",*town*,villa,"[['villa', 'small town']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=villa,"noun: villa, small town"


3,*trono*,"*throne*
noun: throne",*throne*,trono,[['throne']],noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=trono,noun: throne


4,*traen* (traer),"*they bring*
verb: bring, bring in, get",*they bring*,traer,"[['bring', 'bring in', 'get', 'carry', 'bring along', 'wear', 'take along', 'call up', 'carry back', 'bring round', 'bring around', 'wheel out']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=traen,"verb: bring, bring in, get"


5,*sentados* (sentado sentar),"*sitting*
adjective: sitting, sejant",*sitting*,sentado sentar,"[['sitting', 'sejant']]",adjective,adjective,https://www.linguee.com/english-dutch/search?source=auto&query=sentados,"adjective: sitting, sejant"


6,*samurai*,"*samurai*
noun: samurai",*samurai*,samurai,[['samurai']],noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=samurai,noun: samurai


7,*salía* (salir),"*came out*
verb: leave, get out, go out",*came out*,salir,"[['leave', 'get out', 'go out', 'go', 'come out', 'depart', 'emerge', 'walk out', 'step out', 'get away', 'break out', 'rise', 'come off', 'come up', 'pull out', 'set out', 'go off', 'pop out', 'go on', 'take off', 'take out', 'sail', 'put out', 'march out', 'stand out', 'get over', 'set forth', 'sail out', 'turn up', 'start off', 'pan out', 'stick out', 'take away', 'push through', 'line out', 'shoot up', 'wash off', 'pierce', 'trot along', 'set forward', 'troop', 'trot over', 'trot round', 'radiate', 'branch']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=salía,"verb: leave, get out, go out"


8,*raras* (raro),"*rare*
adjective: rare, unusual, odd",*rare*,raro,"[['rare', 'unusual', 'odd', 'peculiar', 'quirky', 'extraordinary', 'infrequent', 'scarce', 'singular', 'oddball', 'exotic', 'uncanny', 'rum', 'extravagant', 'few and far between', 'oddish', 'queerish', 'odds-on']]",adjective,adjective,https://www.linguee.com/english-dutch/search?source=auto&query=raras,"adjective: rare, unusual, odd"


9,*producción*,"*production*
noun: production, output, yield",*production*,producción,"[['production', 'output', 'yield', 'product', 'turnout']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=producción,"noun: production, output, yield"


10,*medias* (medio),"*socks*
noun: tights, hose, hosiery",*socks*,medio,"[['tights', 'hose', 'hosiery']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=medias,"noun: tights, hose, hosiery"


