,Spanish,Quizlet,English,lemma forms,Alternatives,P-O-S,Quizlet P-O-S,MoreInfo,Quizlet Alternatives


0,*mande* (mandar),"*What*
verb: send, command, order",*What*,mandar,"[['send', 'command', 'order', 'send out', 'send in', 'instruct', 'lead', 'post', 'tell', 'direct', 'dictate', 'prescribe', 'send off', 'be in charge', 'ordain', 'send along', 'send on', 'get off', 'send round', 'delegate', 'pack off', 'tell off']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=mande,"verb: send, command, order"


1,*ligera* (ligero),"*light*
adjective: light, lightweight, thin",*light*,ligero,"[['light', 'lightweight', 'thin', 'airy', 'feathery', 'mild', 'faint', 'swift', 'light-handed', 'agile', 'springy', 'lithe', 'double-quick']]",adjective,adjective,https://www.linguee.com/english-dutch/search?source=auto&query=ligera,"adjective: light, lightweight, thin"


2,*iris*,"*iris*
noun: iris",*iris*,iris,[['iris']],noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=iris,noun: iris


3,*horno*,"*oven*
noun: oven, furnace, kiln",*oven*,horno,"[['oven', 'furnace', 'kiln', 'stove', 'bakery oven', 'calefactor']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=horno,"noun: oven, furnace, kiln"


4,*grosero*,"*rude*
adjective: rude, gross, coarse
noun: bounder, double chin",*rude*,grosero,"[['rude', 'gross', 'coarse', 'crass', 'uncouth', 'boorish', 'nasty', 'scurrilous', 'unpleasant', 'lower', 'foul-mouthed'], ['bounder', 'double chin']]",adjective noun,adjective noun,https://www.linguee.com/english-dutch/search?source=auto&query=grosero,"adjective: rude, gross, coarse
noun: bounder, double chin"


5,*elementos* (elemento),"*items*
noun: elements",*items*,elemento,[['elements']],noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=elementos,noun: elements


6,*debías* (deber),"*you should*
verb: must, owe, job",*you should*,deber,"[['must', 'owe', 'job', 'suppose']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=debías,"verb: must, owe, job"


7,*culpo* (culpar),"*I blame*
verb: blame, accuse, incriminate",*I blame*,culpar,"[['blame', 'accuse', 'incriminate', 'inculpate', 'tax']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=culpo,"verb: blame, accuse, incriminate"


8,*comencemos* (comenzar),"*let's start*
verb: start, begin, commence",*let's start*,comenzar,"[['start', 'begin', 'commence', 'initiate', 'launch', 'open', 'start up', 'kick off', 'take up', 'dawn', 'open up', 'lead off', 'come on', 'enter on', 'turn to', 'take to', 'institute', 'light']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=comencemos,"verb: start, begin, commence"


9,*bebo* (beber),"*drink*
verb: drink, imbibe, booze",*drink*,beber,"[['drink', 'imbibe', 'booze', 'swig', 'boose', ""wet one's whistle""]]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=bebo,"verb: drink, imbibe, booze"


10,*veloz*,"*fast*
adjective: fast, speedy, fleet",*fast*,veloz,"[['fast', 'speedy', 'fleet', 'nippy', 'zappy', 'fleet-footed']]",adjective,adjective,https://www.linguee.com/english-dutch/search?source=auto&query=veloz,"adjective: fast, speedy, fleet"


