,Spanish,Quizlet,English,lemma forms,Alternatives,P-O-S,Quizlet P-O-S,MoreInfo,Quizlet Alternatives


0,*girar*,"*spin*
verb: turn, rotate, spin",*spin*,girar,"[['turn', 'rotate', 'spin', 'revolve', 'twist', 'swivel', 'turn around', 'go round', 'veer', 'wheel', 'gyrate', 'hinge', 'turn round', 'wind', 'twiddle', 'back', 'rev', 'turn about', 'twist round', 'swivel round']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=girar,"verb: turn, rotate, spin"


1,*extraterrestre*,"*alien*
adjective: extraterrestrial, otherworldly
noun: alien",*alien*,extraterrestre,"[['extraterrestrial', 'otherworldly'], ['alien']]",adjective noun,adjective noun,https://www.linguee.com/english-dutch/search?source=auto&query=extraterrestre,"adjective: extraterrestrial, otherworldly
noun: alien"


2,*egipto* (Egipto),"*Egypt*
noun: Egypt",*Egypt*,Egipto,[['Egypt']],noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=egipto,noun: Egypt


3,*canciller*,"*chancellor*
noun: chancellor",*chancellor*,canciller,[['chancellor']],noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=canciller,noun: chancellor


4,*valores* (valor),"*values*
noun: values, securities, stock",*values*,valor,"[['values', 'securities', 'stock', 'valuables', 'holding']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=valores,"noun: values, securities, stock"


5,*recibiste* (recibir),"*did you receive*
verb: receive, get, welcome",*did you receive*,recibir,"[['receive', 'get', 'welcome', 'take in', 'bow in']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=recibiste,"verb: receive, get, welcome"


6,*quítense* (quitar),"*take off*
",*take off*,quitar,,,no P-O-S info,https://www.linguee.com/english-dutch/search?source=auto&query=quítense,


7,*protocolo*,"*protocol*
noun: protocol",*protocol*,protocolo,[['protocol']],noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=protocolo,noun: protocol


8,*preocuparme* (preocupar),"*worry*
",*worry*,preocupar,,,no P-O-S info,https://www.linguee.com/english-dutch/search?source=auto&query=preocuparme,


9,*pacto* (pacto pactar),"*covenant*
noun: covenant, pact, agreement",*covenant*,pacto pactar,"[['covenant', 'pact', 'agreement', 'compact', 'deal', 'accord']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=pacto,"noun: covenant, pact, agreement"


10,*módulo*,"*module*
noun: module, modulus",*module*,módulo,"[['module', 'modulus']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=módulo,"noun: module, modulus"


11,*inteligentes* (inteligente),"*smart*
adjective: intelligent, smart, clever",*smart*,inteligente,"[['intelligent', 'smart', 'clever', 'brainy', 'thinking', 'able', 'apprehensive', 'clear-headed']]",adjective,adjective,https://www.linguee.com/english-dutch/search?source=auto&query=inteligentes,"adjective: intelligent, smart, clever"


12,*imaginaba* (imaginar),"*imagined*
verb: imagine, think, figure",*imagined*,imaginar,"[['imagine', 'think', 'figure', 'guess', 'think up', 'suspect', 'think out', 'figure up', 'think over', 'construct']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=imaginaba,"verb: imagine, think, figure"


