,Spanish,Quizlet,English,lemma forms,Alternatives,P-O-S,Quizlet P-O-S,MoreInfo,Quizlet Alternatives


0,*comercial*,"*commercial*
adjective: commercial, trade, trading",*commercial*,comercial,"[['commercial', 'trade', 'trading']]",adjective,adjective,https://www.linguee.com/english-dutch/search?source=auto&query=comercial,"adjective: commercial, trade, trading"


1,*primavera*,"*spring*
noun: spring, springtime, primrose",*spring*,primavera,"[['spring', 'springtime', 'primrose']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=primavera,"noun: spring, springtime, primrose"


2,*metió* (meter),"*got into*
verb: put, insert, place",*got into*,meter,"[['put', 'insert', 'place', 'shove', 'dip', 'thrust', 'introduce', 'sink', 'engage', 'involve', 'tuck in', 'enclose', 'stow', 'intrude', 'log in', 'inclose', 'jug', 'fay', 'throw on']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=metió,"verb: put, insert, place"


3,*volvemos* (volver),"*we return*
verb: return, go back, come back",*we return*,volver,"[['return', 'go back', 'come back', 'get back', 'turn', 'put back', 'turn around', 'ride back', 'turn over', 'call back', 'hark back', 'cut back', 'turn round', 'turn about', 'throw back']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=volvemos,"verb: return, go back, come back"


4,*mandar*,"*send*
verb: send, command, order",*send*,mandar,"[['send', 'command', 'order', 'send out', 'send in', 'instruct', 'lead', 'post', 'tell', 'direct', 'dictate', 'prescribe', 'send off', 'be in charge', 'ordain', 'send along', 'send on', 'get off', 'send round', 'delegate', 'pack off', 'tell off']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=mandar,"verb: send, command, order"


5,*luce* (lucir),"*looks*
verb: shine, sport, display",*looks*,lucir,"[['shine', 'sport', 'display', 'flaunt', 'illuminate']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=luce,"verb: shine, sport, display"


6,*sagrado*,"*sacred*
adjective: sacred, holy, sacral
noun: sanctuary",*sacred*,sagrado,"[['sacred', 'holy', 'sacral', 'sainted'], ['sanctuary']]",adjective noun,adjective noun,https://www.linguee.com/english-dutch/search?source=auto&query=sagrado,"adjective: sacred, holy, sacral
noun: sanctuary"


7,*nacido* (nacido nacer),"*born*
adjective: born",*born*,nacido nacer,[['born']],adjective,adjective,https://www.linguee.com/english-dutch/search?source=auto&query=nacido,adjective: born


8,*fabuloso*,"*fabulous*
adjective: fabulous, fantastic, fabled",*fabulous*,fabuloso,"[['fabulous', 'fantastic', 'fabled', 'fantastical', 'untold']]",adjective,adjective,https://www.linguee.com/english-dutch/search?source=auto&query=fabuloso,"adjective: fabulous, fantastic, fabled"


