,Spanish,Quizlet,English,lemma forms,Alternatives,P-O-S,Quizlet P-O-S,MoreInfo,Quizlet Alternatives


0,*hermanito* (hermanito hermano),"*little brother*
",*little brother*,hermanito hermano,,,no P-O-S info,https://www.linguee.com/english-dutch/search?source=auto&query=hermanito,


1,*hamburguesas* (hamburguesa),"*burgers*
noun: burger, hamburger",*burgers*,hamburguesa,"[['burger', 'hamburger']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=hamburguesas,"noun: burger, hamburger"


2,*firmado* (firmado firmar),"*signed*
verb: sign, ink, autograph",*signed*,firmado firmar,"[['sign', 'ink', 'autograph', ""set one's hand to""]]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=firmado,"verb: sign, ink, autograph"


3,*entrenar*,"*train*
verb: train, coach, exercise",*train*,entrenar,"[['train', 'coach', 'exercise']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=entrenar,"verb: train, coach, exercise"


4,*encendido* (encendido encender),"*switched on*
adjective: on, glowing, fired
noun: ignition, switching-on, lighting",*switched on*,encendido encender,"[['on', 'glowing', 'fired', 'aglow', 'afire', 'ablaze', 'flaring', 'live'], ['ignition', 'switching-on', 'lighting']]",adjective noun,adjective noun,https://www.linguee.com/english-dutch/search?source=auto&query=encendido,"adjective: on, glowing, fired
noun: ignition, switching-on, lighting"


5,*disfruten* (disfrutar),"*enjoy*
verb: enjoy, delight, bask",*enjoy*,disfrutar,"[['enjoy', 'delight', 'bask', 'take pleasure in']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=disfruten,"verb: enjoy, delight, bask"


6,*deseaba* (desear),"*wished*
verb: want, wish, desire",*wished*,desear,"[['want', 'wish', 'desire', 'wish for', 'long for', 'covet']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=deseaba,"verb: want, wish, desire"


7,*conocías* (conocer),"*did you know*
verb: know, meet, learn",*did you know*,conocer,"[['know', 'meet', 'learn', 'recognize', 'become acquainted', 'ken']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=conocías,"verb: know, meet, learn"


8,*cambiaron* (cambiar),"*they changed*
verb: change, switch, shift",*they changed*,cambiar,"[['change', 'switch', 'shift', 'exchange', 'alter', 'turn', 'swap', 'vary', 'transfer', 'turn around', 'swing', 'swap over', 'distort', 'swop', 'swap around', 'swap round', 'dislocate', 'barter']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=cambiaron,"verb: change, switch, shift"


9,*boxeo* (boxeo boxear),"*boxing*
noun: boxing, box",*boxing*,boxeo boxear,"[['boxing', 'box']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=boxeo,"noun: boxing, box"


10,*autorizado* (autorizado autorizar),"*authorized*
adjective: authorized, licensed, official",*authorized*,autorizado autorizar,"[['authorized', 'licensed', 'official', 'officious', 'authoritative', 'licenced', 'accredited', 'able']]",adjective,adjective,https://www.linguee.com/english-dutch/search?source=auto&query=autorizado,"adjective: authorized, licensed, official"


