,Spanish,Quizlet,English,lemma forms,Alternatives,P-O-S,Quizlet P-O-S,MoreInfo,Quizlet Alternatives


0,*honesto*,"*honest*
adjective: honest, decent, upright",*honest*,honesto,"[['honest', 'decent', 'upright']]",adjective,adjective,https://www.linguee.com/english-dutch/search?source=auto&query=honesto,"adjective: honest, decent, upright"


1,*entrevista*,"*interview*
noun: interview, meeting",*interview*,entrevista,"[['interview', 'meeting']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=entrevista,"noun: interview, meeting"


2,*antigua* (antiguo),"*ancient*
adjective: old, ancient, former",*ancient*,antiguo,"[['old', 'ancient', 'former', 'antique', 'vintage', 'archaic', 'used', 'quondam', 'age-old', 'old-world', 'old-established', 'out-of-date', 'long-standing']]",adjective,adjective,https://www.linguee.com/english-dutch/search?source=auto&query=antigua,"adjective: old, ancient, former"


3,*amante*,"*lover*
noun: lover, mistress, paramour
adjective: affectionate",*lover*,amante,"[['lover', 'mistress', 'paramour', 'flame', 'swain'], ['affectionate']]",noun adjective,noun adjective,https://www.linguee.com/english-dutch/search?source=auto&query=amante,"noun: lover, mistress, paramour
adjective: affectionate"


4,*humo*,"*smoke*
noun: smoke, fume",*smoke*,humo,"[['smoke', 'fume']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=humo,"noun: smoke, fume"


5,*gustas* (gustar),"*you like*
verb: like, taste, love",*you like*,gustar,"[['like', 'taste', 'love', 'please', 'appeal', 'appeal to', 'interest', 'suit']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=gustas,"verb: like, taste, love"


6,*condado*,"*county*
noun: county, shire, earldom",*county*,condado,"[['county', 'shire', 'earldom']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=condado,"noun: county, shire, earldom"


7,*conseguido* (conseguido conseguir),"*got*
adjective: landed, acquired",*got*,conseguido conseguir,"[['landed', 'acquired']]",adjective,adjective,https://www.linguee.com/english-dutch/search?source=auto&query=conseguido,"adjective: landed, acquired"


8,*viajar*,"*travel*
verb: travel, go, ride",*travel*,viajar,"[['travel', 'go', 'ride', 'drive', 'journey', 'tour', 'get around', 'wander']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=viajar,"verb: travel, go, ride"


9,*sombra*,"*shade*
noun: shadow, shade, shading",*shade*,sombra,"[['shadow', 'shade', 'shading', 'darkness', 'shadiness']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=sombra,"noun: shadow, shade, shading"


10,*sabrá* (saber),"*will know*
verb: know, realize, taste",*will know*,saber,"[['know', 'realize', 'taste', 'be conscious of']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=sabrá,"verb: know, realize, taste"


11,*refiere* (referir),"*refers*
verb: refer, recount, narrate",*refers*,referir,"[['refer', 'recount', 'narrate', 'recite']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=refiere,"verb: refer, recount, narrate"


