,Spanish,Quizlet,English,lemma forms,Alternatives,P-O-S,Quizlet P-O-S,MoreInfo,Quizlet Alternatives


0,*volando* (volar),"*flying*
adjective: airborne",*flying*,volar,[['airborne']],adjective,adjective,https://www.linguee.com/english-dutch/search?source=auto&query=volando,adjective: airborne


1,*pensamos* (pensar),"*we think*
verb: think, reflect, ponder",*we think*,pensar,"[['think', 'reflect', 'ponder', 'contemplate', 'think out', 'guess', 'think over', 'cogitate', 'see about']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=pensamos,"verb: think, reflect, ponder"


2,*míos* (mío),"*mine*
",*mine*,mío,,,no P-O-S info,https://www.linguee.com/english-dutch/search?source=auto&query=míos,


3,*errores* (error),"*mistakes*
noun: error, mistake, bug",*mistakes*,error,"[['error', 'mistake', 'bug', 'wrong', 'fault', 'fallacy', 'misunderstanding', 'lapse', 'miss', 'miscalculation', 'misapprehension', 'misdeed', 'misdoing', 'inadvertence', 'foozle']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=errores,"noun: error, mistake, bug"


4,*celular*,"*cell phone*
adjective: cellular",*cell phone*,celular,[['cellular']],adjective,adjective,https://www.linguee.com/english-dutch/search?source=auto&query=celular,adjective: cellular


5,*cuantas* (cuanto),"*how many*
",*how many*,cuanto,,,no P-O-S info,https://www.linguee.com/english-dutch/search?source=auto&query=cuantas,


6,*verlos* (ver),"*see them*
",*see them*,ver,,,no P-O-S info,https://www.linguee.com/english-dutch/search?source=auto&query=verlos,


7,*ayudarle* (ayudar),"*help you*
",*help you*,ayudar,,,no P-O-S info,https://www.linguee.com/english-dutch/search?source=auto&query=ayudarle,


8,*meter*,"*to put*
verb: put, insert, place",*to put*,meter,"[['put', 'insert', 'place', 'shove', 'dip', 'thrust', 'introduce', 'sink', 'engage', 'involve', 'tuck in', 'enclose', 'stow', 'intrude', 'log in', 'inclose', 'jug', 'fay', 'throw on']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=meter,"verb: put, insert, place"


9,*hablaré* (hablar),"*I'll talk*
verb: talk, speak, chat",*I'll talk*,hablar,"[['talk', 'speak', 'chat', 'communicate', 'gab']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=hablaré,"verb: talk, speak, chat"


10,*ésto* (esto),"*this*
pronoun: this",*this*,esto,[['this']],pronoun,pronoun,https://www.linguee.com/english-dutch/search?source=auto&query=ésto,pronoun: this


11,*buscas* (buscar),"*you seek*
noun: search, hunt, bleeper",*you seek*,buscar,"[['search', 'hunt', 'bleeper', 'radiopager']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=buscas,"noun: search, hunt, bleeper"


12,*equivocada* (equivocado equivocar),"*wrong*
adjective: wrong, mistaken, misguided",*wrong*,equivocado equivocar,"[['wrong', 'mistaken', 'misguided', 'wrongful', 'lost', 'off base']]",adjective,adjective,https://www.linguee.com/english-dutch/search?source=auto&query=equivocada,"adjective: wrong, mistaken, misguided"


