,Spanish,Quizlet,English,lemma forms,Alternatives,P-O-S,Quizlet P-O-S,MoreInfo,Quizlet Alternatives


0,*volvieron* (volver),"*they came back*
verb: return, go back, come back",*they came back*,volver,"[['return', 'go back', 'come back', 'get back', 'turn', 'put back', 'turn around', 'ride back', 'turn over', 'call back', 'hark back', 'cut back', 'turn round', 'turn about', 'throw back']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=volvieron,"verb: return, go back, come back"


1,*suelte* (soltar),"*release*
verb: drop, release, loosen",*release*,soltar,"[['drop', 'release', 'loosen', 'loose', 'free', 'disengage', 'let out', 'put down', 'set free', 'unclasp', 'let down', 'pay out', 'extricate', 'unhand']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=suelte,"verb: drop, release, loosen"


2,*reto* (reto retar),"*challenge*
noun: challenge, dare, daring",*challenge*,reto retar,"[['challenge', 'dare', 'daring']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=reto,"noun: challenge, dare, daring"


3,*metes* (meter),"*you put*
verb: put, insert, place",*you put*,meter,"[['put', 'insert', 'place', 'shove', 'dip', 'thrust', 'introduce', 'sink', 'engage', 'involve', 'tuck in', 'enclose', 'stow', 'intrude', 'log in', 'inclose', 'jug', 'fay', 'throw on']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=metes,"verb: put, insert, place"


4,*infarto*,"*heart attack*
noun: heart attack, infarct, coronary thrombosis",*heart attack*,infarto,"[['heart attack', 'infarct', 'coronary thrombosis']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=infarto,"noun: heart attack, infarct, coronary thrombosis"


5,*cuyo*,"*whose*
adjective: whose, which
pronoun: whose
conjunction: whereof",*whose*,cuyo,"[['whose', 'which'], ['whose'], ['whereof']]",adjective pronoun conjunction,adjective pronoun conjunction,https://www.linguee.com/english-dutch/search?source=auto&query=cuyo,"adjective: whose, which
pronoun: whose
conjunction: whereof"


6,*construyó* (construir),"*built*
verb: build, construct, erect",*built*,construir,"[['build', 'construct', 'erect', 'set up', 'put up', 'rig up']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=construyó,"verb: build, construct, erect"


7,*boleto*,"*ticket*
noun: ticket, boletus, fare",*ticket*,boleto,"[['ticket', 'boletus', 'fare']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=boleto,"noun: ticket, boletus, fare"


8,*besar*,"*kiss*
verb: kiss, peck, osculate",*kiss*,besar,"[['kiss', 'peck', 'osculate']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=besar,"verb: kiss, peck, osculate"


9,*portal*,"*portal*
noun: portal, gate, doorway",*portal*,portal,"[['portal', 'gate', 'doorway', 'gantry', 'gauntry']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=portal,"noun: portal, gate, doorway"


