,Spanish,Quizlet,English,lemma forms,Alternatives,P-O-S,Quizlet P-O-S,MoreInfo,Quizlet Alternatives


0,*trataron* (tratar),"*they tried*
verb: treat, process, try on",*they tried*,tratar,"[['treat', 'process', 'try on', 'attend', 'behave towards']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=trataron,"verb: treat, process, try on"


1,*tardará* (tardar),"*it will take*
verb: delay, be slow, linger",*it will take*,tardar,"[['delay', 'be slow', 'linger', 'tarry', 'postpone', 'dally', 'belate']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=tardará,"verb: delay, be slow, linger"


2,*sábanas* (sábana),"*bed sheets*
",*bed sheets*,sábana,,,no P-O-S info,https://www.linguee.com/english-dutch/search?source=auto&query=sábanas,


3,*polo*,"*pole*
noun: pole, polo, polo shirt",*pole*,polo,"[['pole', 'polo', 'polo shirt']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=polo,"noun: pole, polo, polo shirt"


4,*podia* (poder),"*could*
verb: be able to, can, may",*could*,poder,"[['be able to', 'can', 'may']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=podia,"verb: be able to, can, may"


5,*perspectiva*,"*perspective*
noun: perspective, prospect, outlook",*perspective*,perspectiva,"[['perspective', 'prospect', 'outlook', 'view', 'proposition', 'look-out']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=perspectiva,"noun: perspective, prospect, outlook"


6,*papás* (papá),"*potatoes*
noun: chip",*potatoes*,papá,[['chip']],noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=papás,noun: chip


7,*ministerio*,"*ministry*
noun: ministry, office, department",*ministry*,ministerio,"[['ministry', 'office', 'department', 'chancellorship', 'secretaryship']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=ministerio,"noun: ministry, office, department"


8,*gesto* (gesto gestar),"*gesture*
noun: gesture, sign, face",*gesture*,gesto gestar,"[['gesture', 'sign', 'face', 'grimace', 'visage']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=gesto,"noun: gesture, sign, face"


9,*fumando* (fumar),"*smoking*
verb: smoke",*smoking*,fumar,[['smoke']],verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=fumando,verb: smoke


10,*disfrutando* (disfrutar),"*enjoying*
verb: enjoy, delight, bask",*enjoying*,disfrutar,"[['enjoy', 'delight', 'bask', 'take pleasure in']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=disfrutando,"verb: enjoy, delight, bask"


11,*debas* (deber),"*you must*
verb: must, owe, job",*you must*,deber,"[['must', 'owe', 'job', 'suppose']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=debas,"verb: must, owe, job"


12,*culpar*,"*to blame*
verb: blame, accuse, incriminate",*to blame*,culpar,"[['blame', 'accuse', 'incriminate', 'inculpate', 'tax']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=culpar,"verb: blame, accuse, incriminate"


13,*atreve* (atrever),"*dare*
",*dare*,atrever,,,no P-O-S info,https://www.linguee.com/english-dutch/search?source=auto&query=atreve,


