,Spanish,Quizlet,English,lemma forms,Alternatives,P-O-S,Quizlet P-O-S,MoreInfo,Quizlet Alternatives


0,*carajos* (carajo),"*damn*
noun: dick, prick, cock",*damn*,carajo,"[['dick', 'prick', 'cock', 'dong']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=carajos,"noun: dick, prick, cock"


1,*vería* (ver),"*would see*
verb: see, view, watch",*would see*,ver,"[['see', 'view', 'watch', 'look', 'hear', 'see into', 'eye', 'try', 'envisage', 'notice', 'witness']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=vería,"verb: see, view, watch"


2,*seca* (seco secar),"*dry*
adjective: dried, dry, dead",*dry*,seco secar,"[['dried', 'dry', 'dead', 'sharp', 'curt', 'parched', 'sere', 'barren', 'rainless', 'hacking', 'short-spoken']]",adjective,adjective,https://www.linguee.com/english-dutch/search?source=auto&query=seca,"adjective: dried, dry, dead"


3,*recibiendo* (recibir),"*receiving*
verb: receive, get, welcome",*receiving*,recibir,"[['receive', 'get', 'welcome', 'take in', 'bow in']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=recibiendo,"verb: receive, get, welcome"


4,*pescar*,"*fishing*
verb: fish, catch, hook",*fishing*,pescar,"[['fish', 'catch', 'hook', 'drabble']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=pescar,"verb: fish, catch, hook"


5,*olvidas* (olvidar),"*you forget*
verb: forget, neglect, leave",*you forget*,olvidar,"[['forget', 'neglect', 'leave', 'get over', 'omit', 'leave behind', 'leave out', 'condone', 'come off']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=olvidas,"verb: forget, neglect, leave"


6,*naciones* (nación),"*nations*
noun: nation, people, folk",*nations*,nación,"[['nation', 'people', 'folk', 'men']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=naciones,"noun: nation, people, folk"


7,*llevara* (llevar),"*carry*
verb: carry, take, bring",*carry*,llevar,"[['carry', 'take', 'bring', 'lead', 'wear', 'bear', 'deliver', 'run', 'convey', 'transport', 'carry on', 'take along', 'lug', 'carry off', 'tote', 'have on', 'bring round', 'bring around', 'enter up', 'live through', 'cart']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=llevara,"verb: carry, take, bring"


8,*graciosa* (gracioso),"*funny*
adjective: funny, graceful, gracious",*funny*,gracioso,"[['funny', 'graceful', 'gracious', 'amusing', 'droll']]",adjective,adjective,https://www.linguee.com/english-dutch/search?source=auto&query=graciosa,"adjective: funny, graceful, gracious"


9,*emergencias* (emergencia),"*emergencies*
noun: emergency",*emergencies*,emergencia,[['emergency']],noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=emergencias,noun: emergency


10,*conviene* (convenir),"*it suits*
verb: agree, suit, arrange",*it suits*,convenir,"[['agree', 'suit', 'arrange', 'concur', 'fall in', 'do', 'answer']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=conviene,"verb: agree, suit, arrange"


