,Spanish,Quizlet,English,lemma forms,Alternatives,P-O-S,Quizlet P-O-S,MoreInfo,Quizlet Alternatives


0,*oyendo* (oír),"*hearing*
verb: hear, listen, overhear",*hearing*,oír,"[['hear', 'listen', 'overhear', 'catch']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=oyendo,"verb: hear, listen, overhear"


1,*mordida* (mordida mordido morder),"*bite*
noun: bite, kickback",*bite*,mordida mordido morder,"[['bite', 'kickback']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=mordida,"noun: bite, kickback"


2,*mmm*,"*Hmm*
",*Hmm*,mmm,,,no P-O-S info,https://www.linguee.com/english-dutch/search?source=auto&query=mmm,


3,*miró* (mirar),"*I look*
verb: look, look at, watch",*I look*,mirar,"[['look', 'look at', 'watch', 'see', 'view', 'glance', 'peer', 'look to', 'regard', 'look on', 'look around', 'eye', 'look after', 'look about', 'survey']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=miró,"verb: look, look at, watch"


4,*marchar*,"*to March*
verb: march, go, walk",*to March*,marchar,"[['march', 'go', 'walk', 'move', 'go away', 'travel', 'work', 'go off', 'sail', 'track', 'tramp', 'troop', 'trot', 'leg', 'kick around', 'turn about', 'toddle', 'tick by', 'tick away', 'trip']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=marchar,"verb: march, go, walk"


5,*mantequilla*,"*butter*
noun: butter",*butter*,mantequilla,[['butter']],noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=mantequilla,noun: butter


6,*guardián*,"*guardian*
noun: guardian, keeper, custodian",*guardian*,guardián,"[['guardian', 'keeper', 'custodian', 'warden', 'caretaker', 'watchman']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=guardián,"noun: guardian, keeper, custodian"


7,*escándalo*,"*scandal*
noun: scandal, fuss, outrage",*scandal*,escándalo,"[['scandal', 'fuss', 'outrage', 'uproar', 'scene', 'row', 'noise', 'commotion', 'furor', 'furore', 'disgrace', 'astonishment', 'notoriety', 'sense of shock']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=escándalo,"noun: scandal, fuss, outrage"


8,*causó* (causar),"*caused*
verb: cause, inflict, bring about",*caused*,causar,"[['cause', 'inflict', 'bring about', 'give', 'bring on', 'entail', 'occasion', 'beget', 'produce', 'touch off']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=causó,"verb: cause, inflict, bring about"


9,*aléjense* (alejar),"*stay away*
",*stay away*,alejar,,,no P-O-S info,https://www.linguee.com/english-dutch/search?source=auto&query=aléjense,


10,*acercando* (acercar),"*approaching*
verb: bring closer, bring near, draw near",*approaching*,acercar,"[['bring closer', 'bring near', 'draw near', 'pull up', 'draw up']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=acercando,"verb: bring closer, bring near, draw near"


11,*vió* (ver),"*saw*
verb: see, view, watch",*saw*,ver,"[['see', 'view', 'watch', 'look', 'hear', 'see into', 'eye', 'try', 'envisage', 'notice', 'witness']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=vió,"verb: see, view, watch"


