,Spanish,Quizlet,English,lemma forms,Alternatives,P-O-S,Quizlet P-O-S,MoreInfo,Quizlet Alternatives


0,*decisiones* (decisión),"*decisions*
noun: decision, rule",*decisions*,decisión,"[['decision', 'rule']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=decisiones,"noun: decision, rule"


1,*criminales* (criminal),"*criminals*
adjective: criminal, felonious, ruffianly
noun: criminal, felon, villain",*criminals*,criminal,"[['criminal', 'felonious', 'ruffianly'], ['criminal', 'felon', 'villain', 'desperado', 'lag', 'raider']]",adjective noun,adjective noun,https://www.linguee.com/english-dutch/search?source=auto&query=criminales,"adjective: criminal, felonious, ruffianly
noun: criminal, felon, villain"


2,*cámaras* (cámara),"*cameras*
noun: camera, chamber, cameraman",*cameras*,cámara,"[['camera', 'chamber', 'cameraman', 'vault', 'hall', 'innertube', 'cinecamera', 'tyre']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=cámaras,"noun: camera, chamber, cameraman"


3,*amanecer*,"*sunrise*
noun: dawn, aurora
verb: dawn",*sunrise*,amanecer,"[['dawn', 'aurora'], ['dawn']]",noun verb,noun verb,https://www.linguee.com/english-dutch/search?source=auto&query=amanecer,"noun: dawn, aurora
verb: dawn"


4,*convirtió* (convertir),"*turned*
verb: convert, turn, transform",*turned*,convertir,"[['convert', 'turn', 'transform', 'proselytize', 'turn around', 'turn about']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=convirtió,"verb: convert, turn, transform"


5,*aldea*,"*village*
noun: village, hamlet, dorp",*village*,aldea,"[['village', 'hamlet', 'dorp']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=aldea,"noun: village, hamlet, dorp"


6,*abandonar*,"*abandon*
verb: leave, abandon, give up",*abandon*,abandonar,"[['leave', 'abandon', 'give up', 'drop', 'quit', 'drop out', 'flee', 'forsake', 'relinquish', 'withdraw', 'desert', 'retire', 'resign', 'ditch', 'walk out', 'cast away', 'chuck', 'call off', 'throw off', 'walk out on', 'leave over', 'toss aside', 'jack in']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=abandonar,"verb: leave, abandon, give up"


7,*obvio*,"*obvious*
adjective: obvious, noticeable",*obvious*,obvio,"[['obvious', 'noticeable']]",adjective,adjective,https://www.linguee.com/english-dutch/search?source=auto&query=obvio,"adjective: obvious, noticeable"


8,*habíamos* (haber),"*we had*
verb: have",*we had*,haber,[['have']],verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=habíamos,verb: have


9,*apesta* (apestar),"*stinks*
verb: reek, stink out, pong",*stinks*,apestar,"[['reek', 'stink out', 'pong', 'smell out', 'infest']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=apesta,"verb: reek, stink out, pong"


10,*abandonado* (abandonado abandonar),"*abandoned*
adjective: abandoned, deserted, neglected",*abandoned*,abandonado abandonar,"[['abandoned', 'deserted', 'neglected', 'uncared-for', 'derelict', 'forlorn', 'desolate']]",adjective,adjective,https://www.linguee.com/english-dutch/search?source=auto&query=abandonado,"adjective: abandoned, deserted, neglected"


