,Spanish,Quizlet,English,lemma forms,Alternatives,P-O-S,Quizlet P-O-S,MoreInfo,Quizlet Alternatives


0,*querrías* (querer),"*would you like*
verb: want, love, wish",*would you like*,querer,"[['want', 'love', 'wish', 'will', 'like', 'cherish', 'feel like', 'desiderate']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=querrías,"verb: want, love, wish"


1,*quedara* (quedar),"*will remain*
verb: stay, remain, keep",*will remain*,quedar,"[['stay', 'remain', 'keep', 'rest', 'stick around', 'come up', 'agree', 'leave off', 'throw aside', 'lead off', 'let into', 'leave over']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=quedara,"verb: stay, remain, keep"


2,*ordenador*,"*computer*
noun: computer",*computer*,ordenador,[['computer']],noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=ordenador,noun: computer


3,*jodidos* (jodido joder),"*fucked up*
verb: fuck, screw, fuck up",*fucked up*,jodido joder,"[['fuck', 'screw', 'fuck up', 'fuck about']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=jodidos,"verb: fuck, screw, fuck up"


4,*enfermeras* (enfermera),"*nurses*
noun: nurse",*nurses*,enfermera,[['nurse']],noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=enfermeras,noun: nurse


5,*despertado* (despertado despertar),"*woken up*
verb: wake, awaken, arouse",*woken up*,despertado despertar,"[['wake', 'awaken', 'arouse', 'rouse', 'waken', 'get up', 'revive', 'knock up']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=despertado,"verb: wake, awaken, arouse"


6,*comentarios* (comentario),"*comments*
noun: commentation",*comments*,comentario,[['commentation']],noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=comentarios,noun: commentation


7,*alumnos* (alumno),"*students*
noun: student, pupil, disciple",*students*,alumno,"[['student', 'pupil', 'disciple', 'schoolboy', 'schoolchild', 'junior']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=alumnos,"noun: student, pupil, disciple"


8,*aburrida* (aburrido aburrir),"*bored*
adjective: boring, dull, tired",*bored*,aburrido aburrir,"[['boring', 'dull', 'tired', 'tiresome', 'weary', 'dry', 'humdrum', 'wearisome', 'slow', 'tame', 'prosy']]",adjective,adjective,https://www.linguee.com/english-dutch/search?source=auto&query=aburrida,"adjective: boring, dull, tired"


9,*superar*,"*get over*
verb: overcome, surpass, pass",*get over*,superar,"[['overcome', 'surpass', 'pass', 'get over', 'break', 'conquer', 'better', 'outstrip', 'come through', 'overpass', 'overmatch', 'outpoint', 'outgo', 'outrange', 'outrival', 'outbalance', 'weather', 'out-top']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=superar,"verb: overcome, surpass, pass"


10,*norma* (norma normar),"*rule*
noun: rule, norm, policy",*rule*,norma normar,"[['rule', 'norm', 'policy', 'yardstick', 'prescript']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=norma,"noun: rule, norm, policy"


