,Spanish,Quizlet,English,lemma forms,Alternatives,P-O-S,Quizlet P-O-S,MoreInfo,Quizlet Alternatives


0,*batería*,"*battery*
noun: battery, drums, drummer",*battery*,batería,"[['battery', 'drums', 'drummer', 'pile', 'shore battery', 'battery deck']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=batería,"noun: battery, drums, drummer"


1,*visual*,"*visual*
adjective: visual",*visual*,visual,[['visual']],adjective,adjective,https://www.linguee.com/english-dutch/search?source=auto&query=visual,adjective: visual


2,*reconoce* (reconocer),"*recognize*
verb: recognize, acknowledge, admit",*recognize*,reconocer,"[['recognize', 'acknowledge', 'admit', 'know', 'spot', 'spy out', 'notice', 'face', 'survey', 'avouch', 'tell', 'taste', 'place', 'check up']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=reconoce,"verb: recognize, acknowledge, admit"


3,*pedimos* (pedir),"*we ask*
verb: ask, request, ask for",*we ask*,pedir,"[['ask', 'request', 'ask for', 'order', 'demand', 'call for', 'require', 'apply for', 'inquire', 'invite', 'sue for', 'crave', 'charge', 'indent for', 'treat', 'postulate for', 'supplicate']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=pedimos,"verb: ask, request, ask for"


4,*niebla*,"*fog*
noun: fog, mist",*fog*,niebla,"[['fog', 'mist']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=niebla,"noun: fog, mist"


5,*métodos* (método),"*methods*
noun: inscription",*methods*,método,[['inscription']],noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=métodos,noun: inscription


6,*durmió* (dormir),"*slept*
verb: sleep, slumber, doze",*slept*,dormir,"[['sleep', 'slumber', 'doze', 'kip', 'doss', 'bunk down', 'live']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=durmió,"verb: sleep, slumber, doze"


7,*desfile* (desfile desfilar),"*parade*
noun: parade, procession, march-past",*parade*,desfile desfilar,"[['parade', 'procession', 'march-past']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=desfile,"noun: parade, procession, march-past"


8,*creciendo* (crecer),"*growing*
verb: grow, grow up, increase",*growing*,crecer,"[['grow', 'grow up', 'increase', 'rise', 'swell', 'wax', 'shoot up']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=creciendo,"verb: grow, grow up, increase"


9,*continua* (continuo continuar),"*keep going*
adjective: continuous, continuing, continual",*keep going*,continuo continuar,"[['continuous', 'continuing', 'continual', 'steady', 'perpetual', 'persistent', 'rolling', 'unbroken', 'direct', 'chronic', 'non-stop']]",adjective,adjective,https://www.linguee.com/english-dutch/search?source=auto&query=continua,"adjective: continuous, continuing, continual"


