,Unnamed: 0,Spanish,show,lemma,Translation,SpaCy_POS,SpaCy_Tag,POS
0,800,ejército,ejército,ejército,army,NOUN,NOUN,Noun
1,801,futuro,futuro,futuro,future,NOUN,NOUN,Noun
2,802,llevar,llevar,llevar,carry,VERB,VERB,Verb
3,803,compañía,compañía,compañía,company,NOUN,NOUN,Noun
4,804,venido,*venido* (venir),venir,I come,VERB,VERB,Verb
5,805,listos,*listos* (listo),listo,ready,ADJ,ADJ,Adjective
6,806,haremos,*haremos* (hacer),hacer,will,NOUN,NOUN,Noun
7,807,sitio,sitio,sitio,place,NOUN,NOUN,Noun
8,808,verlo,*verlo* (ver),ver,see him,VERB,VERB,Verb
9,809,puesto,puesto,puesto,position,VERB,VERB,Verb
10,810,puesto,*puesto* (poner),poner,position,VERB,VERB,Verb
11,811,atención,atención,atención,attention,NOUN,NOUN,Noun
12,812,sino,sino,sino,but,CCONJ,CCONJ,Conjunction
13,813,cambiar,cambiar,cambiar,change,VERB,VERB,Verb
14,814,error,error,error,mistake,NOUN,NOUN,Noun
15,815,blanco,blanco,blanco,white,ADJ,ADJ,Adjective
16,816,raro,raro,raro,queer,ADJ,ADJ,Adjective
17,817,palabras,*palabras* (palabra),palabra,words,NOUN,NOUN,Noun
18,818,llegó,*llegó* (llegar),llegar,arrive,VERB,VERB,Verb
19,819,sal,sal,sal,salt,ADJ,ADJ,Adjective
20,820,sal,*sal* (salir),salir,salt,ADJ,ADJ,Adjective
21,821,pase,*pase* (pasar),pasar,happens,VERB,VERB,Verb
22,822,mente,mente,mente,mind,NOUN,NOUN,Noun
23,823,sistema,sistema,sistema,system,NOUN,NOUN,Noun
24,824,película,película,película,movie,NOUN,NOUN,Noun
25,825,anda,*anda* (andar),andar,go,VERB,VERB,Verb
26,826,ello,ello,ello,it,PRON,PRON,Pronoun
27,827,negocio,negocio,negocio,business,NOUN,NOUN,Noun
28,828,negocio,*negocio* (negociar),negociar,business,NOUN,NOUN,Noun
29,829,novia,novia,novia,bride,NOUN,NOUN,Noun
30,830,permiso,permiso,permiso,permission,NOUN,NOUN,Noun
31,831,creí,*creí* (creer),creer,I believed,VERB,VERB,Verb
32,832,suena,*suena* (sonar),sonar,sounds,VERB,VERB,Verb
33,833,ocurre,*ocurre* (ocurrir),ocurrir,occurs,VERB,VERB,Verb
34,834,oficial,oficial,oficial,official,ADJ,ADJ,Adjective
35,835,espere,*espere* (esperar),esperar,wait,VERB,VERB,Verb
36,836,aire,aire,aire,air,NOUN,NOUN,Noun
37,837,mató,*mató* (matar),matar,killed,VERB,VERB,Verb
38,838,regresar,regresar,regresar,go back,VERB,VERB,Verb
39,839,vio,*vio* (ver),ver,saw,VERB,VERB,Verb
40,840,hazlo,*hazlo* (hacer),hacer,do it,VERB,VERB,Verb
41,841,trasero,trasero,trasero,rear,ADJ,ADJ,Adjective
42,842,grupo,grupo,grupo,cluster,NOUN,NOUN,Noun
43,843,entendido,*entendido* (entender),entender,understood,ADJ,ADJ,Adjective
44,844,señorita,señorita,señorita,Miss,VERB,VERB,Verb
45,845,música,música,música,music,NOUN,NOUN,Noun
46,846,perra,perra,perra,bitch,VERB,VERB,Verb
47,847,conoce,*conoce* (conocer),conocer,known,VERB,VERB,Verb
48,848,empezar,empezar,empezar,begin,VERB,VERB,Verb
49,849,siente,*siente* (sentir),sentir,feel,VERB,VERB,Verb
50,850,siente,*siente* (sentar),sentar,feel,VERB,VERB,Verb
51,851,acabo,*acabo* (acabar),acabar,just,VERB,VERB,Verb
52,852,estúpido,estúpido,estúpido,idiot,ADJ,ADJ,Adjective
53,853,diferente,diferente,diferente,different,ADJ,ADJ,Adjective
54,854,traje,*traje* (traer),traer,suit,NOUN,NOUN,Noun
55,855,traje,traje,traje,suit,NOUN,NOUN,Noun
56,856,modo,modo,modo,mode,NOUN,NOUN,Noun
57,857,encontré,*encontré* (encontrar),encontrar,I found,VERB,VERB,Verb
58,858,mensaje,mensaje,mensaje,message,NOUN,NOUN,Noun
59,859,llamada,llamada,llamada,call,ADJ,ADJ,Adjective
60,860,llamada,*llamada* (llamar),llamar,call,ADJ,ADJ,Adjective
61,861,navidad,navidad,navidad,Christmas,ADJ,ADJ,Adjective
62,862,eras,*eras* (ser),ser,ages,NOUN,NOUN,Noun
63,863,pena,pena,pena,grief,NOUN,NOUN,Noun
64,864,pena,*pena* (penar),penar,grief,NOUN,NOUN,Noun
65,865,largo,largo,largo,long,ADJ,ADJ,Adjective
66,866,largo,*largo* (largar),largar,long,ADJ,ADJ,Adjective
67,867,entra,*entra* (entrar),entrar,enters,VERB,VERB,Verb
68,868,piso,piso,piso,floor,NOUN,NOUN,Noun
69,869,piso,*piso* (pisar),pisar,floor,NOUN,NOUN,Noun
70,870,foto,foto,foto,photo,NOUN,NOUN,Noun
71,871,dijeron,*dijeron* (decir),decir,they said,VERB,VERB,Verb
72,872,médico,médico,médico,doctor,ADJ,ADJ,Adjective
73,873,accidente,accidente,accidente,accident,NOUN,NOUN,Noun
74,874,fuiste,*fuiste* (ir),ir,you were,VERB,VERB,Verb
75,875,fuiste,*fuiste* (ser),ser,you were,VERB,VERB,Verb
76,876,imposible,imposible,imposible,impossible,ADJ,ADJ,Adjective
77,877,podríamos,*podríamos* (poder),poder,we could,AUX,AUX,Auxiliary
78,878,línea,línea,línea,line,NOUN,NOUN,Noun
79,879,propia,*propia* (propio),propio,own,DET,DET,Determiner
80,880,barco,barco,barco,ship,NOUN,NOUN,Noun
81,881,ganar,ganar,ganar,gain,VERB,VERB,Verb
82,882,normal,normal,normal,normal,ADJ,ADJ,Adjective
83,883,segundos,*segundos* (segundo),segundo,seconds,NOUN,NOUN,Noun
84,884,vive,*vive* (vivir),vivir,lives,VERB,VERB,Verb
85,885,mitad,mitad,mitad,half,NOUN,NOUN,Noun
86,886,quiera,*quiera* (querer),querer,want,VERB,VERB,Verb
87,887,tras,tras,tras,after,ADP,ADP,Preposition
88,888,decirle,*decirle* (decir),decir,tell,VERB,VERB,Verb
89,889,lindo,lindo,lindo,nice,ADJ,ADJ,Adjective
90,890,funciona,*funciona* (funcionar),funcionar,works,VERB,VERB,Verb
91,891,programa,programa,programa,program,NOUN,NOUN,Noun
92,892,vine,*vine* (venir),venir,came,VERB,VERB,Verb
93,893,abre,*abre* (abrir),abrir,opens,VERB,VERB,Verb
94,894,sean,*sean* (ser),ser,be,AUX,AUX,Auxiliary
95,895,pagar,pagar,pagar,pay,VERB,VERB,Verb
96,896,fotos,*fotos* (foto),foto,photos,NOUN,NOUN,Noun
97,897,centro,centro,centro,center,NOUN,NOUN,Noun
98,898,centro,*centro* (centrar),centrar,center,NOUN,NOUN,Noun
99,899,supone,*supone* (suponer),suponer,supposes,VERB,VERB,Verb
