,Spanish,Quizlet,English,lemma forms,Alternatives,P-O-S,Quizlet P-O-S,MoreInfo,Quizlet Alternatives


0,*trenes* (tren),"*trains*
noun: train",*trains*,tren,[['train']],noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=trenes,noun: train


1,*soporto* (soportar),"*stood*
verb: bear, endure, hold",*stood*,soportar,"[['bear', 'endure', 'hold', 'put up with', 'hold up', 'abide', 'brook', 'bide', 'outstay']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=soporto,"verb: bear, endure, hold"


2,*sacaré* (sacar),"*I will take out*
verb: take, get, draw",*I will take out*,sacar,"[['take', 'get', 'draw', 'take out', 'bring out', 'extract', 'draw out', 'put out', 'bring up', 'throw out', 'educe', 'protract']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=sacaré,"verb: take, get, draw"


3,*oido* (oído),"*ear*
noun: ear, hearing",*ear*,oído,"[['ear', 'hearing']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=oido,"noun: ear, hearing"


4,*fortaleza*,"*strength*
noun: fortress, fort, stronghold",*strength*,fortaleza,"[['fortress', 'fort', 'stronghold', 'fortitude', 'fastness']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=fortaleza,"noun: fortress, fort, stronghold"


5,*corea*,"*Korea*
noun: chorea",*Korea*,corea,[['chorea']],noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=corea,noun: chorea


6,*conversar*,"*discuss*
verb: talk, converse",*discuss*,conversar,"[['talk', 'converse']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=conversar,"verb: talk, converse"


7,*computadoras* (computadora),"*computers*
noun: computer",*computers*,computadora,[['computer']],noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=computadoras,noun: computer


8,*cálmese* (calmar),"*calm down*
interjection: Cool it!",*calm down*,calmar,[['Cool it!']],interjection,interjection,https://www.linguee.com/english-dutch/search?source=auto&query=cálmese,interjection: Cool it!


9,*volante*,"*steering wheel*
noun: steering wheel, wheel, flywheel
adjective: volant",*steering wheel*,volante,"[['steering wheel', 'wheel', 'flywheel', 'flier', 'handout', 'balance', 'shuttlecock', 'balance wheel', 'shuttle', 'handbill'], ['volant']]",noun adjective,noun adjective,https://www.linguee.com/english-dutch/search?source=auto&query=volante,"noun: steering wheel, wheel, flywheel
adjective: volant"


10,*sucederá* (suceder),"*will happen*
verb: succeed",*will happen*,suceder,[['succeed']],verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=sucederá,verb: succeed


11,*decías* (decir),"*you said*
verb: say, tell, speak",*you said*,decir,"[['say', 'tell', 'speak', 'mention', 'call', 'word', 'recite', 'voice']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=decías,"verb: say, tell, speak"


12,*data*,"*data*
",*data*,data,,,no P-O-S info,https://www.linguee.com/english-dutch/search?source=auto&query=data,


