,Spanish,Quizlet,English,lemma forms,Alternatives,P-O-S,Quizlet P-O-S,MoreInfo,Quizlet Alternatives


0,*crean* (crear),"*create*
verb: create, make, set up",*create*,crear,"[['create', 'make', 'set up', 'establish', 'develop', 'devise', 'launch', 'put together', 'think up', 'invent', 'run up', 'originate']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=crean,"verb: create, make, set up"


1,*contarme* (contar),"*tell me*
",*tell me*,contar,,,no P-O-S info,https://www.linguee.com/english-dutch/search?source=auto&query=contarme,


2,*cancelar*,"*Cancel*
verb: cancel, write off, call off",*Cancel*,cancelar,"[['cancel', 'write off', 'call off', 'undo', 'annul', 'scratch', 'countermand']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=cancelar,"verb: cancel, write off, call off"


3,*callar*,"*to silence*
verb: shut up, keep quiet, quieten",*to silence*,callar,"[['shut up', 'keep quiet', 'quieten', 'unvoice']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=callar,"verb: shut up, keep quiet, quieten"


4,*aceptarlo* (aceptar),"*accept it*
",*accept it*,aceptar,,,no P-O-S info,https://www.linguee.com/english-dutch/search?source=auto&query=aceptarlo,


5,*suite*,"*suite room*
noun: suite",*suite room*,suite,[['suite']],noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=suite,noun: suite


6,*soñar*,"*dream*
verb: dream",*dream*,soñar,[['dream']],verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=soñar,verb: dream


7,*provisiones* (provisión),"*provisions*
noun: provisions, groceries, supply",*provisions*,provisión,"[['provisions', 'groceries', 'supply']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=provisiones,"noun: provisions, groceries, supply"


8,*preferido* (preferido preferir),"*favorite*
adjective: favorite, chosen, favourite",*favorite*,preferido preferir,"[['favorite', 'chosen', 'favourite']]",adjective,adjective,https://www.linguee.com/english-dutch/search?source=auto&query=preferido,"adjective: favorite, chosen, favourite"


9,*normas* (norma),"*rules*
noun: rule, norm, policy",*rules*,norma,"[['rule', 'norm', 'policy', 'yardstick', 'prescript']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=normas,"noun: rule, norm, policy"


10,*mientas* (mentir),"*while you lie*
verb: lie, tell a lie, prevaricate",*while you lie*,mentir,"[['lie', 'tell a lie', 'prevaricate', 'fib']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=mientas,"verb: lie, tell a lie, prevaricate"


11,*mandé* (mandar),"*What*
verb: send, command, order",*What*,mandar,"[['send', 'command', 'order', 'send out', 'send in', 'instruct', 'lead', 'post', 'tell', 'direct', 'dictate', 'prescribe', 'send off', 'be in charge', 'ordain', 'send along', 'send on', 'get off', 'send round', 'delegate', 'pack off', 'tell off']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=mandé,"verb: send, command, order"


12,*mandado* (mandado mandar),"*errand*
adjective: leaded, drafted
noun: order, commission",*errand*,mandado mandar,"[['leaded', 'drafted'], ['order', 'commission']]",adjective noun,adjective noun,https://www.linguee.com/english-dutch/search?source=auto&query=mandado,"adjective: leaded, drafted
noun: order, commission"
