,Spanish,Quizlet,English,lemma forms,Alternatives,P-O-S,Quizlet P-O-S,MoreInfo,Quizlet Alternatives


0,*quedado* (quedar),"*left*
adjective: left, lost, kept",*left*,quedar,"[['left', 'lost', 'kept', 'taken']]",adjective,adjective,https://www.linguee.com/english-dutch/search?source=auto&query=quedado,"adjective: left, lost, kept"


1,*enfrente*,"*in front*
adjective: opposite, facing",*in front*,enfrente,"[['opposite', 'facing']]",adjective,adjective,https://www.linguee.com/english-dutch/search?source=auto&query=enfrente,"adjective: opposite, facing"


2,*comienzo* (comienzo comenzar),"*beginning*
noun: beginning, start, onset",*beginning*,comienzo comenzar,"[['beginning', 'start', 'onset', 'commencement', 'starting', 'outset', 'opening', 'inception', 'outbreak', 'introduction', 'birth', 'origin', 'incipience']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=comienzo,"noun: beginning, start, onset"


3,*árboles* (árbol),"*trees*
noun: tree",*trees*,árbol,[['tree']],noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=árboles,noun: tree


4,*queso*,"*cheese*
noun: cheese",*cheese*,queso,[['cheese']],noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=queso,noun: cheese


5,*favorito*,"*favorite*
adjective: favorite, fancied, favourite
noun: favorite, favourite, front-runner",*favorite*,favorito,"[['favorite', 'fancied', 'favourite'], ['favorite', 'favourite', 'front-runner']]",adjective noun,adjective noun,https://www.linguee.com/english-dutch/search?source=auto&query=favorito,"adjective: favorite, fancied, favourite
noun: favorite, favourite, front-runner"


6,*haberme* (haber),"*have me*
",*have me*,haber,,,no P-O-S info,https://www.linguee.com/english-dutch/search?source=auto&query=haberme,


7,*frontera*,"*border*
noun: border, frontier, boundary",*border*,frontera,"[['border', 'frontier', 'boundary', 'borderline']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=frontera,"noun: border, frontier, boundary"


8,*creemos* (creer),"*we believe*
verb: create, make, set up",*we believe*,creer,"[['create', 'make', 'set up', 'establish', 'develop', 'devise', 'launch', 'put together', 'think up', 'invent', 'run up', 'originate']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=creemos,"verb: create, make, set up"


9,*colega*,"*colleague*
noun: colleague, associate, brother",*colleague*,colega,"[['colleague', 'associate', 'brother']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=colega,"noun: colleague, associate, brother"


10,*jueves*,"*Thursday*
noun: Thursday
abbreviation: Thu.",*Thursday*,jueves,"[['Thursday'], ['Thu.']]",noun abbreviation,noun abbreviation,https://www.linguee.com/english-dutch/search?source=auto&query=jueves,"noun: Thursday
abbreviation: Thu."


11,*alemanes* (alemán),"*germans*
adjective: German
noun: German, Jerry",*germans*,alemán,"[['German'], ['German', 'Jerry']]",adjective noun,adjective noun,https://www.linguee.com/english-dutch/search?source=auto&query=alemanes,"adjective: German
noun: German, Jerry"


