,Spanish,Quizlet,English,lemma forms,Alternatives,P-O-S,Quizlet P-O-S,MoreInfo,Quizlet Alternatives


0,*ciudades* (ciudad),"*cities*
noun: city, town",*cities*,ciudad,"[['city', 'town']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=ciudades,"noun: city, town"


1,*béisbol*,"*baseball*
noun: baseball",*baseball*,béisbol,[['baseball']],noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=béisbol,noun: baseball


2,*regresado* (regresado regresar),"*returned*
verb: return, go back, come back",*returned*,regresado regresar,"[['return', 'go back', 'come back', 'get back', 'take back', 'put back', 'call back', 'throw back']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=regresado,"verb: return, go back, come back"


3,*pediste* (pedir),"*you asked*
verb: ask, request, ask for",*you asked*,pedir,"[['ask', 'request', 'ask for', 'order', 'demand', 'call for', 'require', 'apply for', 'inquire', 'invite', 'sue for', 'crave', 'charge', 'indent for', 'treat', 'postulate for', 'supplicate']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=pediste,"verb: ask, request, ask for"


4,*ja*,"*ha*
",*ha*,ja,,,no P-O-S info,https://www.linguee.com/english-dutch/search?source=auto&query=ja,


5,*sesión*,"*session*
noun: session, meeting, sitting",*session*,sesión,"[['session', 'meeting', 'sitting', 'seance', 'performance']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=sesión,"noun: session, meeting, sitting"


6,*comprender*,"*grasp*
verb: understand, comprise, comprehend
phrase: see the light",*grasp*,comprender,"[['understand', 'comprise', 'comprehend', 'include', 'grasp', 'perceive', 'incorporate', 'get', 'follow', 'interpret', 'catch', 'savvy', 'dig', 'take in', 'twig', 'come across', 'see', 'catch the point', 'latch on', 'bear in', 'trace'], ['see the light']]",verb phrase,verb phrase,https://www.linguee.com/english-dutch/search?source=auto&query=comprender,"verb: understand, comprise, comprehend
phrase: see the light"


7,*tocando* (tocar),"*touching*
verb: touch, play, perform",*touching*,tocar,"[['touch', 'play', 'perform', 'contact', 'ring', 'feel', 'sound', 'handle', 'blow', 'press', 'finger', 'fall upon', 'bow', 'knock at the door', 'fall on']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=tocando,"verb: touch, play, perform"


8,*montar*,"*mount*
verb: mount, ride, assemble",*mount*,montar,"[['mount', 'ride', 'assemble', 'set', 'set up', 'put on', 'put together', 'erect', 'put up', 'sit', 'piece together', 'set in', 'elevate']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=montar,"verb: mount, ride, assemble"


9,*familiares* (familiar),"*relatives*
adjective: family, familiar, relative
noun: relative, dependent, dependant",*relatives*,familiar,"[['family', 'familiar', 'relative', 'homely', 'kin', 'colloquial'], ['relative', 'dependent', 'dependant']]",adjective noun,adjective noun,https://www.linguee.com/english-dutch/search?source=auto&query=familiares,"adjective: family, familiar, relative
noun: relative, dependent, dependant"


