,Spanish,Quizlet,English,lemma forms,Alternatives,P-O-S,Quizlet P-O-S,MoreInfo,Quizlet Alternatives


0,*asistente*,"*assistant*
adjective: assistant, attendant, auxiliary
noun: assistant, attendant, aid",*assistant*,asistente,"[['assistant', 'attendant', 'auxiliary'], ['assistant', 'attendant', 'aid', 'helper', 'orderly', 'auxiliary']]",adjective noun,adjective noun,https://www.linguee.com/english-dutch/search?source=auto&query=asistente,"adjective: assistant, attendant, auxiliary
noun: assistant, attendant, aid"


1,*imperio*,"*empire*
noun: empire, imperial",*empire*,imperio,"[['empire', 'imperial']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=imperio,"noun: empire, imperial"


2,*pidiendo* (pedir),"*asking*
verb: ask, request, ask for",*asking*,pedir,"[['ask', 'request', 'ask for', 'order', 'demand', 'call for', 'require', 'apply for', 'inquire', 'invite', 'sue for', 'crave', 'charge', 'indent for', 'treat', 'postulate for', 'supplicate']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=pidiendo,"verb: ask, request, ask for"


3,*notas* (nota notar),"*grades*
noun: note, notice, footnote",*grades*,nota notar,"[['note', 'notice', 'footnote', 'grade', 'mark', 'record', 'touch', 'remark', 'marginal note', 'class']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=notas,"noun: note, notice, footnote"


4,*curioso*,"*curious*
adjective: curious, inquisitive, intriguing",*curious*,curioso,"[['curious', 'inquisitive', 'intriguing', 'nosey']]",adjective,adjective,https://www.linguee.com/english-dutch/search?source=auto&query=curioso,"adjective: curious, inquisitive, intriguing"


5,*operaciones* (operación),"*operations*
noun: operation, transaction, motion",*operations*,operación,"[['operation', 'transaction', 'motion']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=operaciones,"noun: operation, transaction, motion"


6,*mantén* (mantener),"*keep*
verb: maintain, keep, hold",*keep*,mantener,"[['maintain', 'keep', 'hold', 'sustain', 'support', 'keep up', 'service', 'keep in', 'keep on', 'hold up', 'provide for', 'prop', 'abide', 'tend']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=mantén,"verb: maintain, keep, hold"


7,*tierras* (tierra),"*land*
noun: land, ground",*land*,tierra,"[['land', 'ground']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=tierras,"noun: land, ground"


8,*creas* (creer),"*you believe*
verb: create, make, set up",*you believe*,creer,"[['create', 'make', 'set up', 'establish', 'develop', 'devise', 'launch', 'put together', 'think up', 'invent', 'run up', 'originate']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=creas,"verb: create, make, set up"


9,*pez*,"*fish*
noun: fish, pitch, tar",*fish*,pez,"[['fish', 'pitch', 'tar', 'catfish']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=pez,"noun: fish, pitch, tar"


10,*morirá* (morir),"*will die*
verb: die, kill, die out",*will die*,morir,"[['die', 'kill', 'die out', 'expire', 'demise', 'go out']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=morirá,"verb: die, kill, die out"


