,Spanish,Quizlet,English,lemma forms,Alternatives,P-O-S,Quizlet P-O-S,MoreInfo,Quizlet Alternatives


0,*manejando* (manejar),"*driving*
verb: handle, manage, drive",*driving*,manejar,"[['handle', 'manage', 'drive', 'operate', 'use', 'run', 'manipulate', 'work', 'steer', 'ply', 'tend', 'husband']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=manejando,"verb: handle, manage, drive"


1,*lola* (lola lolo Lola),"*lola*
",*lola*,lola lolo Lola,,,no P-O-S info,https://www.linguee.com/english-dutch/search?source=auto&query=lola,


2,*lentes* (lente lentes),"*glasses*
noun: lenses, glasses, eyeglasses",*glasses*,lente lentes,"[['lenses', 'glasses', 'eyeglasses', 'spectacles', 'specs']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=lentes,"noun: lenses, glasses, eyeglasses"


3,*engañar*,"*cheat*
verb: deceive, fool, cheat",*cheat*,engañar,"[['deceive', 'fool', 'cheat', 'trick', 'mislead', 'dupe', 'delude', 'hoodwink', 'bluff', 'beguile', 'con', 'betray', 'spoof', 'outsmart', 'bamboozle', 'be deceptive', 'swindle', 'cheat on', 'befool', 'hoax', 'bilk', 'cozen', 'put off', 'belie', 'pull a fast one', 'bite', 'hocus', 'put over', 'put upon', 'double-cross']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=engañar,"verb: deceive, fool, cheat"


4,*cállense* (callar),"*shut up*
",*shut up*,callar,,,no P-O-S info,https://www.linguee.com/english-dutch/search?source=auto&query=cállense,


5,*bate* (bate batir),"*bat*
noun: bat",*bat*,bate batir,[['bat']],noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=bate,noun: bat


6,*automático*,"*automatic*
adjective: automatic, automatical, self-acting
noun: snap, snap fastener",*automatic*,automático,"[['automatic', 'automatical', 'self-acting'], ['snap', 'snap fastener']]",adjective noun,adjective noun,https://www.linguee.com/english-dutch/search?source=auto&query=automático,"adjective: automatic, automatical, self-acting
noun: snap, snap fastener"


7,*tuyas* (tuyo),"*yours*
pronoun: yours, thine",*yours*,tuyo,"[['yours', 'thine']]",pronoun,pronoun,https://www.linguee.com/english-dutch/search?source=auto&query=tuyas,"pronoun: yours, thine"


8,*quedarás* (quedar),"*you will stay*
verb: stay, remain, keep",*you will stay*,quedar,"[['stay', 'remain', 'keep', 'rest', 'stick around', 'come up', 'agree', 'leave off', 'throw aside', 'lead off', 'let into', 'leave over']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=quedarás,"verb: stay, remain, keep"


9,*profunda* (profundo),"*deep*
adjective: deep, profound, intimate",*deep*,profundo,"[['deep', 'profound', 'intimate', 'lower', 'low', 'heavy', 'intensive', 'abysmal']]",adjective,adjective,https://www.linguee.com/english-dutch/search?source=auto&query=profunda,"adjective: deep, profound, intimate"


10,*piensen* (pensar),"*think*
verb: think, reflect, ponder",*think*,pensar,"[['think', 'reflect', 'ponder', 'contemplate', 'think out', 'guess', 'think over', 'cogitate', 'see about']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=piensen,"verb: think, reflect, ponder"


