,Spanish,Quizlet,English,lemma forms,Alternatives,P-O-S,Quizlet P-O-S,MoreInfo,Quizlet Alternatives


0,*aparece* (aparecer),"*appears*
verb: appear, show, show up",*appears*,aparecer,"[['appear', 'show', 'show up', 'emerge', 'turn up', 'come up', 'come out', 'come on', 'arrive', 'loom', 'come into view', 'loom up', 'come on the scene', 'walk', 'intervene', 'develop']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=aparece,"verb: appear, show, show up"


1,*testigos* (testigo),"*witnesses*
noun: witness, baton",*witnesses*,testigo,"[['witness', 'baton']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=testigos,"noun: witness, baton"


2,*pensó* (pensar),"*thought*
verb: think, reflect, ponder",*thought*,pensar,"[['think', 'reflect', 'ponder', 'contemplate', 'think out', 'guess', 'think over', 'cogitate', 'see about']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=pensó,"verb: think, reflect, ponder"


3,*fueran* (ser ir),"*were*
verb: be, come, come of",*were*,ser ir,"[['be', 'come', 'come of', 'play']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=fueran,"verb: be, come, come of"


4,*fantasmas* (fantasma),"*ghosts*
noun: ghost, phantom, phantasm",*ghosts*,fantasma,"[['ghost', 'phantom', 'phantasm', 'shadow', 'wraith', 'bogey', 'spectre']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=fantasmas,"noun: ghost, phantom, phantasm"


5,*correo*,"*mail*
noun: mail, post",*mail*,correo,"[['mail', 'post']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=correo,"noun: mail, post"


6,*vuestro*,"*your*
pronoun: your, yours",*your*,vuestro,"[['your', 'yours']]",pronoun,pronoun,https://www.linguee.com/english-dutch/search?source=auto&query=vuestro,"pronoun: your, yours"


7,*piscina*,"*pool*
noun: pool, swimming pool, piscina",*pool*,piscina,"[['pool', 'swimming pool', 'piscina', 'baths', 'lido', 'swimming bath', 'natatorium']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=piscina,"noun: pool, swimming pool, piscina"


8,*paquete*,"*package*
noun: package, pack, packet",*package*,paquete,"[['package', 'pack', 'packet', 'parcel', 'lump']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=paquete,"noun: package, pack, packet"


9,*copia* (copia copiar),"*copy*
noun: copy, replica, transcript",*copy*,copia copiar,"[['copy', 'replica', 'transcript']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=copia,"noun: copy, replica, transcript"


10,*suicidio*,"*suicide*
noun: suicide, self-destruction",*suicide*,suicidio,"[['suicide', 'self-destruction']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=suicidio,"noun: suicide, self-destruction"


11,*crédito*,"*credit*
noun: credit, credence, trust",*credit*,crédito,"[['credit', 'credence', 'trust', 'belief', 'tick']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=crédito,"noun: credit, credence, trust"


