,Spanish,Quizlet,English,lemma forms,Alternatives,P-O-S,Quizlet P-O-S,MoreInfo,Quizlet Alternatives


0,*llegando* (llegar),"*arriving*
verb: get, reach, arrive",*arriving*,llegar,"[['get', 'reach', 'arrive', 'come', 'get in', 'come in', 'catch', 'get around', 'turn up', 'come through', 'come over', 'come across', 'roll in', 'break through', 'come round', 'dock', 'touch down', 'top off', 'infiltrate']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=llegando,"verb: get, reach, arrive"


1,*mostraré* (mostrar),"*I'll show*
verb: show, display, exhibit",*I'll show*,mostrar,"[['show', 'display', 'exhibit', 'present', 'indicate', 'manifest', 'evince', 'hold up', 'put forth']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=mostraré,"verb: show, display, exhibit"


2,*deba* (deber),"*must*
verb: must, owe, job",*must*,deber,"[['must', 'owe', 'job', 'suppose']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=deba,"verb: must, owe, job"


3,*berlín* (Berlín),"*berlin*
",*berlin*,Berlín,,,no P-O-S info,https://www.linguee.com/english-dutch/search?source=auto&query=berlín,


4,*nerviosa* (nervioso),"*nervous*
adjective: nervous, nerve, edgy",*nervous*,nervioso,"[['nervous', 'nerve', 'edgy', 'jittery', 'on edge', 'fidgety', 'nervy', 'excitable', 'wiry', 'irritable', 'sinewy', 'uncool', 'nervate']]",adjective,adjective,https://www.linguee.com/english-dutch/search?source=auto&query=nerviosa,"adjective: nervous, nerve, edgy"


5,*hallar*,"*find*
verb: find, find out, discover",*find*,hallar,"[['find', 'find out', 'discover', 'locate', 'meet with']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=hallar,"verb: find, find out, discover"


6,*dudas* (duda dudar),"*doubts*
noun: niggling",*doubts*,duda dudar,[['niggling']],noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=dudas,noun: niggling


7,*llegan* (llegar),"*arrive*
verb: get, reach, arrive",*arrive*,llegar,"[['get', 'reach', 'arrive', 'come', 'get in', 'come in', 'catch', 'get around', 'turn up', 'come through', 'come over', 'come across', 'roll in', 'break through', 'come round', 'dock', 'touch down', 'top off', 'infiltrate']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=llegan,"verb: get, reach, arrive"


8,*instrucciones* (instrucción),"*instructions*
noun: instructions, directions, briefing",*instructions*,instrucción,"[['instructions', 'directions', 'briefing', 'brief']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=instrucciones,"noun: instructions, directions, briefing"


