,Spanish,Quizlet,English,lemma forms,Alternatives,P-O-S,Quizlet P-O-S,MoreInfo,Quizlet Alternatives


0,*batallas* (batalla batallar),"*battles*
noun: battle, fighting",*battles*,batalla batallar,"[['battle', 'fighting']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=batallas,"noun: battle, fighting"


1,*uses* (usar),"*use*
verb: use, wear, utilize",*use*,usar,"[['use', 'wear', 'utilize', 'employ', 'draw on', 'draw upon', 'go through', 'explode', 'consume', 'expend']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=uses,"verb: use, wear, utilize"


2,*trates* (tratar),"*try*
verb: treat, process, try on",*try*,tratar,"[['treat', 'process', 'try on', 'attend', 'behave towards']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=trates,"verb: treat, process, try on"


3,*marzo*,"*March*
noun: March
abbreviation: Mar.",*March*,marzo,"[['March'], ['Mar.']]",noun abbreviation,noun abbreviation,https://www.linguee.com/english-dutch/search?source=auto&query=marzo,"noun: March
abbreviation: Mar."


4,*hechas* (hecho hacer),"*made*
verb: do, make, ask",*made*,hecho hacer,"[['do', 'make', 'ask', 'be', 'cause', 'render', 'give', 'work', 'bring', 'perform', 'carry out', 'build', 'make up', 'create', 'act', 'pay', 'pull', 'drive', 'work out', 'take on', 'throw', 'poke', 'put forward', 'bring in', 'compose', 'punch', 'turn out', 'put out', 'lean', 'drop', 'emit', 'advance', 'set off', 'perpetrate', 'bind', 'wet', 'level', 'lumber', 'fabricate', 'generate', 'commit', 'force', 'form', 'effect']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=hechas,"verb: do, make, ask"


5,*fraude*,"*fraud*
noun: fraud, deception, deceit",*fraud*,fraude,"[['fraud', 'deception', 'deceit', 'fraudulence', 'cheat', 'dishonesty', 'embezzlement', 'trickery', 'imposture', 'fraudulency', 'jugglery']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=fraude,"noun: fraud, deception, deceit"


6,*economía*,"*economy*
noun: economy, husbandry",*economy*,economía,"[['economy', 'husbandry']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=economía,"noun: economy, husbandry"


7,*disfrute* (disfrutar),"*enjoyment*
noun: enjoyment",*enjoyment*,disfrutar,[['enjoyment']],noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=disfrute,noun: enjoyment


8,*creerme* (creer),"*believe me*
",*believe me*,creer,,,no P-O-S info,https://www.linguee.com/english-dutch/search?source=auto&query=creerme,


9,*costo* (costo costar),"*cost*
noun: cost, charge",*cost*,costo costar,"[['cost', 'charge']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=costo,"noun: cost, charge"


10,*consiga* (conseguir),"*get*
verb: get, achieve, obtain",*get*,conseguir,"[['get', 'achieve', 'obtain', 'gain', 'attain', 'accomplish', 'win', 'acquire', 'come by', 'score', 'procure', 'land', 'enlist', 'get hold of', 'purchase', 'pull off', 'bring off']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=consiga,"verb: get, achieve, obtain"


