,Spanish,Quizlet,English,lemma forms,Alternatives,P-O-S,Quizlet P-O-S,MoreInfo,Quizlet Alternatives


0,*devolver*,"*return*
verb: return, restore, repay
noun: render",*return*,devolver,"[['return', 'restore', 'repay', 'give back', 'pay back', 'refund', 'bring back', 'send back', 'take back', 'hand back', 'devolve', 'put back', 'throw back', 'send in', 'hit back'], ['render']]",verb noun,verb noun,https://www.linguee.com/english-dutch/search?source=auto&query=devolver,"verb: return, restore, repay
noun: render"


1,*solitario*,"*lonely*
adjective: solitary, lonely, lone
noun: solitaire, recluse, patience",*lonely*,solitario,"[['solitary', 'lonely', 'lone', 'alone', 'desolate', 'lonesome', 'recluse', 'obscure', 'seclusive'], ['solitaire', 'recluse', 'patience']]",adjective noun,adjective noun,https://www.linguee.com/english-dutch/search?source=auto&query=solitario,"adjective: solitary, lonely, lone
noun: solitaire, recluse, patience"


2,*misiles* (misil),"*missiles*
noun: missile",*missiles*,misil,[['missile']],noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=misiles,noun: missile


3,*desnuda* (desnudo desnudar),"*nude*
adjective: naked, bare, nude
noun: nude, nudity, undress",*nude*,desnudo desnudar,"[['naked', 'bare', 'nude', 'unclad'], ['nude', 'nudity', 'undress']]",adjective noun,adjective noun,https://www.linguee.com/english-dutch/search?source=auto&query=desnuda,"adjective: naked, bare, nude
noun: nude, nudity, undress"


4,*vaquero*,"*cowboy*
noun: cowboy, cowherd, jean",*cowboy*,vaquero,"[['cowboy', 'cowherd', 'jean', 'herdsman', 'wrangler', 'puncher', 'cow puncher']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=vaquero,"noun: cowboy, cowherd, jean"


5,*únicos* (único),"*unique*
adjective: only, unique, single",*unique*,único,"[['only', 'unique', 'single', 'one', 'sole', 'alone', 'exclusive', 'singular', 'one-off', 'non-recurring']]",adjective,adjective,https://www.linguee.com/english-dutch/search?source=auto&query=únicos,"adjective: only, unique, single"


6,*trasera* (trasero),"*rear*
adjective: rear, back, rearward",*rear*,trasero,"[['rear', 'back', 'rearward', 'hind', 'posterior', 'rearmost', 'rear-mounted']]",adjective,adjective,https://www.linguee.com/english-dutch/search?source=auto&query=trasera,"adjective: rear, back, rearward"


7,*sano*,"*healthy*
adjective: healthy, sound, wholesome",*healthy*,sano,"[['healthy', 'sound', 'wholesome', 'sane', 'good', 'healthful', 'hale', 'salubrious']]",adjective,adjective,https://www.linguee.com/english-dutch/search?source=auto&query=sano,"adjective: healthy, sound, wholesome"


8,*piezas* (pieza),"*parts*
noun: piece, part, room",*parts*,pieza,"[['piece', 'part', 'room', 'kill']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=piezas,"noun: piece, part, room"


9,*liga* (liga ligar),"*league*
noun: league, garter, birdlime",*league*,liga ligar,"[['league', 'garter', 'birdlime']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=liga,"noun: league, garter, birdlime"


