,Spanish,Quizlet,English,lemma forms,Alternatives,P-O-S,Quizlet P-O-S,MoreInfo,Quizlet Alternatives


0,*pudiéramos* (poder),"*we could*
verb: be able to, can, may",*we could*,poder,"[['be able to', 'can', 'may']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=pudiéramos,"verb: be able to, can, may"


1,*pega* (pega pegar),"*job*
noun: sticking, downside, snag",*job*,pega pegar,"[['sticking', 'downside', 'snag', 'beating', 'practical joke', 'hoax']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=pega,"noun: sticking, downside, snag"


2,*parto* (partir),"*Birth*
noun: delivery, birth, childbirth",*Birth*,partir,"[['delivery', 'birth', 'childbirth', 'labor', 'calving', 'parturition', 'childbed', 'child-bearing', 'labour']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=parto,"noun: delivery, birth, childbirth"


3,*nido*,"*nest*
noun: nest, nidus",*nest*,nido,"[['nest', 'nidus']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=nido,"noun: nest, nidus"


4,*molestando* (molestar),"*bothering*
verb: disturb, bother, annoy",*bothering*,molestar,"[['disturb', 'bother', 'annoy', 'trouble', 'tease', 'hassle', 'molest', 'pester', 'inconvenience', 'intrude', 'irritate', 'worry', 'fret', 'fuss', 'badger', 'distract', 'incommode', 'persecute', 'faze', 'discommode', 'put about', 'put out', 'commove', 'nettle', 'estop']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=molestando,"verb: disturb, bother, annoy"


5,*gota*,"*drop*
noun: drop, gout, bead",*drop*,gota,"[['drop', 'gout', 'bead', 'blob', 'spot', 'dab', 'dew']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=gota,"noun: drop, gout, bead"


6,*fracasado* (fracasado fracasar),"*failed*
adjective: failed, unsuccessful, washed-up
noun: failure, loser",*failed*,fracasado fracasar,"[['failed', 'unsuccessful', 'washed-up', 'abortive'], ['failure', 'loser']]",adjective noun,adjective noun,https://www.linguee.com/english-dutch/search?source=auto&query=fracasado,"adjective: failed, unsuccessful, washed-up
noun: failure, loser"


7,*esperé* (esperar),"*wait*
",*wait*,esperar,,,no P-O-S info,https://www.linguee.com/english-dutch/search?source=auto&query=esperé,


8,*escúcheme* (escuchar),"*listen to me*
",*listen to me*,escuchar,,,no P-O-S info,https://www.linguee.com/english-dutch/search?source=auto&query=escúcheme,


9,*eco*,"*echo*
noun: echo, reverberation, replication",*echo*,eco,"[['echo', 'reverberation', 'replication']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=eco,"noun: echo, reverberation, replication"


10,*duros* (duro),"*hard*
adjective: hard, tough, harsh
noun: die-hard, hard-liner",*hard*,duro,"[['hard', 'tough', 'harsh', 'difficult', 'stiff', 'severe', 'hardcore', 'strong', 'stale', 'stern', 'stubborn', 'unkind', 'intensive', 'adamant', 'hard-hearted', 'hard-boiled'], ['die-hard', 'hard-liner']]",adjective noun,adjective noun,https://www.linguee.com/english-dutch/search?source=auto&query=duros,"adjective: hard, tough, harsh
noun: die-hard, hard-liner"


