,Spanish,Quizlet,English,lemma forms,Alternatives,P-O-S,Quizlet P-O-S,MoreInfo,Quizlet Alternatives


0,*países* (país),"*countries*
noun: estate",*countries*,país,[['estate']],noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=países,noun: estate


1,*once*,"*eleven*
noun: eleven, elevenses
: eleven",*eleven*,once,"[['eleven', 'elevenses'], ['eleven']]",noun ,noun ,https://www.linguee.com/english-dutch/search?source=auto&query=once,"noun: eleven, elevenses
: eleven"


2,*matarlos* (matar),"*kill them*
",*kill them*,matar,,,no P-O-S info,https://www.linguee.com/english-dutch/search?source=auto&query=matarlos,


3,*graduación*,"*graduation*
noun: graduation, rank, calibration",*graduation*,graduación,"[['graduation', 'rank', 'calibration']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=graduación,"noun: graduation, rank, calibration"


4,*frase*,"*phrase*
noun: phrase, sentence, locution",*phrase*,frase,"[['phrase', 'sentence', 'locution']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=frase,"noun: phrase, sentence, locution"


5,*eterna* (eterno),"*eternal*
adjective: eternal, everlasting, timeless",*eternal*,eterno,"[['eternal', 'everlasting', 'timeless', 'undying', 'perpetual', 'ageless']]",adjective,adjective,https://www.linguee.com/english-dutch/search?source=auto&query=eterna,"adjective: eternal, everlasting, timeless"


6,*estarlo* (estar),"*be*
",*be*,estar,,,no P-O-S info,https://www.linguee.com/english-dutch/search?source=auto&query=estarlo,


7,*descuida* (descuidar),"*don't worry*
verb: neglect, disregard, abandon",*don't worry*,descuidar,"[['neglect', 'disregard', 'abandon', 'omit']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=descuida,"verb: neglect, disregard, abandon"


8,*toalla*,"*towel*
noun: towel, horsetowel",*towel*,toalla,"[['towel', 'horsetowel']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=toalla,"noun: towel, horsetowel"


9,*próximos* (próximo),"*next*
adjective: next, near, close",*next*,próximo,"[['next', 'near', 'close', 'coming', 'forthcoming', 'nearby', 'proximate', 'impending', 'handy']]",adjective,adjective,https://www.linguee.com/english-dutch/search?source=auto&query=próximos,"adjective: next, near, close"


10,*monedas* (moneda),"*coins*
noun: currency, coin, money",*coins*,moneda,"[['currency', 'coin', 'money', 'coinage', 'piece']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=monedas,"noun: currency, coin, money"


11,*mirad* (mirar),"*Behold*
interjection: Behold!",*Behold*,mirar,[['Behold!']],interjection,interjection,https://www.linguee.com/english-dutch/search?source=auto&query=mirad,interjection: Behold!


12,*miraba* (mirar),"*looked*
verb: look, look at, watch",*looked*,mirar,"[['look', 'look at', 'watch', 'see', 'view', 'glance', 'peer', 'look to', 'regard', 'look on', 'look around', 'eye', 'look after', 'look about', 'survey']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=miraba,"verb: look, look at, watch"


